"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2011. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,14";"2978167,5";" ";"83493";"43547";"19461";" ";
"Budapest (Budapest)";"525,09";"1736863,0";" ";"42855";"23178";"10537";" ";
"Budapest";"525,09";"1736863,0";" ";"42855";"23178";"10537";" ";
"Budapest, illetve fiktív területi egység";"525,09";"1736863,0";" ";"42855";"23178";"10537";" ";
"Budapest";"525,09";"1736863,0";" ";"42855";"23178";"10537";" ";
"Pest (Pest)";"6391,05";"1241304,5";" ";"40638";"20369";"8924";" ";
"Pest megye";"6391,05";"1241304,5";" ";"40638";"20369";"8924";" ";
"Aszódi járás";"298,37";"38073,0";" ";"1405";"593";"271";" ";
"Aszód";"16,20";"6404,5";" ";"167";"56";"16";" ";
"Bag";"23,55";"3925,0";" ";"156";"85";"37";" ";
"Domony";"21,80";"2175,5";" ";"116";"55";"35";" ";
"Galgahévíz";"31,18";"2507,5";" ";"110";"48";"21";" ";
"Galgamácsa";"43,31";"1958,0";" ";"61";"30";"10";" ";
"Hévízgyörk";"22,85";"3109,0";" ";"106";"45";"17";" ";
"Iklad";"11,21";"2098,5";" ";"70";"26";"11";" ";
"Kartal";"29,11";"5890,0";" ";"171";"58";"29";" ";
"Tura";"55,92";"7782,5";" ";"331";"144";"69";" ";
"Vácegres";"13,67";"883,5";" ";"57";"21";"13";" ";
"Verseg";"29,57";"1339,0";" ";"60";"25";"13";" ";
"Budakeszi járás";"288,95";"88148,0";" ";"1959";"1078";"489";" ";
"Biatorbágy";"44,12";"12686,0";" ";"261";"134";"46";" ";
"Budajenõ";"12,42";"1853,5";" ";"47";"23";"12";" ";
"Budakeszi";"37,10";"14409,0";" ";"218";"117";"48";" ";
"Budaörs";"23,59";"29516,5";" ";"716";"433";"216";" ";
"Herceghalom";"7,34";"2089,0";" ";"38";"22";"10";" ";
"Nagykovácsi";"30,01";"6761,5";" ";"95";"37";"22";" ";
"Páty";"39,30";"7161,0";" ";"148";"86";"32";" ";
"Perbál";"25,65";"2236,5";" ";"90";"43";"21";" ";
"Remeteszõlõs";"0,56";"740,0";" ";"5";"2";"1";" ";
"Telki";"10,47";"3807,0";" ";"51";"24";"13";" ";
"Tök";"24,73";"1377,0";" ";"67";"31";"15";" ";
"Zsámbék";"33,66";"5511,0";" ";"223";"126";"53";" ";
"Ceglédi járás";"886,30";"91118,5";" ";"4379";"2219";"1042";" ";
"Abony";"127,97";"14974,0";" ";"916";"453";"209";" ";
"Albertirsa";"72,96";"12402,0";" ";"437";"226";"111";" ";
"Cegléd";"244,87";"37922,0";" ";"1601";"856";"378";" ";
"Ceglédbercel";"28,15";"4415,5";" ";"154";"67";"31";" ";
"Csemõ";"79,44";"4268,0";" ";"306";"143";"77";" ";
