"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2018. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,32";"3021379,0";"2002160,0";"33164";"16159";"10876";"4518";
"Budapest (Budapest)";"525,14";"1751010,0";"1157789,0";"14562";"6255";"4132";"1294";
"Budapest";"525,14";"1751010,0";"1157789,0";"14562";"6255";"4132";"1294";
"Budapest, illetve fiktív területi egység";"525,14";"1751010,0";"1157789,0";"14562";"6255";"4132";"1294";
"Budapest";"525,14";"1751010,0";"1157789,0";"14562";"6255";"4132";"1294";
"Pest (Pest)";"6391,18";"1270369,0";"844371,0";"18602";"9904";"6744";"3224";
"Pest megye";"6391,18";"1270369,0";"844371,0";"18602";"9904";"6744";"3224";
"Aszódi járás";"298,39";"37010,0";"24926,0";"758";"453";"299";"207";
"Aszód";"16,20";"6192,5";"4142,0";"68";"34";"19";"17";
"Bag";"23,55";"3717,5";"2438,0";"78";"44";"33";"35";
"Domony";"21,80";"2119,5";"1434,0";"48";"31";"19";"19";
"Galgahévíz";"31,18";"2534,0";"1710,0";"74";"53";"33";"14";
"Galgamácsa";"43,31";"1800,0";"1241,0";"27";"13";"7";"10";
"Hévízgyörk";"22,85";"3059,0";"2058,0";"47";"10";"7";"17";
"Iklad";"11,21";"1997,0";"1283,0";"27";"15";"8";"4";
"Kartal";"29,13";"5680,5";"3924,0";"96";"52";"29";"23";
"Tura";"55,92";"7748,0";"5175,0";"229";"166";"123";"47";
"Vácegres";"13,67";"860,0";"643,0";"37";"22";"14";"12";
"Verseg";"29,57";"1302,0";"878,0";"27";"13";"7";"9";
"Budakeszi járás";"288,94";"91312,5";"59126,0";"922";"483";"334";"70";
"Biatorbágy";"44,12";"13708,5";"9019,0";"134";"47";"29";"6";
"Budajenõ";"12,42";"1971,5";"1286,0";"21";"11";"7";" ";
"Budakeszi";"37,10";"14477,0";"9125,0";"133";"68";"43";"6";
"Budaörs";"23,59";"28871,5";"18503,0";"346";"204";"148";"7";
"Herceghalom";"7,34";"2728,0";"1852,0";"14";"5";"3";" ";
"Nagykovácsi";"27,67";"7994,0";"5165,0";"50";"27";"18";"4";
"Páty";"39,30";"7584,5";"4973,0";"57";"27";"17";"12";
"Perbál";"25,65";"2060,5";"1370,0";"31";"16";"13";"4";
"Remeteszõlõs";"2,89";"933,5";"635,0";"5";"2";"2";" ";
"Telki";"10,47";"4085,0";"2609,0";"32";"17";"11";"1";
"Tök";"24,73";"1321,5";"895,0";"22";"16";"9";"4";
"Zsámbék";"33,66";"5577,0";"3694,0";"77";"43";"34";"26";
"Ceglédi járás";"886,35";"87502,5";"57487,0";"2224";"1300";"951";"532";
"Abony";"127,97";"14334,5";"9270,0";"415";"268";"202";"107";
"Albertirsa";"73,00";"12662,0";"8503,0";"251";"152";"117";"34";
"Cegléd";"244,87";"35534,0";"23028,0";"886";"517";"396";"126";
"Ceglédbercel";"28,15";"4272,5";"2806,0";"56";"25";"17";"34";
"Csemõ";"79,44";"4225,0";"2907,0";"163";"103";"66";"46";
"Dánszentmiklós";"38,00";"2790,0";"1939,0";"56";"29";"25";"10";
"Jászkarajenõ";"65,15";"2595,5";"1664,0";"91";"47";"27";"38";
"Kõröstetétlen";"32,65";"818,0";"560,0";"11";"4";"1";"9";
"Mikebuda";"42,17";"685,5";"490,0";"21";"13";"9";"6";
"Tápiószõlõs";"31,81";"2786,5";"1883,0";"68";"31";"21";"34";
"Törtel";"84,16";"4253,5";"2822,0";"132";"77";"50";"49";
"Újszilvás";"38,98";"2545,5";"1615,0";"74";"34";"20";"39";
"Dabasi járás";"614,23";"49538,0";"33521,0";"1135";"535";"336";"267";
"Bugyi";"115,55";"5177,0";"3546,0";"96";"40";"23";"18";
"Dabas";"165,99";"17112,5";"11457,0";"329";"147";"88";"102";
"Hernád";"27,06";"3996,5";"2709,0";"67";"27";"17";"12";
"Inárcs";"22,53";"4598,0";"3080,0";"100";"48";"37";"20";
"Kakucs";"21,80";"3052,5";"2091,0";"69";"37";"28";"8";
"Örkény";"36,44";"4801,5";"3287,0";"205";"102";"60";"51";
"Pusztavacs";"79,07";"1342,5";"903,0";"34";"19";"9";"9";
"Táborfalva";"42,05";"3237,5";"2328,0";"112";"52";"32";"9";
"Tatárszentgyörgy";"55,06";"1799,0";"1201,0";"80";"48";"31";"33";
"Újhartyán";"22,43";"2725,5";"1792,0";"31";"11";"9";"3";
"Újlengyel";"26,25";"1695,5";"1127,0";"12";"4";"2";"2";
"Dunakeszi járás";"105,28";"84643,0";"55864,0";"752";"373";"265";"63";
"Csomád";"12,38";"1666,0";"1135,0";"8";"4";"4";" ";
"Dunakeszi";"31,06";"43547,0";"28535,0";"347";"156";"111";"20";
"Fót";"37,40";"19885,5";"13424,0";"182";"95";"69";"13";
"Göd";"24,44";"19544,5";"12770,0";"215";"118";"81";"30";
"Érdi járás";"184,29";"124536,5";"83070,0";"885";"384";"246";"52";
"Diósd";"5,75";"10647,0";"6835,0";"50";"18";"12";" ";
"Érd";"63,31";"67551,5";"45285,0";"501";"217";"151";"31";
"Pusztazámor";"9,27";"1194,5";"835,0";"10";"5";"2";"1";
"Sóskút";"24,89";"3355,0";"2307,0";"35";"17";"11";"5";
"Százhalombatta";"28,06";"18161,5";"12087,0";"131";"62";"34";"9";
"Tárnok";"23,61";"9777,0";"6827,0";"88";"40";"22";"3";
"Törökbálint";"29,40";"13850,0";"8894,0";"70";"25";"14";"3";
"Gödöllõi járás";"449,66";"148254,5";"98562,0";"2021";"1148";"780";"208";
"Csömör";"22,70";"9670,5";"6483,0";"71";"43";"31";"4";
"Dány";"43,01";"4511,0";"2905,0";"129";"88";"58";"36";
"Erdõkertes";"5,75";"8106,0";"5527,0";"146";"78";"48";"6";
"Gödöllõ";"61,93";"32115,0";"20584,0";"505";"293";"201";"15";
"Isaszeg";"54,83";"11491,5";"7711,0";"165";"92";"62";"25";
"Kerepes";"24,08";"10109,5";"6913,0";"122";"70";"47";"6";
"Kistarcsa";"11,02";"12935,0";"8595,0";"116";"63";"48";"6";
"Mogyoród";"34,48";"6955,0";"4806,0";"97";"58";"43";"3";
"Nagytarcsa";"12,14";"4826,5";"3405,0";"40";"17";"13";"3";
"Pécel";"43,63";"16148,5";"10773,0";"158";"89";"58";"18";
"Szada";"16,72";"5539,0";"3682,0";"59";"29";"15";"10";
"Vácszentlászló";"29,87";"2040,5";"1463,0";"45";"22";"15";"16";
"Valkó";"37,59";"2456,0";"1745,0";"106";"62";"41";"28";
"Veresegyház";"28,56";"18964,5";"12345,0";"182";"93";"68";"15";
"Zsámbok";"23,35";"2386,0";"1625,0";"80";"51";"32";"17";
"Gyáli járás";"170,99";"42016,0";"28984,0";"627";"319";"225";"60";
"Alsónémedi";"49,07";"5286,5";"3643,0";"67";"30";"24";"2";
"Felsõpakony";"15,33";"3598,5";"2542,0";"45";"20";"14";"11";
"Gyál";"24,93";"23760,5";"16406,0";"289";"148";"103";"27";
"Ócsa";"81,66";"9370,5";"6393,0";"226";"121";"84";"20";
"Monori járás";"352,02";"69736,0";"47401,0";"1141";"571";"372";"249";
"Bénye";"16,52";"1263,0";"856,0";"9";"3";"3";"2";
"Csévharaszt";"49,24";"1955,0";"1445,0";"31";"12";"5";"8";
