"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2013. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"69646";"36062";"21557";" ";
"Budapest (Budapest)";"36423";"19998";"12118";" ";
"Budapest";"36423";"19998";"12118";" ";
"Budapest, illetve fiktív területi egység";"36423";"19998";"12118";" ";
"Budapest";"36423";"19998";"12118";" ";
"Pest (Pest)";"33223";"16064";"9439";" ";
"Pest megye";"33223";"16064";"9439";" ";
"Aszódi járás";"1200";"547";"348";" ";
"Aszód";"123";"38";"20";" ";
"Bag";"160";"66";"48";" ";
"Domony";"81";"42";"32";" ";
"Galgahévíz";"110";"48";"26";" ";
"Galgamácsa";"46";"17";"11";" ";
"Hévízgyörk";"71";"31";"21";" ";
"Iklad";"43";"22";"12";" ";
"Kartal";"169";"71";"39";" ";
"Tura";"281";"158";"104";" ";
"Vácegres";"57";"34";"23";" ";
"Verseg";"59";"20";"12";" ";
"Budakeszi járás";"1518";"698";"422";" ";
"Biatorbágy";"202";"78";"43";" ";
"Budajenõ";"30";"20";"12";" ";
"Budakeszi";"151";"62";"33";" ";
"Budaörs";"601";"311";"197";" ";
"Herceghalom";"39";"12";"8";" ";
"Nagykovácsi";"66";"20";"9";" ";
"Páty";"101";"32";"19";" ";
"Perbál";"54";"26";"20";" ";
"Remeteszõlõs";"6";"2";"2";" ";
"Telki";"44";"21";"9";" ";
"Tök";"57";"34";"23";" ";
"Zsámbék";"167";"80";"47";" ";
"Ceglédi járás";"3802";"2094";"1321";" ";
"Abony";"748";"447";"301";" ";
"Albertirsa";"407";"232";"158";" ";
"Cegléd";"1510";"859";"548";" ";
"Ceglédbercel";"132";"67";"38";" ";
"Csemõ";"284";"166";"102";" ";
"Dánszentmiklós";"88";"35";"15";" ";
"Jászkarajenõ";"134";"53";"32";" ";
"Kõröstetétlen";"25";"7";"2";" ";
"Mikebuda";"36";"15";"13";" ";
"Tápiószõlõs";"119";"55";"25";" ";
"Törtel";"222";"116";"71";" ";
"Újszilvás";"97";"42";"16";" ";
"Dabasi járás";"1871";"931";"471";" ";
"Bugyi";"165";"64";"30";" ";
"Dabas";"567";"254";"114";" ";
"Hernád";"116";"52";"23";" ";
"Inárcs";"200";"123";"75";" ";
"Kakucs";"109";"64";"31";" ";
"Örkény";"237";"148";"68";" ";
"Pusztavacs";"53";"26";"11";" ";
"Táborfalva";"157";"79";"50";" ";
"Tatárszentgyörgy";"154";"83";"50";" ";
"Újhartyán";"60";"18";"7";" ";
"Újlengyel";"53";"20";"12";" ";
"Dunakeszi járás";"1516";"715";"409";" ";
"Csomád";"21";"12";"8";" ";
"Dunakeszi";"764";"351";"198";" ";
"Fót";"348";"160";"82";" ";
"Göd";"383";"192";"121";" ";
"Érdi járás";"2374";"1118";"624";" ";
"Diósd";"96";"27";"16";" ";
"Érd";"1335";"640";"354";" ";
"Pusztazámor";"29";"15";"5";" ";
"Sóskút";"93";"50";"27";" ";
"Százhalombatta";"415";"191";"104";" ";
"Tárnok";"184";"90";"49";" ";
"Törökbálint";"222";"105";"69";" ";
"Gödöllõi járás";"3234";"1702";"1110";" ";
"Csömör";"129";"64";"38";" ";
"Dány";"217";"144";"106";" ";
"Erdõkertes";"214";"131";"89";" ";
"Gödöllõ";"772";"409";"274";" ";
"Isaszeg";"300";"128";"75";" ";
"Kerepes";"257";"152";"115";" ";
"Kistarcsa";"172";"72";"49";" ";
"Mogyoród";"156";"83";"53";" ";
"Nagytarcsa";"39";"20";"9";" ";
"Pécel";"302";"133";"75";" ";
"Szada";"93";"48";"28";" ";
"Vácszentlászló";"57";"23";"18";" ";
"Valkó";"151";"97";"66";" ";
"Veresegyház";"287";"137";"81";" ";
"Zsámbok";"88";"61";"34";" ";
"Gyáli járás";"1311";"674";"349";" ";
"Alsónémedi";"105";"45";"24";" ";
"Felsõpakony";"82";"40";"21";" ";
"Gyál";"739";"404";"205";" ";
"Ócsa";"385";"185";"99";" ";
"Monori járás";"2144";"1010";"595";" ";
"Bénye";"26";"17";"3";" ";
"Csévharaszt";"56";"17";"10";" ";
"Gomba";"97";"36";"23";" ";
"Gyömrõ";"422";"198";"130";" ";
"Káva";"25";"10";"7";" ";
"Monor";"584";"282";"170";" ";
"Monorierdõ";"149";"80";"47";" ";
"Nyáregyháza";"130";"58";"33";" ";
"Pánd";"93";"39";"22";" ";
"Péteri";"62";"26";"14";" ";
"Pilis";"435";"225";"126";" ";
"Vasad";"65";"22";"10";" ";
"Nagykátai járás";"2772";"1294";"734";" ";
"Farmos";"145";"73";"39";" ";
"Kóka";"134";"74";"47";" ";
"Mende";"104";"45";"27";" ";
"Nagykáta";"465";"252";"146";" ";
"Sülysáp";"214";"80";"38";" ";
"Szentlõrinckáta";"54";"18";"13";" ";
"Szentmártonkáta";"254";"140";"86";" ";
"Tápióbicske";"172";"67";"28";" ";
"Tápiógyörgye";"158";"54";"24";" ";
"Tápióság";"90";"39";"17";" ";
"Tápiószecsõ";"164";"73";"34";" ";
"Tápiószele";"320";"141";"76";" ";
"Tápiószentmárton";"214";"85";"58";" ";
"Tóalmás";"203";"120";"82";" ";
"Úri";"81";"33";"19";" ";
"Nagykõrösi járás";"1625";"839";"599";" ";
"Kocsér";"84";"43";"18";" ";
"Nagykõrös";"1402";"714";"527";" ";
"Nyársapát";"139";"82";"54";" ";
"Pilisvörösvári járás";"832";"401";"241";" ";
"Pilisborosjenõ";"40";"22";"14";" ";
"Piliscsaba";"213";"109";"64";" ";
"Pilisjászfalu";"41";"20";"13";" ";
"Pilisszántó";"60";"35";"21";" ";
"Pilisszentiván";"74";"44";"28";" ";
"Pilisvörösvár";"172";"64";"42";" ";
"Solymár";"109";"45";"28";" ";
"Tinnye";"48";"26";"13";" ";
"Üröm";"75";"36";"18";" ";
"Ráckevei járás";"1395";"551";"295";" ";
"Apaj";"38";"13";"5";" ";
"Áporka";"22";"8";"4";" ";
"Dömsöd";"314";"112";"58";" ";
