"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2015. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,17";"2988840,5";"2005639,0";"56483";"32011";"20534";" ";
"Budapest (Budapest)";"525,13";"1758512,5";"1177462,0";"28134";"16004";"10224";" ";
"Budapest";"525,13";"1758512,5";"1177462,0";"28134";"16004";"10224";" ";
"Budapest, illetve fiktív területi egység";"525,13";"1758512,5";"1177462,0";"28134";"16004";"10224";" ";
"Budapest";"525,13";"1758512,5";"1177462,0";"28134";"16004";"10224";" ";
"Pest (Pest)";"6391,04";"1230328,0";"828177,0";"28349";"16007";"10310";" ";
"Pest megye";"6391,04";"1230328,0";"828177,0";"28349";"16007";"10310";" ";
"Aszódi járás";"298,37";"36551,5";"24831,0";"1029";"602";"373";" ";
"Aszód";"16,20";"6161,0";"4196,0";"88";"43";"26";" ";
"Bag";"23,55";"3590,0";"2349,0";"140";"75";"53";" ";
"Domony";"21,80";"2130,5";"1433,0";"64";"49";"29";" ";
"Galgahévíz";"31,18";"2472,0";"1669,0";"94";"55";"29";" ";
"Galgamácsa";"43,31";"1731,5";"1237,0";"41";"19";"7";" ";
"Hévízgyörk";"22,85";"2988,0";"2025,0";"50";"31";"20";" ";
"Iklad";"11,21";"1989,0";"1300,0";"36";"21";"12";" ";
"Kartal";"29,11";"5611,0";"3926,0";"140";"72";"38";" ";
"Tura";"55,92";"7691,5";"5172,0";"273";"174";"118";" ";
"Vácegres";"13,67";"860,5";"613,0";"53";"39";"26";" ";
"Verseg";"29,57";"1326,5";"911,0";"50";"24";"15";" ";
"Budakeszi járás";"288,94";"87139,0";"57380,0";"1285";"698";"473";" ";
"Biatorbágy";"44,12";"12849,5";"8396,0";"137";"80";"56";" ";
"Budajenõ";"12,42";"1872,5";"1213,0";"33";"24";"13";" ";
"Budakeszi";"37,10";"13901,0";"8885,0";"175";"73";"46";" ";
"Budaörs";"23,59";"28219,5";"18742,0";"514";"305";"215";" ";
"Herceghalom";"7,34";"2424,5";"1698,0";"26";"8";"4";" ";
"Nagykovácsi";"27,67";"7362,0";"4833,0";"53";"29";"17";" ";
"Páty";"39,30";"7167,5";"4761,0";"84";"46";"31";" ";
"Perbál";"25,65";"2019,0";"1370,0";"45";"28";"19";" ";
"Remeteszõlõs";"2,89";"819,0";"540,0";"8";"3";"1";" ";
"Telki";"10,47";"3882,0";"2448,0";"34";"13";"7";" ";
"Tök";"24,73";"1300,5";"918,0";"43";"22";"17";" ";
"Zsámbék";"33,66";"5322,0";"3576,0";"133";"67";"47";" ";
"Ceglédi járás";"886,29";"87822,5";"58394,0";"3358";"2108";"1298";" ";
"Abony";"127,97";"14535,5";"9516,0";"635";"381";"265";" ";
"Albertirsa";"72,96";"12200,0";"8237,0";"369";"230";"142";" ";
"Cegléd";"244,87";"35750,5";"23500,0";"1398";"929";"568";" ";
"Ceglédbercel";"28,15";"4250,0";"2837,0";"118";"88";"64";" ";
"Csemõ";"79,44";"4199,0";"2923,0";"220";"124";"59";" ";
"Dánszentmiklós";"38,00";"2931,5";"2121,0";"76";"43";"23";" ";
"Jászkarajenõ";"65,15";"2690,0";"1727,0";"120";"73";"43";" ";
"Kõröstetétlen";"32,65";"851,5";"575,0";"14";"9";"4";" ";
"Mikebuda";"42,17";"670,5";"482,0";"22";"13";"8";" ";
"Tápiószõlõs";"31,79";"2831,5";"1923,0";"92";"47";"28";" ";
"Törtel";"84,16";"4341,0";"2882,0";"221";"137";"82";" ";
"Újszilvás";"38,98";"2571,5";"1671,0";"73";"34";"12";" ";
"Dabasi járás";"614,23";"48742,5";"33398,0";"1733";"896";"532";" ";
"Bugyi";"115,55";"5119,0";"3514,0";"128";"58";"28";" ";
"Dabas";"165,99";"16675,5";"11470,0";"494";"222";"130";" ";
"Hernád";"27,06";"3988,5";"2722,0";"123";"59";"37";" ";
"Inárcs";"22,53";"4440,5";"3088,0";"174";"104";"65";" ";
"Kakucs";"21,80";"2942,5";"2030,0";"115";"59";"35";" ";
"Örkény";"36,44";"4779,0";"3170,0";"287";"158";"84";" ";
"Pusztavacs";"79,07";"1321,0";"906,0";"37";"18";"8";" ";
"Táborfalva";"42,05";"3246,5";"2289,0";"118";"62";"42";" ";
"Tatárszentgyörgy";"55,06";"1824,5";"1221,0";"169";"114";"78";" ";
"Újhartyán";"22,43";"2727,5";"1836,0";"53";"23";"11";" ";
"Újlengyel";"26,25";"1678,0";"1152,0";"35";"19";"14";" ";
"Dunakeszi járás";"105,28";"81192,5";"54781,0";"1328";"750";"484";" ";
"Csomád";"12,38";"1595,0";"1101,0";"23";"13";"5";" ";
"Dunakeszi";"31,06";"42156,5";"28534,0";"620";"346";"220";" ";
"Fót";"37,40";"19168,5";"13118,0";"332";"189";"123";" ";
"Göd";"24,44";"18272,5";"12028,0";"353";"202";"136";" ";
"Érdi járás";"184,29";"119547,0";"81161,0";"1729";"857";"542";" ";
"Diósd";"5,75";"9772,0";"6415,0";"95";"52";"31";" ";
"Érd";"60,54";"64417,0";"44043,0";"1003";"501";"311";" ";
"Pusztazámor";"9,27";"1167,0";"821,0";"21";"8";"5";" ";
"Sóskút";"27,67";"3158,0";"2174,0";"56";"32";"22";" ";
"Százhalombatta";"28,06";"18608,0";"12769,0";"263";"114";"69";" ";
"Tárnok";"23,60";"9129,0";"6405,0";"162";"86";"62";" ";
"Törökbálint";"29,40";"13296,0";"8534,0";"129";"64";"42";" ";
"Gödöllõi járás";"449,65";"142441,0";"95574,0";"3046";"1856";"1238";" ";
"Csömör";"22,70";"9278,0";"6273,0";"108";"65";"44";" ";
"Dány";"43,01";"4442,0";"2879,0";"188";"139";"95";" ";
"Erdõkertes";"5,75";"7594,0";"5123,0";"178";"124";"78";" ";
"Gödöllõ";"61,92";"32578,5";"21490,0";"728";"450";"310";" ";
"Isaszeg";"54,83";"11257,0";"7626,0";"292";"162";"106";" ";
"Kerepes";"24,08";"9888,5";"6812,0";"228";"146";"101";" ";
"Kistarcsa";"11,02";"12297,5";"8311,0";"197";"96";"60";" ";
"Mogyoród";"34,48";"6499,0";"4507,0";"113";"76";"51";" ";
"Nagytarcsa";"12,14";"4170,0";"2946,0";"43";"19";"13";" ";
"Pécel";"43,63";"15426,0";"10305,0";"307";"165";"112";" ";
"Szada";"16,72";"5007,5";"3338,0";"77";"40";"25";" ";
"Vácszentlászló";"29,87";"2027,5";"1421,0";"60";"38";"19";" ";
"Valkó";"37,59";"2404,0";"1680,0";"135";"101";"65";" ";
"Veresegyház";"28,56";"17278,5";"11317,0";"271";"157";"103";" ";
"Zsámbok";"23,35";"2293,0";"1546,0";"121";"78";"56";" ";
"Gyáli járás";"170,99";"40887,0";"28400,0";"1073";"605";"381";" ";
"Alsónémedi";"49,07";"5234,5";"3612,0";"98";"50";"32";" ";
"Felsõpakony";"15,33";"3365,0";"2389,0";"74";"43";"30";" ";
"Gyál";"24,93";"23036,0";"16001,0";"527";"293";"192";" ";
"Ócsa";"81,66";"9251,5";"6398,0";"374";"219";"127";" ";
"Monori járás";"352,02";"67027,0";"46064,0";"1818";"969";"628";" ";
"Bénye";"16,52";"1223,0";"828,0";"19";"6";"3";" ";
"Csévharaszt";"49,24";"1862,0";"1357,0";"44";"11";"8";" ";
"Gomba";"39,71";"2936,5";"2043,0";"85";"39";"22";" ";
"Gyömrõ";"26,51";"17086,5";"11390,0";"355";"204";"133";" ";
"Káva";"11,31";"659,5";"445,0";"18";"10";"9";" ";
"Monor";"46,79";"17906,5";"12244,0";"509";"284";"187";" ";
"Monorierdõ";"15,07";"4110,0";"2892,0";"115";"53";"34";" ";
