"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"50821";"22951";"11099";"2924";
"Budapest (Budapest)";"26963";"10874";"4449";"811";
"Budapest";"26963";"10874";"4449";"811";
"Budapest, illetve fiktív területi egység";"26963";"10874";"4449";"811";
"Budapest";"26963";"10874";"4449";"811";
"Pest (Pest)";"23858";"12077";"6650";"2113";
"Pest megye";"23858";"12077";"6650";"2113";
"Aszódi járás";"974";"555";"294";"130";
"Aszód";"114";"52";"18";"13";
"Bag";"105";"65";"35";"22";
"Domony";"65";"37";"16";"10";
"Galgahévíz";"78";"48";"31";"10";
"Galgamácsa";"47";"27";"10";"4";
"Hévízgyörk";"52";"28";"11";"14";
"Iklad";"30";"11";"3";"3";
"Kartal";"135";"70";"31";"15";
"Tura";"269";"162";"114";"25";
"Vácegres";"38";"24";"12";"10";
"Verseg";"41";"31";"13";"4";
"Budakeszi járás";"1158";"507";"293";"37";
"Biatorbágy";"147";"61";"30";" ";
"Budajenõ";"23";"7";"4";" ";
"Budakeszi";"191";"84";"44";"3";
"Budaörs";"448";"214";"131";" ";
"Herceghalom";"26";"9";"2";" ";
"Nagykovácsi";"65";"27";"12";"1";
"Páty";"88";"28";"17";"5";
"Perbál";"36";"17";"12";"2";
"Remeteszõlõs";"11";"4";" ";" ";
"Telki";"31";"14";"10";"1";
"Tök";"21";"8";"4";"3";
"Zsámbék";"71";"34";"27";"22";
"Ceglédi járás";"2516";"1528";"1016";"414";
"Abony";"460";"279";"196";"82";
"Albertirsa";"307";"188";"119";"19";
"Cegléd";"1038";"632";"418";"114";
"Ceglédbercel";"86";"46";"30";"22";
"Csemõ";"166";"119";"83";"30";
"Dánszentmiklós";"60";"34";"19";"5";
"Jászkarajenõ";"98";"57";"35";"36";
"Kõröstetétlen";"15";"4";"2";"7";
"Mikebuda";"26";"14";"9";"5";
"Tápiószõlõs";"66";"34";"23";"27";
"Törtel";"142";"93";"65";"35";
"Újszilvás";"52";"28";"17";"32";
"Dabasi járás";"1739";"966";"435";"164";
"Bugyi";"122";"66";"30";"14";
"Dabas";"554";"291";"118";"69";
"Hernád";"120";"62";"23";"2";
"Inárcs";"124";"70";"37";"17";
"Kakucs";"97";"58";"31";"4";
"Örkény";"293";"175";"88";"25";
"Pusztavacs";"50";"27";"10";"5";
"Táborfalva";"147";"84";"39";"5";
"Tatárszentgyörgy";"140";"85";"42";"23";
"Újhartyán";"70";"37";"11";" ";
"Újlengyel";"22";"11";"6";" ";
"Dunakeszi járás";"1101";"531";"236";"41";
"Csomád";"24";"9";"3";" ";
"Dunakeszi";"515";"248";"101";"16";
"Fót";"293";"144";"64";"5";
"Göd";"269";"130";"68";"20";
"Érdi járás";"1399";"534";"259";"13";
"Diósd";"95";"33";"13";"1";
"Érd";"796";"308";"146";"9";
"Pusztazámor";"14";"6";"4";"1";
"Sóskút";"42";"21";"12";" ";
"Százhalombatta";"210";"78";"41";" ";
"Tárnok";"126";"52";"32";"2";
"Törökbálint";"116";"36";"11";" ";
"Gödöllõi járás";"2819";"1421";"717";"157";
"Csömör";"96";"43";"18";"5";
"Dány";"151";"81";"58";"33";
"Erdõkertes";"164";"79";"40";"5";
"Gödöllõ";"682";"357";"204";"12";
"Isaszeg";"257";"134";"63";"14";
"Kerepes";"194";"105";"49";"2";
"Kistarcsa";"205";"115";"60";"5";
"Mogyoród";"118";"63";"24";"2";
"Nagytarcsa";"76";"34";"14";"3";
"Pécel";"220";"99";"49";"7";
"Szada";"95";"40";"11";"4";
"Vácszentlászló";"54";"24";"10";"15";
"Valkó";"111";"63";"37";"24";
"Veresegyház";"310";"143";"53";"12";
"Zsámbok";"86";"41";"27";"14";
"Gyáli járás";"1049";"533";"206";"32";
"Alsónémedi";"106";"52";"21";"1";
"Felsõpakony";"93";"48";"13";"7";
"Gyál";"503";"244";"87";"13";
"Ócsa";"347";"189";"85";"11";
"Monori járás";"1395";"587";"322";"110";
"Bénye";"20";"9";"4";"1";
"Csévharaszt";"38";"10";"4";"3";
"Gomba";"59";"31";"19";"4";
"Gyömrõ";"290";"123";"61";"10";
"Káva";"14";"7";"3";"2";
"Monor";"345";"126";"70";"37";
"Monorierdõ";"101";"36";"16";"8";
"Nyáregyháza";"89";"33";"16";"6";
"Pánd";"53";"20";"9";"6";
"Péteri";"49";"23";"11";"10";
"Pilis";"309";"157";"102";"16";
"Vasad";"28";"12";"7";"7";
"Nagykátai járás";"2153";"1229";"754";"423";
"Farmos";"105";"63";"44";"16";
"Kóka";"102";"48";"25";"33";
"Mende";"81";"43";"27";"7";
"Nagykáta";"424";"262";"160";"56";
"Sülysáp";"203";"115";"67";"26";
"Szentlõrinckáta";"40";"16";"6";"17";
"Szentmártonkáta";"151";"91";"63";"25";
"Tápióbicske";"118";"69";"43";"31";
"Tápiógyörgye";"77";"43";"25";"37";
"Tápióság";"67";"29";"18";"23";
"Tápiószecsõ";"132";"70";"40";"19";
"Tápiószele";"260";"148";"88";"60";
"Tápiószentmárton";"152";"80";"44";"46";
"Tóalmás";"210";"136";"95";"19";
"Úri";"31";"16";"9";"8";
"Nagykõrösi járás";"956";"651";"464";"43";
"Kocsér";"35";"17";"12";"12";
"Nagykõrös";"815";"556";"395";"23";
"Nyársapát";"106";"78";"57";"8";
"Pilisvörösvári járás";"574";"242";"138";"19";
"Pilisborosjenõ";"41";"13";"8";" ";
"Piliscsaba";"108";"49";"30";"3";
"Pilisjászfalu";"18";"6";"2";"1";
"Pilisszántó";"36";"21";"13";"1";
"Pilisszentiván";"36";"16";"10";"3";
"Pilisvörösvár";"145";"60";"30";"4";
"Solymár";"99";"37";"20";" ";
"Tinnye";"28";"13";"8";"4";
"Üröm";"63";"27";"17";"3";
"Ráckevei járás";"952";"525";"335";"123";
"Apaj";"15";"3";"3";"1";
"Áporka";"13";"7";"5";"2";
"Dömsöd";"249";"154";"124";"38";
"Kiskunlacháza";"190";"107";"58";"6";
"Lórév";"2";"2";"1";"6";
"Makád";"28";"16";"8";"13";
"Ráckeve";"286";"155";"89";"39";
"Szigetbecse";"30";"14";"8";"4";
"Szigetcsép";"46";"17";"12";"4";
"Szigetszentmárton";"47";"24";"13";"4";
"Szigetújfalu";"46";"26";"14";"6";
"Szentendrei járás";"1070";"460";"270";"36";
"Budakalász";"109";"47";"31";"1";
"Csobánka";"38";"12";"6";" ";
"Dunabogdány";"39";"11";"4";"1";
"Kisoroszi";"23";"15";"10";"1";
"Leányfalu";"48";"14";"9";"2";
"Pilisszentkereszt";"31";"16";"10";"2";
"Pilisszentlászló";"23";"8";"2";"2";
"Pócsmegyer";"55";"26";"14";"3";
"Pomáz";"217";"98";"57";"2";
"Szentendre";"350";"155";"95";"8";
"Szigetmonostor";"39";"15";"6";"11";
"Tahitótfalu";"79";"35";"20";"3";
"Visegrád";"19";"8";"6";" ";
"Szigetszentmiklósi járás";"1609";"647";"337";"26";
"Délegyháza";"57";"19";"11";"4";
"Dunaharaszti";"254";"106";"56";"1";
"Dunavarsány";"125";"50";"24";"2";
"Halásztelek";"149";"57";"24";"2";
"Majosháza";"29";"14";"5";" ";
"Szigethalom";"256";"100";"58";"8";
"Szigetszentmiklós";"545";"216";"118";"1";
"Taksony";"79";"37";"16";"6";
