"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2015. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Pilisjászfalu";"28";"19";"12";" ";
"Pilisszántó";"47";"23";"15";" ";
"Pilisszentiván";"59";"36";"20";" ";
"Pilisvörösvár";"148";"85";"63";" ";
"Solymár";"114";"56";"35";" ";
"Tinnye";"50";"26";"17";" ";
"Üröm";"80";"44";"30";" ";
"Ráckevei járás";"1138";"655";"453";" ";
"Apaj";"29";"17";"11";" ";
"Áporka";"19";"9";"6";" ";
"Dömsöd";"278";"161";"117";" ";
"Kiskunlacháza";"292";"180";"135";" ";
"Lórév";"6";"2";"2";" ";
"Makád";"23";"9";"2";" ";
"Ráckeve";"288";"162";"107";" ";
"Szigetbecse";"40";"17";"11";" ";
"Szigetcsép";"60";"40";"29";" ";
"Szigetszentmárton";"65";"38";"23";" ";
"Szigetújfalu";"38";"20";"10";" ";
"Szentendrei járás";"1195";"642";"398";" ";
"Budakalász";"134";"74";"49";" ";
"Csobánka";"60";"33";"14";" ";
"Dunabogdány";"45";"28";"21";" ";
"Kisoroszi";"14";"10";"6";" ";
"Leányfalu";"52";"29";"18";" ";
"Pilisszentkereszt";"28";"14";"7";" ";
"Pilisszentlászló";"21";"10";"5";" ";
"Pócsmegyer";"37";"18";"10";" ";
"Pomáz";"245";"131";"79";" ";
"Szentendre";"406";"223";"148";" ";
"Szigetmonostor";"58";"28";"18";" ";
"Tahitótfalu";"74";"36";"18";" ";
"Visegrád";"21";"8";"5";" ";
"Szigetszentmiklósi járás";"2121";"1156";"743";" ";
"Délegyháza";"69";"29";"18";" ";
"Dunaharaszti";"345";"208";"132";" ";
"Dunavarsány";"151";"93";"60";" ";
"Halásztelek";"168";"88";"52";" ";
"Majosháza";"45";"30";"23";" ";
"Szigethalom";"376";"208";"133";" ";
"Szigetszentmiklós";"680";"333";"214";" ";
"Taksony";"85";"49";"33";" ";
"Tököl";"202";"118";"78";" ";
"Szobi járás";"571";"317";"212";" ";
"Bernecebaráti";"21";"10";"6";" ";
"Ipolydamásd";"4";"4";"2";" ";
"Ipolytölgyes";"7";" ";" ";" ";
"Kemence";"41";"18";"13";" ";
"Kismaros";"31";"16";"12";" ";
"Kóspallag";"16";"8";"4";" ";
"Letkés";"19";"12";"9";" ";
"Márianosztra";"15";"6";"2";" ";
"Nagybörzsöny";"33";"15";"12";" ";
"Nagymaros";"119";"77";"52";" ";
"Perõcsény";"5";"3";"2";" ";
"Szob";"45";"18";"11";" ";
"Szokolya";"47";"31";"15";" ";
"Tésa";"3";"3";"3";" ";
"Vámosmikola";"57";"37";"32";" ";
"Verõce";"83";"45";"27";" ";
"Zebegény";"25";"14";"10";" ";
"Váci járás";"1634";"987";"642";" ";
"Acsa";"38";"24";"13";" ";
"Csörög";"106";"72";"45";" ";
"Csõvár";"13";"2";"2";" ";
"Galgagyörk";"55";"38";"27";" ";
"Kisnémedi";"15";"9";"4";" ";
"Kosd";"60";"39";"28";" ";
"Õrbottyán";"155";"87";"58";" ";
"Penc";"21";"10";"7";" ";
"Püspökhatvan";"55";"32";"21";" ";
"Püspökszilágy";"15";"11";"7";" ";
"Rád";"42";"26";"11";" ";
"Szõd";"56";"34";"20";" ";
"Szõdliget";"60";"33";"26";" ";
"Vác";"808";"488";"328";" ";
"Vácduka";"24";"14";"5";" ";
"Váchartyán";"50";"29";"17";" ";
"Váckisújfalu";"16";"16";"9";" ";
"Vácrátót";"45";"23";"14";" ";
"Vecsési járás";"817";"420";"299";" ";
"Ecser";"46";"26";"20";" ";
"Maglód";"229";"117";"82";" ";
"Üllõ";"246";"128";"90";" ";
"Vecsés";"296";"149";"107";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";
"Dunántúl";"85663";"39443";"22969";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"26999";"11712";"6526";" ";
"Fejér megye";"11688";"5325";"2961";" ";
"Bicskei járás";"669";"312";"170";" ";
"Alcsútdoboz";"37";"22";"13";" ";
"Bicske";"239";"126";"58";" ";
"Bodmér";"6";"2";"2";" ";
"Csabdi";"28";"12";"7";" ";
"Csákvár";"84";"30";"11";" ";
"Etyek";"64";"27";"19";" ";
"Felcsút";"29";"14";"8";" ";
"Gánt";"4";"2";"2";" ";
"Mány";"54";"17";"13";" ";
"Óbarok";"22";"13";"6";" ";
"Szár";"22";"13";"7";" ";
"Tabajd";"19";"9";"6";" ";
"Újbarok";"8";"4";"2";" ";
"Vértesacsa";"35";"16";"12";" ";
"Vértesboglár";"18";"5";"4";" ";
"Dunaújvárosi járás";"3195";"1692";"913";" ";
"Adony";"95";"50";"25";" ";
"Baracs";"106";"49";"24";" ";
"Beloiannisz";"31";"14";"10";" ";
"Besnyõ";"42";"20";"10";" ";
"Daruszentmiklós";"46";"20";"13";" ";
"Dunaújváros";"1614";"881";"461";" ";
"Elõszállás";"102";"48";"28";" ";
"Iváncsa";"58";"27";"20";" ";
"Kisapostag";"41";"24";"12";" ";
"Kulcs";"112";"53";"37";" ";
"Mezõfalva";"229";"100";"43";" ";
"Nagykarácsony";"76";"35";"18";" ";
"Nagyvenyim";"119";"71";"43";" ";
"Perkáta";"152";"87";"47";" ";
"Pusztaszabolcs";"223";"126";"79";" ";
"Rácalmás";"149";"87";"43";" ";
"Enyingi járás";"1073";"407";"178";" ";
"Dég";"81";"24";"18";" ";
"Enying";"431";"193";"99";" ";
"Kisláng";"156";"63";"17";" ";
"Lajoskomárom";"90";"25";"11";" ";
"Lepsény";"133";"50";"12";" ";
"Mátyásdomb";"30";"14";"2";" ";
"Mezõkomárom";"31";"3";" ";" ";
"Mezõszentgyörgy";"108";"31";"18";" ";
"Szabadhídvég";"13";"4";"1";" ";
"Gárdonyi járás";"532";"227";"166";" ";
"Gárdony";"175";"71";"50";" ";
"Kápolnásnyék";"72";"25";"21";" ";
"Nadap";"7";"1";"1";" ";
"Pákozd";"55";"22";"15";" ";
"Pázmánd";"23";"15";"13";" ";
"Sukoró";"10";"5";"4";" ";
"Szabadegyháza";"68";"29";"17";" ";
"Velence";"82";"40";"29";" ";
"Vereb";"13";"4";"4";" ";
"Zichyújfalu";"27";"15";"12";" ";
"Martonvásári járás";"849";"408";"215";" ";
"Baracska";"77";"39";"23";" ";
"Ercsi";"445";"212";"102";" ";
"Gyúró";"16";"8";"6";" ";
"Kajászó";"21";"11";"8";" ";
"Martonvásár";"108";"53";"31";" ";
"Ráckeresztúr";"99";"46";"23";" ";
"Tordas";"25";"13";"7";" ";
"Vál";"58";"26";"15";" ";
"Móri járás";"598";"201";"104";" ";
"Bakonycsernye";"46";"18";"8";" ";
"Balinka";"15";"5";"1";" ";
"Bodajk";"84";"28";"13";" ";
"Csákberény";"28";"15";"7";" ";
"Csókakõ";"26";"13";"8";" ";
"Fehérvárcsurgó";"42";"15";"9";" ";
"Isztimér";"11";"3";"2";" ";
"Kincsesbánya";"26";"9";"3";" ";
"Magyaralmás";"18";"3";"1";" ";
"Mór";"245";"78";"44";" ";
"Nagyveleg";"13";"3";"2";" ";
"Pusztavám";"36";"9";"5";" ";
"Söréd";"8";"2";"1";" ";
"Sárbogárdi járás";"1432";"688";"420";" ";
"Alap";"59";"27";"18";" ";
"Alsószentiván";"18";"11";"7";" ";
"Cece";"133";"60";"41";" ";
"Hantos";"23";"12";"6";" ";
"Igar";"97";"54";"39";" ";
"Mezõszilas";"81";"36";"12";" ";
"Nagylók";"34";"18";"7";" ";
"Sárbogárd";"625";"317";"195";" ";
"Sáregres";"35";"12";"6";" ";
"Sárkeresztúr";"208";"90";"54";" ";
"Sárszentágota";"51";"17";"11";" ";
"Vajta";"68";"34";"24";" ";
"Székesfehérvári járás";"3340";"1390";"795";" ";
"Aba";"111";"42";"27";" ";
"Bakonykúti";"3";" ";" ";" ";
"Csór";"42";"18";"12";" ";
"Csõsz";"37";"10";"5";" ";
"Füle";"30";"11";"6";" ";
"Iszkaszentgyörgy";"44";"17";"8";" ";
"Jenõ";"27";"3";"3";" ";
"Káloz";"95";"45";"24";" ";
"Kõszárhegy";"42";"15";"7";" ";
"Lovasberény";"58";"26";"16";" ";
"Moha";"12";"2";"1";" ";
"Nádasdladány";"71";"35";"18";" ";
"Pátka";"49";"18";"9";" ";
"Polgárdi";"221";"89";"43";" ";
"Sárkeresztes";"27";"12";"8";" ";
"Sárkeszi";"19";"7";"2";" ";
"Sárosd";"106";"18";"10";" ";
"Sárszentmihály";"64";"34";"22";" ";
"Seregélyes";"86";"37";"19";" ";
"Soponya";"60";"21";"13";" ";
"Szabadbattyán";"142";"58";"34";" ";
"Székesfehérvár";"1856";"825";"478";" ";
"Tác";"22";"8";"6";" ";
"Úrhida";"53";"22";"14";" ";
"Zámoly";"63";"17";"10";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";
"Komárom-Esztergom megye";"6685";"2818";"1584";" ";
"Esztergomi járás";"2089";"947";"567";" ";
"Annavölgy";"25";"6";"1";" ";
"Bajna";"61";"23";"14";" ";
"Bajót";"51";"30";"24";" ";
"Csolnok";"53";"22";"14";" ";
"Dág";"24";"6";"4";" ";
"Dorog";"322";"142";"78";" ";
"Dömös";"25";"11";"8";" ";
"Epöl";"17";"5";"3";" ";
"Esztergom";"541";"228";"143";" ";
"Kesztölc";"65";"29";"15";" ";
"Lábatlan";"130";"76";"45";" ";
"Leányvár";"26";"10";"6";" ";
"Máriahalom";"13";"6";"2";" ";
"Mogyorósbánya";"11";"4";"4";" ";
"Nagysáp";"60";"25";"12";" ";
"Nyergesújfalu";"133";"62";"37";" ";
"Piliscsév";"68";"34";"16";" ";
"Pilismarót";"38";"17";"6";" ";
"Sárisáp";"85";"41";"31";" ";
"Süttõ";"38";"18";"10";" ";
"Tát";"79";"36";"17";" ";
"Tokod";"113";"65";"42";" ";
"Tokodaltáró";"80";"34";"22";" ";
"Úny";"31";"17";"13";" ";
"Kisbéri járás";"434";"174";"87";" ";
"Ácsteszér";"13";"4";"1";" ";
"Aka";"2";"1";"1";" ";
"Ászár";"22";"7";"2";" ";
"Bakonybánk";"12";"4";"1";" ";
"Bakonysárkány";"15";"5";" ";" ";
"Bakonyszombathely";"23";"11";"8";" ";
"Bársonyos";"11";"10";"3";" ";
"Császár";"50";"21";"9";" ";
"Csatka";"5";"1";" ";" ";
"Csép";"9";"2";"1";" ";
"Ete";"7";"1";" ";" ";
"Kerékteleki";"11";"2";"2";" ";
"Kisbér";"122";"51";"28";" ";
"Réde";"39";"20";"11";" ";
"Súr";"40";"11";"5";" ";
"Tárkány";"43";"19";"12";" ";
"Vérteskethely";"10";"4";"3";" ";
"Komáromi járás";"844";"333";"183";" ";
"Ács";"158";"62";"31";" ";
"Almásfüzitõ";"44";"13";"3";" ";
"Bábolna";"53";"20";"13";" ";
"Bana";"34";"10";"6";" ";
"Csém";"20";"7";"2";" ";
"Kisigmánd";"13";"4";"1";" ";
"Komárom";"390";"162";"88";" ";
"Mocsa";"71";"34";"23";" ";
"Nagyigmánd";"61";"21";"16";" ";
"Oroszlányi járás";"595";"232";"105";" ";
"Bokod";"33";"13";"4";" ";
"Dad";"21";"7";"2";" ";
"Kecskéd";"25";"6";"4";" ";
"Kömlõd";"27";"12";"5";" ";
"Oroszlány";"463";"183";"84";" ";
"Szákszend";"26";"11";"6";" ";
"Tatai járás";"782";"314";"165";" ";
"Baj";"40";"15";"10";" ";
"Dunaalmás";"28";"8";"4";" ";
"Dunaszentmiklós";"5";"3";"1";" ";
"Kocs";"45";"20";"11";" ";
"Naszály";"48";"14";"5";" ";
"Neszmély";"35";"18";"8";" ";
"Szomód";"32";"11";"4";" ";
"Tardos";"34";"16";"9";" ";
"Tata";"507";"204";"111";" ";
"Vértestolna";"8";"5";"2";" ";
"Tatabányai járás";"1941";"818";"477";" ";
"Gyermely";"23";"8";"6";" ";
"Héreg";"22";"12";"6";" ";
"Környe";"93";"46";"25";" ";
"Szárliget";"41";"16";"8";" ";
"Szomor";"6";"5";"5";" ";
"Tarján";"42";"21";"12";" ";
"Tatabánya";"1622";"671";"397";" ";
"Várgesztes";"4";"1";" ";" ";
"Vértessomló";"17";"6";"5";" ";
"Vértesszõlõs";"71";"32";"13";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Komárom-E megye területre nem bontható adatai";" ";" ";" ";" ";
"Veszprém megye";"8626";"3569";"1981";" ";
"Ajkai járás";"913";"385";"212";" ";
"Ajka";"609";"262";"142";" ";
"Csehbánya";"13";"3";"1";" ";
"Farkasgyepû";"6";"1";" ";" ";
"Halimba";"43";"23";"15";" ";
"Kislõd";"37";"16";"12";" ";
"Magyarpolány";"25";"8";"5";" ";
"Nyirád";"48";"20";"8";" ";
"Öcs";"13";"6";"4";" ";
"Szõc";"17";"6";"2";" ";
"Úrkút";"55";"18";"9";" ";
"Városlõd";"47";"22";"14";" ";
"Balatonalmádi járás";"658";"277";"157";" ";
"Balatonakarattya";"20";"6";"2";" ";
"Balatonalmádi";"223";"96";"56";" ";
"Balatonfõkajár";"41";"22";"14";" ";
"Balatonfûzfõ";"82";"31";"20";" ";
"Balatonkenese";"106";"36";"18";" ";
"Csajág";"20";"9";"6";" ";
"Felsõörs";"44";"16";"9";" ";
"Királyszentistván";"10";"8";"4";" ";
"Küngös";"15";"4";"2";" ";
"Litér";"49";"26";"12";" ";
"Papkeszi";"48";"23";"14";" ";
"Balatonfüredi járás";"594";"199";"129";" ";
"Alsóörs";"27";"7";"2";" ";
"Aszófõ";"11";"4";"3";" ";
"Balatonakali";"19";"4";"1";" ";
"Balatoncsicsó";"4";"2";"2";" ";
"Balatonfüred";"313";"100";"65";" ";
"Balatonszepezd";"8";"3";"3";" ";
"Balatonszõlõs";"16";"6";"6";" ";
"Balatonudvari";"9";"4";"3";" ";
"Csopak";"46";"16";"13";" ";
"Dörgicse";"17";"10";"5";" ";
"Lovas";"7";"3";"3";" ";
"Monoszló";"7";"3";"3";" ";
"Óbudavár";" ";" ";" ";" ";
"Örvényes";"7";"2";" ";" ";
"Paloznak";"6";"2";"1";" ";
"Pécsely";"10";"4";" ";" ";
"Szentantalfa";"17";"7";"2";" ";
"Szentjakabfa";"6";"2";"1";" ";
"Tagyon";"1";" ";" ";" ";
"Tihany";"33";"9";"8";" ";
"Vászoly";"6";"2";"1";" ";
"Zánka";"24";"9";"7";" ";
"Devecseri járás";"622";"265";"116";" ";
"Adorjánháza";"34";"11";"7";" ";
"Apácatorna";"6";"1";"1";" ";
"Borszörcsök";"28";"9";"5";" ";
"Csögle";"31";"7";"2";" ";
"Dabrony";"15";"4";"2";" ";
"Devecser";"160";"84";"26";" ";
"Doba";"11";"3";"2";" ";
"Egeralja";"10";"7";"5";" ";
"Iszkáz";"11";"5";"3";" ";
"Kamond";"11";"7";"4";" ";
"Karakószörcsök";"9";"5";"2";" ";
"Kerta";"29";"13";"7";" ";
"Kisberzseny";"2";" ";" ";" ";
"Kiscsõsz";"6";"2";"1";" ";
"Kispirit";"3";"1";" ";" ";
"Kisszõlõs";"13";"6";"2";" ";
"Kolontár";"21";"8";"6";" ";
"Nagyalásony";"10";"5";"1";" ";
"Nagypirit";"4";"1";"1";" ";
"Noszlop";"32";"13";"5";" ";
"Oroszi";"13";"5";"3";" ";
"Pusztamiske";"32";"20";"13";" ";
"Somlójenõ";"27";"15";"5";" ";
"Somlószõlõs";"31";"9";"2";" ";
"Somlóvásárhely";"46";"16";"7";" ";
"Somlóvecse";" ";" ";" ";" ";
"Tüskevár";"14";"5";"2";" ";
"Vid";"13";"3";"2";" ";
"Pápai járás";"1309";"487";"269";" ";
"Adásztevel";"21";"7";"3";" ";
"Bakonyjákó";"21";"1";"1";" ";
"Bakonykoppány";"6";"1";"1";" ";
"Bakonypölöske";"15";"6";" ";" ";
"Bakonyság";"3";"2";"2";" ";
"Bakonyszentiván";"9";"1";"1";" ";
"Bakonyszücs";"6";"4";"3";" ";
"Bakonytamási";"17";"4";"2";" ";
"Béb";"8";"1";"1";" ";
"Békás";"3";" ";" ";" ";
"Csót";"27";"12";"8";" ";
"Dáka";"6";"1";"1";" ";
"Döbrönte";"2";" ";" ";" ";
"Egyházaskeszõ";"14";"4";"4";" ";
"Ganna";"4";" ";" ";" ";
"Gecse";"5";"2";"1";" ";
"Gic";"7";"1";"1";" ";
"Homokbödöge";"15";"4";"2";" ";
"Kemeneshõgyész";"9";"3";"1";" ";
"Kemenesszentpéter";"18";"9";"4";" ";
"Kup";"5";"3";" ";" ";
"Külsõvat";"12";"2";"2";" ";
"Lovászpatona";"35";"13";"7";" ";
"Magyargencs";"12";"6";"5";" ";
"Malomsok";"14";"2";"2";" ";
"Marcalgergelyi";"11";"2";"1";" ";
"Marcaltõ";"13";"3";"1";" ";
"Mezõlak";"22";"11";"5";" ";
"Mihályháza";"19";"4";"2";" ";
"Nagyacsád";"19";"5";"2";" ";
"Nagydém";"23";"6";"3";" ";
"Nagygyimót";"5";"2";" ";" ";
"Nagytevel";"15";"5";" ";" ";
"Nemesgörzsöny";"14";"5";"2";" ";
"Nemesszalók";"17";"1";"1";" ";
"Németbánya";"2";" ";" ";" ";
"Nóráp";"2";" ";" ";" ";
"Nyárád";"15";"5";"3";" ";
"Pápa";"706";"313";"182";" ";
"Pápadereske";"1";" ";" ";" ";
"Pápakovácsi";"8";"2";"2";" ";
"Pápasalamon";"15";"5";"1";" ";
"Pápateszér";"25";"4";"1";" ";
"Takácsi";"18";"9";"3";" ";
"Ugod";"11";"4";"3";" ";
"Vanyola";"16";"1";"1";" ";
"Várkeszõ";"4";"2";" ";" ";
"Vaszar";"30";"9";"4";" ";
"Vinár";"4";" ";" ";" ";
"Sümegi járás";"526";"239";"131";" ";
"Bazsi";"22";"11";"7";" ";
"Bodorfa";" ";" ";" ";" ";
"Csabrendek";"100";"47";"23";" ";
"Dabronc";"16";"5";"2";" ";
"Gógánfa";"30";"10";"7";" ";
"Gyepükaján";"17";"3";"1";" ";
"Hetyefõ";"3";"1";"1";" ";
"Hosztót";"2";"1";" ";" ";
"Káptalanfa";"16";"7";"3";" ";
"Megyer";"2";"1";"1";" ";
"Nemeshany";"18";"11";"5";" ";
"Rigács";"20";"5";"3";" ";
"Sümeg";"206";"105";"57";" ";
"Sümegprága";"19";"8";"7";" ";
"Szentimrefalva";"7";"2";"1";" ";
"Ukk";"11";"4";"2";" ";
"Veszprémgalsa";"7";"2";"2";" ";
"Zalaerdõd";"7";"4";"3";" ";
"Zalagyömörõ";"17";"10";"6";" ";
"Zalameggyes";"3";"1";" ";" ";
"Zalaszegvár";"3";"1";" ";" ";
"Tapolcai járás";"934";"360";"207";" ";
"Ábrahámhegy";"6";"1";" ";" ";
"Badacsonytomaj";"52";"15";"10";" ";
"Badacsonytördemic";"34";"8";"3";" ";
"Balatonederics";"33";"9";"6";" ";
"Balatonhenye";"16";"6";"1";" ";
"Balatonrendes";"5";"4";"3";" ";
"Gyulakeszi";"20";"10";"6";" ";
"Hegyesd";"6";"4";"2";" ";
"Hegymagas";"9";"3";"2";" ";
"Kapolcs";"13";"6";"2";" ";
"Káptalantóti";"15";"7";"4";" ";
"Kékkút";"3";"1";"1";" ";
"Kisapáti";"11";"4";"3";" ";
"Kõvágóörs";"38";"7";"5";" ";
"Köveskál";"28";"15";"7";" ";
"Lesencefalu";"12";"5";"2";" ";
"Lesenceistvánd";"30";"9";"1";" ";
"Lesencetomaj";"29";"12";"9";" ";
"Mindszentkálla";"21";"7";"4";" ";
"Monostorapáti";"12";"4";"3";" ";
"Nemesgulács";"23";"7";"1";" ";
"Nemesvita";"18";"6";"5";" ";
"Raposka";"10";"5";"4";" ";
"Révfülöp";"25";"8";"4";" ";
"Salföld";"1";" ";" ";" ";
"Sáska";"8";"3";"1";" ";
"Szentbékkálla";"8";"2";"1";" ";
"Szigliget";"16";"3";"2";" ";
"Taliándörögd";"23";"9";"4";" ";
"Tapolca";"362";"160";"104";" ";
"Uzsa";"6";"4";" ";" ";
"Vigántpetend";"13";"7";"3";" ";
"Zalahaláp";"28";"9";"4";" ";
"Várpalotai járás";"1187";"477";"242";" ";
"Berhida";"308";"137";"78";" ";
"Jásd";"16";"4";"3";" ";
"Õsi";"60";"20";"6";" ";
"Öskü";"42";"15";"5";" ";
"Pétfürdõ";"101";"38";"18";" ";
"Tés";"21";"3";"1";" ";
"Várpalota";"615";"250";"122";" ";
"Vilonya";"24";"10";"9";" ";
"Veszprémi járás";"1500";"728";"419";" ";
"Bánd";"10";"1";" ";" ";
"Barnag";"2";"2";"2";" ";
"Eplény";"1";"1";"1";" ";
"Hajmáskér";"86";"35";"26";" ";
"Hárskút";"5";"2";" ";" ";
"Herend";"67";"29";"14";" ";
"Hidegkút";"8";"3";"2";" ";
"Márkó";"21";"10";"4";" ";
"Mencshely";"9";"4";"3";" ";
"Nagyvázsony";"30";"14";"10";" ";
"Nemesvámos";"31";"16";"7";" ";
"Pula";"5";"1";" ";" ";
"Sóly";"8";"2";"1";" ";
"Szentgál";"77";"27";"14";" ";
"Szentkirályszabadja";"54";"19";"7";" ";
"Tótvázsony";"14";"2";"1";" ";
"Veszprém";"1064";"559";"327";" ";
"Veszprémfajsz";"6";"1";" ";" ";
"Vöröstó";"2";" ";" ";" ";
"Zirci járás";"383";"152";"99";" ";
"Bakonybél";"20";"6";"5";" ";
"Bakonynána";"21";"9";"4";" ";
"Bakonyoszlop";"11";"6";"5";" ";
"Bakonyszentkirály";"24";"10";"5";" ";
"Borzavár";"17";"7";"5";" ";
"Csesznek";"15";"7";"6";" ";
"Csetény";"41";"16";"10";" ";
"Dudar";"35";"11";"8";" ";
"Lókút";"13";"6";"5";" ";
