"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2015. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"56483";"32011";"20534";" ";
"Budapest (Budapest)";"28134";"16004";"10224";" ";
"Budapest";"28134";"16004";"10224";" ";
"Budapest, illetve fiktív területi egység";"28134";"16004";"10224";" ";
"Budapest";"28134";"16004";"10224";" ";
"Pest (Pest)";"28349";"16007";"10310";" ";
"Pest megye";"28349";"16007";"10310";" ";
"Aszódi járás";"1029";"602";"373";" ";
"Aszód";"88";"43";"26";" ";
"Bag";"140";"75";"53";" ";
"Domony";"64";"49";"29";" ";
"Galgahévíz";"94";"55";"29";" ";
"Galgamácsa";"41";"19";"7";" ";
"Hévízgyörk";"50";"31";"20";" ";
"Iklad";"36";"21";"12";" ";
"Kartal";"140";"72";"38";" ";
"Tura";"273";"174";"118";" ";
"Vácegres";"53";"39";"26";" ";
"Verseg";"50";"24";"15";" ";
"Budakeszi járás";"1285";"698";"473";" ";
"Biatorbágy";"137";"80";"56";" ";
"Budajenõ";"33";"24";"13";" ";
"Budakeszi";"175";"73";"46";" ";
"Budaörs";"514";"305";"215";" ";
"Herceghalom";"26";"8";"4";" ";
"Nagykovácsi";"53";"29";"17";" ";
"Páty";"84";"46";"31";" ";
"Perbál";"45";"28";"19";" ";
"Remeteszõlõs";"8";"3";"1";" ";
"Telki";"34";"13";"7";" ";
"Tök";"43";"22";"17";" ";
"Zsámbék";"133";"67";"47";" ";
"Ceglédi járás";"3358";"2108";"1298";" ";
"Abony";"635";"381";"265";" ";
"Albertirsa";"369";"230";"142";" ";
"Cegléd";"1398";"929";"568";" ";
"Ceglédbercel";"118";"88";"64";" ";
"Csemõ";"220";"124";"59";" ";
"Dánszentmiklós";"76";"43";"23";" ";
"Jászkarajenõ";"120";"73";"43";" ";
"Kõröstetétlen";"14";"9";"4";" ";
"Mikebuda";"22";"13";"8";" ";
"Tápiószõlõs";"92";"47";"28";" ";
"Törtel";"221";"137";"82";" ";
"Újszilvás";"73";"34";"12";" ";
"Dabasi járás";"1733";"896";"532";" ";
"Bugyi";"128";"58";"28";" ";
"Dabas";"494";"222";"130";" ";
"Hernád";"123";"59";"37";" ";
"Inárcs";"174";"104";"65";" ";
"Kakucs";"115";"59";"35";" ";
"Örkény";"287";"158";"84";" ";
"Pusztavacs";"37";"18";"8";" ";
"Táborfalva";"118";"62";"42";" ";
"Tatárszentgyörgy";"169";"114";"78";" ";
"Újhartyán";"53";"23";"11";" ";
"Újlengyel";"35";"19";"14";" ";
"Dunakeszi járás";"1328";"750";"484";" ";
"Csomád";"23";"13";"5";" ";
"Dunakeszi";"620";"346";"220";" ";
"Fót";"332";"189";"123";" ";
"Göd";"353";"202";"136";" ";
"Érdi járás";"1729";"857";"542";" ";
"Diósd";"95";"52";"31";" ";
"Érd";"1003";"501";"311";" ";
"Pusztazámor";"21";"8";"5";" ";
"Sóskút";"56";"32";"22";" ";
"Százhalombatta";"263";"114";"69";" ";
"Tárnok";"162";"86";"62";" ";
"Törökbálint";"129";"64";"42";" ";
"Gödöllõi járás";"3046";"1856";"1238";" ";
"Csömör";"108";"65";"44";" ";
"Dány";"188";"139";"95";" ";
"Erdõkertes";"178";"124";"78";" ";
"Gödöllõ";"728";"450";"310";" ";
"Isaszeg";"292";"162";"106";" ";
"Kerepes";"228";"146";"101";" ";
"Kistarcsa";"197";"96";"60";" ";
"Mogyoród";"113";"76";"51";" ";
"Nagytarcsa";"43";"19";"13";" ";
"Pécel";"307";"165";"112";" ";
"Szada";"77";"40";"25";" ";
"Vácszentlászló";"60";"38";"19";" ";
"Valkó";"135";"101";"65";" ";
"Veresegyház";"271";"157";"103";" ";
"Zsámbok";"121";"78";"56";" ";
"Gyáli járás";"1073";"605";"381";" ";
"Alsónémedi";"98";"50";"32";" ";
"Felsõpakony";"74";"43";"30";" ";
"Gyál";"527";"293";"192";" ";
"Ócsa";"374";"219";"127";" ";
"Monori járás";"1818";"969";"628";" ";
"Bénye";"19";"6";"3";" ";
"Csévharaszt";"44";"11";"8";" ";
"Gomba";"85";"39";"22";" ";
"Gyömrõ";"355";"204";"133";" ";
"Káva";"18";"10";"9";" ";
"Monor";"509";"284";"187";" ";
"Monorierdõ";"115";"53";"34";" ";
"Nyáregyháza";"103";"61";"42";" ";
"Pánd";"75";"47";"27";" ";
"Péteri";"62";"40";"28";" ";
"Pilis";"388";"194";"123";" ";
"Vasad";"45";"20";"12";" ";
"Nagykátai járás";"2358";"1200";"713";" ";
"Farmos";"121";"68";"37";" ";
"Kóka";"110";"52";"32";" ";
"Mende";"79";"37";"21";" ";
"Nagykáta";"481";"284";"180";" ";
"Sülysáp";"194";"105";"61";" ";
"Szentlõrinckáta";"46";"15";"12";" ";
"Szentmártonkáta";"210";"78";"43";" ";
"Tápióbicske";"149";"72";"37";" ";
"Tápiógyörgye";"110";"48";"35";" ";
"Tápióság";"44";"21";"12";" ";
"Tápiószecsõ";"111";"45";"20";" ";
"Tápiószele";"263";"132";"73";" ";
"Tápiószentmárton";"159";"92";"54";" ";
"Tóalmás";"236";"130";"80";" ";
"Úri";"45";"21";"16";" ";
"Nagykõrösi járás";"1399";"890";"627";" ";
"Kocsér";"65";"35";"24";" ";
"Nagykõrös";"1202";"763";"552";" ";
"Nyársapát";"132";"92";"51";" ";
"Pilisvörösvári járás";"717";"399";"274";" ";
"Pilisborosjenõ";"44";"25";"19";" ";
"Piliscsaba";"147";"85";"63";" ";
