"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2016. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"44167";"23315";"15892";" ";
"Budapest (Budapest)";"20511";"10264";"7086";" ";
"Budapest";"20511";"10264";"7086";" ";
"Budapest, illetve fiktív területi egység";"20511";"10264";"7086";" ";
"Budapest";"20511";"10264";"7086";" ";
"Pest (Pest)";"23656";"13051";"8806";" ";
"Pest megye";"23656";"13051";"8806";" ";
"Aszódi járás";"886";"537";"362";" ";
"Aszód";"84";"39";"23";" ";
"Bag";"119";"76";"54";" ";
"Domony";"54";"36";"26";" ";
"Galgahévíz";"83";"56";"32";" ";
"Galgamácsa";"29";"20";"14";" ";
"Hévízgyörk";"42";"25";"15";" ";
"Iklad";"27";"17";"14";" ";
"Kartal";"104";"52";"34";" ";
"Tura";"260";"170";"118";" ";
"Vácegres";"49";"24";"16";" ";
"Verseg";"35";"22";"16";" ";
"Budakeszi járás";"1189";"622";"418";" ";
"Biatorbágy";"145";"69";"43";" ";
"Budajenõ";"19";"11";"11";" ";
"Budakeszi";"186";"94";"53";" ";
"Budaörs";"451";"241";"176";" ";
"Herceghalom";"21";"3";"3";" ";
"Nagykovácsi";"41";"24";"19";" ";
"Páty";"98";"42";"26";" ";
"Perbál";"37";"22";"16";" ";
"Remeteszõlõs";"8";"4";"1";" ";
"Telki";"34";"18";"9";" ";
"Tök";"33";"19";"16";" ";
"Zsámbék";"116";"75";"45";" ";
"Ceglédi járás";"2862";"1700";"1161";" ";
"Abony";"522";"331";"241";" ";
"Albertirsa";"320";"196";"145";" ";
"Cegléd";"1234";"765";"527";" ";
"Ceglédbercel";"79";"42";"33";" ";
"Csemõ";"201";"96";"55";" ";
"Dánszentmiklós";"65";"40";"27";" ";
"Jászkarajenõ";"107";"65";"29";" ";
"Kõröstetétlen";"14";"5";"2";" ";
"Mikebuda";"20";"13";"7";" ";
"Tápiószõlõs";"58";"20";"14";" ";
"Törtel";"180";"100";"67";" ";
"Újszilvás";"62";"27";"14";" ";
"Dabasi járás";"1334";"680";"422";" ";
"Bugyi";"97";"39";"28";" ";
"Dabas";"403";"179";"111";" ";
"Hernád";"76";"34";"17";" ";
"Inárcs";"107";"67";"42";" ";
"Kakucs";"81";"48";"35";" ";
"Örkény";"243";"138";"84";" ";
"Pusztavacs";"48";"24";"9";" ";
"Táborfalva";"105";"50";"30";" ";
"Tatárszentgyörgy";"104";"72";"50";" ";
"Újhartyán";"40";"18";"13";" ";
"Újlengyel";"30";"11";"3";" ";
