"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2010. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"86417";"44747";"18907";" ";
"Budapest (Budapest)";"45603";"23621";"9945";" ";
"Budapest";"45603";"23621";"9945";" ";
"Budapest, illetve fiktív területi egység";"45603";"23621";"9945";" ";
"Budapest";"45603";"23621";"9945";" ";
"Pest (Pest)";"40814";"21126";"8962";" ";
"Pest megye";"40814";"21126";"8962";" ";
"Aszódi járás";"1429";"767";"313";" ";
"Aszód";"163";"67";"24";" ";
"Bag";"160";"90";"32";" ";
"Domony";"103";"62";"28";" ";
"Galgahévíz";"115";"55";"19";" ";
"Galgamácsa";"56";"32";"12";" ";
"Hévízgyörk";"114";"70";"19";" ";
"Iklad";"58";"29";"8";" ";
"Kartal";"194";"79";"17";" ";
"Tura";"337";"204";"106";" ";
"Vácegres";"44";"32";"18";" ";
"Verseg";"85";"47";"30";" ";
"Budakeszi járás";"1961";"991";"366";" ";
"Biatorbágy";"261";"138";"49";" ";
"Budajenõ";"40";"19";"7";" ";
"Budakeszi";"216";"110";"40";" ";
"Budaörs";"689";"356";"128";" ";
"Herceghalom";"33";"16";"10";" ";
"Nagykovácsi";"91";"46";"14";" ";
"Páty";"158";"78";"29";" ";
"Perbál";"84";"46";"20";" ";
"Remeteszõlõs";"10";"6";"1";" ";
"Telki";"64";"30";"13";" ";
"Tök";"64";"33";"8";" ";
"Zsámbék";"251";"113";"47";" ";
"Ceglédi járás";"4302";"2286";"1123";" ";
"Abony";"792";"374";"202";" ";
"Albertirsa";"463";"241";"114";" ";
"Cegléd";"1693";"939";"465";" ";
"Ceglédbercel";"167";"79";"25";" ";
"Csemõ";"288";"171";"70";" ";
"Dánszentmiklós";"93";"34";"9";" ";
"Jászkarajenõ";"176";"127";"80";" ";
"Kõröstetétlen";"22";"8";"3";" ";
"Mikebuda";"44";"22";"17";" ";
"Tápiószõlõs";"120";"59";"14";" ";
"Törtel";"291";"156";"88";" ";
"Újszilvás";"153";"76";"36";" ";
"Dabasi járás";"2286";"1126";"515";" ";
"Bugyi";"192";"99";"46";" ";
"Dabas";"719";"324";"125";" ";
"Hernád";"132";"66";"24";" ";
"Inárcs";"218";"124";"68";" ";
"Kakucs";"136";"86";"39";" ";
"Örkény";"307";"141";"65";" ";
"Pusztavacs";"88";"48";"26";" ";
