"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2010. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Táborfalva";"204";"99";"54";" ";
"Tatárszentgyörgy";"159";"76";"42";" ";
"Újhartyán";"81";"35";"14";" ";
"Újlengyel";"50";"28";"12";" ";
"Dunakeszi járás";"2004";"1107";"456";" ";
"Csomád";"37";"23";"6";" ";
"Dunakeszi";"1011";"578";"252";" ";
"Fót";"539";"295";"112";" ";
"Göd";"417";"211";"86";" ";
"Érdi járás";"3201";"1632";"666";" ";
"Diósd";"172";"84";"26";" ";
"Érd";"1812";"921";"374";" ";
"Pusztazámor";"27";"10";"4";" ";
"Sóskút";"105";"44";"19";" ";
"Százhalombatta";"510";"265";"128";" ";
"Tárnok";"238";"129";"48";" ";
"Törökbálint";"337";"179";"67";" ";
"Gödöllõi járás";"3981";"2047";"858";" ";
"Csömör";"181";"95";"30";" ";
"Dány";"230";"140";"90";" ";
"Erdõkertes";"278";"127";"52";" ";
"Gödöllõ";"815";"419";"168";" ";
"Isaszeg";"369";"190";"70";" ";
"Kerepes";"352";"197";"93";" ";
"Kistarcsa";"272";"128";"45";" ";
"Mogyoród";"172";"74";"31";" ";
"Nagytarcsa";"74";"36";"8";" ";
"Pécel";"373";"194";"63";" ";
"Szada";"110";"62";"17";" ";
"Vácszentlászló";"68";"34";"13";" ";
"Valkó";"172";"98";"73";" ";
"Veresegyház";"376";"180";"61";" ";
"Zsámbok";"139";"73";"44";" ";
"Gyáli járás";"1384";"754";"333";" ";
"Alsónémedi";"124";"67";"24";" ";
"Felsõpakony";"118";"59";"22";" ";
"Gyál";"748";"408";"169";" ";
"Ócsa";"394";"220";"118";" ";
"Monori járás";"3026";"1630";"694";" ";
"Bénye";"47";"14";"2";" ";
"Csévharaszt";"64";"31";"13";" ";
"Gomba";"134";"67";"29";" ";
"Gyömrõ";"649";"349";"163";" ";
"Káva";"34";"16";"7";" ";
"Monor";"794";"452";"183";" ";
"Monorierdõ";"189";"109";"51";" ";
"Nyáregyháza";"194";"117";"54";" ";
"Pánd";"127";"64";"25";" ";
"Péteri";"101";"58";"21";" ";
"Pilis";"624";"318";"138";" ";
"Vasad";"69";"35";"8";" ";
"Nagykátai járás";"3347";"1849";"851";" ";
"Farmos";"179";"115";"54";" ";
"Kóka";"158";"89";"34";" ";
"Mende";"178";"80";"30";" ";
"Nagykáta";"521";"257";"110";" ";
"Sülysáp";"294";"158";"61";" ";
"Szentlõrinckáta";"53";"20";"9";" ";
"Szentmártonkáta";"242";"124";"49";" ";
"Tápióbicske";"180";"121";"69";" ";
"Tápiógyörgye";"175";"88";"28";" ";
"Tápióság";"96";"50";"20";" ";
"Tápiószecsõ";"272";"156";"68";" ";
"Tápiószele";"390";"240";"127";" ";
"Tápiószentmárton";"283";"169";"102";" ";
"Tóalmás";"230";"121";"62";" ";
"Úri";"96";"61";"28";" ";
"Nagykõrösi járás";"1510";"779";"393";" ";
"Kocsér";"72";"37";"10";" ";
"Nagykõrös";"1340";"695";"357";" ";
"Nyársapát";"98";"47";"26";" ";
"Pilisvörösvári járás";"1210";"658";"249";" ";
"Pilisborosjenõ";"64";"32";"8";" ";
"Piliscsaba";"255";"141";"72";" ";
"Pilisjászfalu";"67";"30";"12";" ";
"Pilisszántó";"79";"47";"22";" ";
"Pilisszentiván";"113";"64";"18";" ";
"Pilisvörösvár";"300";"160";"59";" ";
"Solymár";"155";"88";"21";" ";
"Tinnye";"79";"43";"16";" ";
"Üröm";"98";"53";"21";" ";
"Ráckevei járás";"1567";"784";"342";" ";
"Apaj";"49";"16";"4";" ";
"Áporka";"35";"15";"7";" ";
"Dömsöd";"439";"218";"98";" ";
"Kiskunlacháza";"284";"129";"46";" ";
"Lórév";"7";"1";"1";" ";
"Makád";"52";"21";"7";" ";
"Ráckeve";"436";"250";"126";" ";
"Szigetbecse";"49";"19";"8";" ";
"Szigetcsép";"92";"57";"20";" ";
"Szigetszentmárton";"74";"32";"12";" ";
"Szigetújfalu";"50";"26";"13";" ";
"Szentendrei járás";"2147";"1027";"391";" ";
"Budakalász";"259";"129";"40";" ";
"Csobánka";"105";"59";"25";" ";
"Dunabogdány";"86";"32";"11";" ";
"Kisoroszi";"31";"19";"9";" ";
"Leányfalu";"73";"39";"15";" ";
"Pilisszentkereszt";"68";"41";"15";" ";
"Pilisszentlászló";"37";"24";"11";" ";
"Pócsmegyer";"55";"25";"12";" ";
"Pomáz";"488";"216";"78";" ";
"Szentendre";"617";"277";"103";" ";
"Szigetmonostor";"100";"52";"22";" ";
"Tahitótfalu";"183";"95";"44";" ";
"Visegrád";"45";"19";"6";" ";
"Szigetszentmiklósi járás";"2830";"1261";"362";" ";
"Délegyháza";"134";"67";"13";" ";
"Dunaharaszti";"479";"231";"87";" ";
"Dunavarsány";"222";"91";"28";" ";
"Halásztelek";"187";"85";"26";" ";
"Majosháza";"46";"22";"4";" ";
"Szigethalom";"463";"197";"45";" ";
"Szigetszentmiklós";"859";"367";"100";" ";
"Taksony";"150";"80";"28";" ";
"Tököl";"290";"121";"31";" ";
"Szobi járás";"897";"459";"212";" ";
"Bernecebaráti";"55";"28";"13";" ";
"Ipolydamásd";"23";"12";"4";" ";
"Ipolytölgyes";"7";"2";" ";" ";
"Kemence";"61";"31";"22";" ";
"Kismaros";"62";"29";"12";" ";
"Kóspallag";"33";"22";"12";" ";
"Letkés";"41";"14";"7";" ";
"Márianosztra";"45";"20";"12";" ";
"Nagybörzsöny";"43";"23";"8";" ";
"Nagymaros";"121";"61";"27";" ";
"Perõcsény";"9";"2";"2";" ";
"Szob";"89";"47";"18";" ";
"Szokolya";"81";"42";"15";" ";
"Tésa";"4";"3";"1";" ";
"Vámosmikola";"56";"32";"13";" ";
"Verõce";"128";"74";"36";" ";
"Zebegény";"39";"17";"10";" ";
"Váci járás";"2222";"1176";"528";" ";
"Acsa";"54";"24";"13";" ";
"Csörög";"121";"73";"36";" ";
"Csõvár";"22";"11";"3";" ";
"Galgagyörk";"52";"15";"6";" ";
"Kisnémedi";"22";"11";"3";" ";
"Kosd";"105";"59";"28";" ";
"Õrbottyán";"209";"113";"37";" ";
"Penc";"33";"15";"4";" ";
"Püspökhatvan";"69";"40";"16";" ";
"Püspökszilágy";"26";"10";"4";" ";
"Rád";"51";"16";"8";" ";
"Szõd";"114";"61";"25";" ";
"Szõdliget";"112";"50";"20";" ";
"Vác";"1058";"574";"272";" ";
"Vácduka";"38";"25";"8";" ";
"Váchartyán";"55";"34";"14";" ";
"Váckisújfalu";"29";"17";"9";" ";
"Vácrátót";"52";"28";"22";" ";
"Vecsési járás";"1510";"793";"310";" ";
"Ecser";"100";"45";"16";" ";
"Maglód";"347";"179";"64";" ";
"Üllõ";"409";"204";"75";" ";
"Vecsés";"654";"365";"155";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";
"Dunántúl";"169518";"85942";"46289";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"57265";"27614";"13902";" ";
"Fejér megye";"23175";"11611";"5670";" ";
"Bicskei járás";"1479";"742";"321";" ";
"Alcsútdoboz";"61";"32";"17";" ";
"Bicske";"539";"292";"140";" ";
"Bodmér";"8";"2";"1";" ";
"Csabdi";"41";"24";"12";" ";
"Csákvár";"227";"113";"41";" ";
"Etyek";"119";"62";"20";" ";
"Felcsút";"63";"22";"8";" ";
"Gánt";"12";"5";"3";" ";
"Mány";"108";"57";"17";" ";
"Óbarok";"53";"19";"10";" ";
"Szár";"42";"18";"11";" ";
"Tabajd";"46";"24";"11";" ";
"Újbarok";"14";"3";" ";" ";
"Vértesacsa";"104";"49";"22";" ";
"Vértesboglár";"42";"20";"8";" ";
"Dunaújvárosi járás";"4959";"2698";"1319";" ";
"Adony";"181";"98";"44";" ";
"Baracs";"146";"66";"29";" ";
"Beloiannisz";"57";"31";"14";" ";
"Besnyõ";"74";"35";"16";" ";
"Daruszentmiklós";"100";"36";"13";" ";
"Dunaújváros";"2613";"1499";"782";" ";
"Elõszállás";"160";"96";"52";" ";
"Iváncsa";"126";"65";"20";" ";
"Kisapostag";"65";"35";"18";" ";
"Kulcs";"121";"62";"24";" ";
"Mezõfalva";"329";"180";"82";" ";
"Nagykarácsony";"85";"58";"32";" ";
"Nagyvenyim";"157";"89";"40";" ";
"Perkáta";"274";"129";"58";" ";
"Pusztaszabolcs";"296";"118";"48";" ";
"Rácalmás";"175";"101";"47";" ";
"Enyingi járás";"2041";"1067";"609";" ";
"Dég";"200";"110";"52";" ";
"Enying";"764";"417";"258";" ";
"Kisláng";"229";"124";"70";" ";
"Lajoskomárom";"122";"60";"23";" ";
"Lepsény";"293";"145";"96";" ";
"Mátyásdomb";"80";"37";"17";" ";
"Mezõkomárom";"107";"57";"30";" ";
"Mezõszentgyörgy";"156";"63";"28";" ";
"Szabadhídvég";"90";"54";"35";" ";
"Gárdonyi járás";"1358";"607";"271";" ";
"Gárdony";"430";"197";"80";" ";
"Kápolnásnyék";"178";"85";"41";" ";
"Nadap";"25";"9";"4";" ";
"Pákozd";"135";"51";"21";" ";
"Pázmánd";"93";"44";"20";" ";
"Sukoró";"38";"15";"6";" ";
"Szabadegyháza";"146";"56";"23";" ";
"Velence";"176";"85";"44";" ";
"Vereb";"55";"34";"20";" ";
"Zichyújfalu";"82";"31";"12";" ";
"Martonvásári járás";"1342";"784";"391";" ";
"Baracska";"144";"79";"34";" ";
"Ercsi";"619";"396";"244";" ";
"Gyúró";"56";"29";"7";" ";
"Kajászó";"51";"27";"16";" ";
"Martonvásár";"143";"62";"15";" ";
"Ráckeresztúr";"162";"107";"44";" ";
"Tordas";"52";"18";"6";" ";
"Vál";"115";"66";"25";" ";
"Móri járás";"1496";"722";"332";" ";
"Bakonycsernye";"154";"81";"40";" ";
"Balinka";"61";"27";"15";" ";
"Bodajk";"179";"84";"48";" ";
"Csákberény";"70";"38";"18";" ";
"Csókakõ";"58";"25";"8";" ";
"Fehérvárcsurgó";"70";"27";"6";" ";
"Isztimér";"29";"9";"5";" ";
"Kincsesbánya";"61";"31";"10";" ";
"Magyaralmás";"76";"30";"15";" ";
"Mór";"586";"294";"135";" ";
"Nagyveleg";"35";"13";"5";" ";
"Pusztavám";"100";"54";"26";" ";
"Söréd";"17";"9";"1";" ";
"Sárbogárdi járás";"2838";"1381";"717";" ";
"Alap";"158";"66";"25";" ";
"Alsószentiván";"49";"21";"8";" ";
"Cece";"274";"164";"86";" ";
"Hantos";"75";"29";"11";" ";
"Igar";"172";"86";"52";" ";
"Mezõszilas";"195";"92";"57";" ";
"Nagylók";"85";"44";"23";" ";
"Sárbogárd";"1152";"507";"229";" ";
"Sáregres";"60";"36";"17";" ";
"Sárkeresztúr";"364";"240";"156";" ";
"Sárszentágota";"132";"46";"28";" ";
"Vajta";"122";"50";"25";" ";
"Székesfehérvári járás";"7662";"3610";"1710";" ";
"Aba";"262";"97";"45";" ";
"Bakonykúti";"4";"3";"1";" ";
"Csór";"83";"42";"18";" ";
"Csõsz";"90";"44";"21";" ";
"Füle";"54";"25";"10";" ";
"Iszkaszentgyörgy";"119";"45";"21";" ";
"Jenõ";"67";"28";"11";" ";
"Káloz";"184";"83";"45";" ";
"Kõszárhegy";"76";"38";"18";" ";
"Lovasberény";"123";"56";"29";" ";
"Moha";"32";"12";"6";" ";
"Nádasdladány";"134";"71";"37";" ";
"Pátka";"107";"52";"26";" ";
"Polgárdi";"401";"190";"97";" ";
"Sárkeresztes";"81";"39";"18";" ";
"Sárkeszi";"38";"23";"10";" ";
"Sárosd";"215";"126";"61";" ";
"Sárszentmihály";"206";"84";"41";" ";
"Seregélyes";"257";"105";"51";" ";
"Soponya";"149";"63";"38";" ";
"Szabadbattyán";"261";"115";"51";" ";
"Székesfehérvár";"4396";"2120";"994";" ";
"Tác";"98";"39";"14";" ";
"Úrhida";"108";"58";"26";" ";
"Zámoly";"117";"52";"21";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";
"Komárom-Esztergom megye";"14500";"6544";"2892";" ";
"Esztergomi járás";"4903";"2430";"1169";" ";
"Annavölgy";"55";"20";"9";" ";
"Bajna";"103";"47";"24";" ";
"Bajót";"108";"55";"29";" ";
"Csolnok";"142";"70";"22";" ";
"Dág";"51";"24";"8";" ";
"Dorog";"707";"382";"175";" ";
"Dömös";"63";"30";"9";" ";
"Epöl";"32";"13";"5";" ";
"Esztergom";"1380";"688";"330";" ";
"Kesztölc";"127";"60";"37";" ";
"Lábatlan";"317";"151";"75";" ";
"Leányvár";"68";"22";"9";" ";
"Máriahalom";"41";"20";"10";" ";
"Mogyorósbánya";"31";"14";"9";" ";
"Nagysáp";"114";"67";"38";" ";
"Nyergesújfalu";"324";"160";"62";" ";
"Piliscsév";"148";"93";"47";" ";
"Pilismarót";"108";"34";"12";" ";
"Sárisáp";"152";"83";"34";" ";
"Süttõ";"123";"43";"20";" ";
"Tát";"245";"106";"56";" ";
"Tokod";"216";"120";"71";" ";
"Tokodaltáró";"197";"103";"61";" ";
"Úny";"51";"25";"17";" ";
"Kisbéri járás";"1226";"592";"297";" ";
"Ácsteszér";"45";"22";"9";" ";
"Aka";"17";"7";"2";" ";
"Ászár";"67";"15";"5";" ";
"Bakonybánk";"37";"21";"6";" ";
"Bakonysárkány";"57";"17";"7";" ";
"Bakonyszombathely";"93";"42";"21";" ";
"Bársonyos";"37";"18";"6";" ";
"Császár";"143";"76";"39";" ";
"Csatka";"21";"8";"5";" ";
"Csép";"36";"22";"14";" ";
"Ete";"30";"15";"8";" ";
"Kerékteleki";"42";"14";"5";" ";
"Kisbér";"267";"132";"74";" ";
"Réde";"116";"60";"33";" ";
"Súr";"88";"44";"22";" ";
"Tárkány";"100";"64";"36";" ";
"Vérteskethely";"30";"15";"5";" ";
"Komáromi járás";"1612";"705";"314";" ";
"Ács";"329";"153";"75";" ";
"Almásfüzitõ";"83";"30";"14";" ";
"Bábolna";"123";"57";"31";" ";
"Bana";"90";"46";"20";" ";
"Csém";"42";"17";"10";" ";
"Kisigmánd";"41";"21";"11";" ";
"Komárom";"676";"285";"110";" ";
"Mocsa";"108";"49";"24";" ";
"Nagyigmánd";"120";"47";"19";" ";
"Oroszlányi járás";"1277";"595";"228";" ";
"Bokod";"77";"30";"9";" ";
"Dad";"40";"21";"13";" ";
"Kecskéd";"83";"43";"20";" ";
"Kömlõd";"38";"15";"5";" ";
"Oroszlány";"964";"453";"170";" ";
"Szákszend";"75";"33";"11";" ";
"Tatai járás";"1678";"681";"293";" ";
"Baj";"107";"51";"20";" ";
"Dunaalmás";"85";"43";"24";" ";
"Dunaszentmiklós";"24";"10";"7";" ";
"Kocs";"113";"44";"19";" ";
"Naszály";"99";"36";"15";" ";
"Neszmély";"68";"29";"11";" ";
"Szomód";"82";"31";"10";" ";
"Tardos";"61";"25";"9";" ";
"Tata";"1024";"408";"176";" ";
"Vértestolna";"15";"4";"2";" ";
"Tatabányai járás";"3804";"1541";"591";" ";
"Gyermely";"48";"21";"9";" ";
"Héreg";"47";"20";"11";" ";
"Környe";"168";"88";"43";" ";
"Szárliget";"68";"26";"11";" ";
"Szomor";"40";"12";"7";" ";
"Tarján";"76";"40";"19";" ";
"Tatabánya";"3195";"1261";"461";" ";
"Várgesztes";"14";"4";"2";" ";
"Vértessomló";"32";"13";"8";" ";
"Vértesszõlõs";"116";"56";"20";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Komárom-E megye területre nem bontható adatai";" ";" ";" ";" ";
"Veszprém megye";"19590";"9459";"5340";" ";
"Ajkai járás";"1988";"1052";"647";" ";
"Ajka";"1417";"760";"485";" ";
"Csehbánya";"18";"7";"4";" ";
"Farkasgyepû";"15";"6";"3";" ";
"Halimba";"63";"24";"13";" ";
"Kislõd";"100";"53";"31";" ";
"Magyarpolány";"45";"23";"10";" ";
"Nyirád";"89";"41";"18";" ";
"Öcs";"19";"12";"5";" ";
"Szõc";"24";"15";"8";" ";
"Úrkút";"100";"50";"34";" ";
"Városlõd";"98";"61";"36";" ";
"Balatonalmádi járás";"1290";"522";"263";" ";
"Balatonakarattya";" ";" ";" ";" ";
"Balatonalmádi";"391";"167";"86";" ";
"Balatonfõkajár";"87";"25";"11";" ";
"Balatonfûzfõ";"219";"72";"38";" ";
"Balatonkenese";"178";"64";"26";" ";
"Csajág";"82";"34";"19";" ";
"Felsõörs";"65";"32";"16";" ";
"Királyszentistván";"21";"10";"2";" ";
"Küngös";"54";"19";"10";" ";
"Litér";"85";"42";"23";" ";
"Papkeszi";"108";"57";"32";" ";
"Balatonfüredi járás";"1260";"298";"135";" ";
"Alsóörs";"44";"13";"5";" ";
"Aszófõ";"23";"6";"3";" ";
"Balatonakali";"46";"11";"8";" ";
"Balatoncsicsó";"7";"2";" ";" ";
"Balatonfüred";"675";"160";"71";" ";
"Balatonszepezd";"26";"4";"4";" ";
"Balatonszõlõs";"33";"6";"2";" ";
"Balatonudvari";"25";" ";" ";" ";
"Csopak";"75";"22";"8";" ";
"Dörgicse";"20";"4";"3";" ";
"Lovas";"20";"7";"4";" ";
"Monoszló";"13";"2";"1";" ";
"Óbudavár";"3";"1";"1";" ";
"Örvényes";"12";"3";" ";" ";
"Paloznak";"18";"6";"3";" ";
"Pécsely";"37";"8";"3";" ";
"Szentantalfa";"20";"8";"3";" ";
"Szentjakabfa";"14";"7";"4";" ";
"Tagyon";"16";"6";"2";" ";
"Tihany";"74";"8";"3";" ";
"Vászoly";"13";"1";"1";" ";
"Zánka";"46";"13";"6";" ";
"Devecseri járás";"1271";"726";"465";" ";
"Adorjánháza";"58";"26";"11";" ";
"Apácatorna";"9";"4";"2";" ";
"Borszörcsök";"39";"26";"10";" ";
"Csögle";"40";"21";"13";" ";
"Dabrony";"26";"10";"3";" ";
"Devecser";"412";"269";"192";" ";
"Doba";"32";"16";"10";" ";
"Egeralja";"26";"13";"10";" ";
"Iszkáz";"27";"10";"8";" ";
"Kamond";"26";"11";"5";" ";
"Karakószörcsök";"24";"13";"4";" ";
"Kerta";"50";"28";"15";" ";
"Kisberzseny";"7";"1";"1";" ";
"Kiscsõsz";"8";"5";"4";" ";
"Kispirit";"10";"2";"2";" ";
"Kisszõlõs";"23";"15";"12";" ";
"Kolontár";"55";"37";"28";" ";
"Nagyalásony";"35";"15";"9";" ";
"Nagypirit";"32";"9";"8";" ";
"Noszlop";"58";"29";"18";" ";
"Oroszi";"16";"11";"4";" ";
"Pusztamiske";"55";"39";"34";" ";
"Somlójenõ";"35";"23";"10";" ";
"Somlószõlõs";"38";"18";"7";" ";
"Somlóvásárhely";"76";"43";"24";" ";
"Somlóvecse";"4";" ";" ";" ";
"Tüskevár";"35";"24";"19";" ";
"Vid";"15";"8";"2";" ";
"Pápai járás";"3743";"2228";"1324";" ";
"Adásztevel";"55";"35";"18";" ";
"Bakonyjákó";"38";"20";"12";" ";
"Bakonykoppány";"10";"4";" ";" ";
"Bakonypölöske";"44";"32";"21";" ";
"Bakonyság";"7";"3";"1";" ";
"Bakonyszentiván";"31";"12";"10";" ";
"Bakonyszücs";"39";"16";"9";" ";
"Bakonytamási";"75";"32";"12";" ";
"Béb";"22";"17";"9";" ";
"Békás";"10";"4";"2";" ";
"Csót";"82";"38";"24";" ";
"Dáka";"17";"9";"5";" ";
"Döbrönte";"12";"6";"4";" ";
"Egyházaskeszõ";"26";"16";"10";" ";
"Ganna";"13";"8";"6";" ";
"Gecse";"29";"13";"8";" ";
"Gic";"21";"6";"4";" ";
"Homokbödöge";"54";"37";"16";" ";
"Kemeneshõgyész";"20";"7";"3";" ";
"Kemenesszentpéter";"35";"22";"16";" ";
"Kup";"35";"21";"12";" ";
"Külsõvat";"27";"11";"6";" ";
"Lovászpatona";"102";"51";"36";" ";
"Magyargencs";"25";"7";"2";" ";
"Malomsok";"33";"16";"4";" ";
"Marcalgergelyi";"31";"20";"12";" ";
"Marcaltõ";"40";"18";"8";" ";
"Mezõlak";"46";"27";"19";" ";
"Mihályháza";"46";"26";"12";" ";
"Nagyacsád";"44";"27";"11";" ";
"Nagydém";"50";"36";"30";" ";
"Nagygyimót";"30";"15";"9";" ";
"Nagytevel";"36";"17";"8";" ";
"Nemesgörzsöny";"41";"24";"14";" ";
"Nemesszalók";"36";"22";"10";" ";
"Németbánya";"8";"6";"3";" ";
"Nóráp";"16";"7";"4";" ";
"Nyárád";"49";"21";"8";" ";
"Pápa";"1909";"1233";"741";" ";
"Pápadereske";"9";"4";"3";" ";
"Pápakovácsi";"20";"6";"3";" ";
"Pápasalamon";"51";"28";"26";" ";
"Pápateszér";"109";"75";"52";" ";
"Takácsi";"67";"40";"30";" ";
"Ugod";"72";"33";"17";" ";
"Vanyola";"52";"38";"28";" ";
"Várkeszõ";"11";"7";"2";" ";
"Vaszar";"91";"46";"21";" ";
"Vinár";"17";"9";"3";" ";
"Sümegi járás";"1283";"559";"299";" ";
"Bazsi";"54";"31";"11";" ";
"Bodorfa";"15";"8";"4";" ";
"Csabrendek";"208";"86";"49";" ";
"Dabronc";"53";"15";"8";" ";
"Gógánfa";"73";"29";"15";" ";
"Gyepükaján";"40";"21";"16";" ";
"Hetyefõ";"10";"6";"1";" ";
"Hosztót";"5";"2";"1";" ";
"Káptalanfa";"65";"29";"14";" ";
"Megyer";"6";"3";"2";" ";
"Nemeshany";"39";"26";"16";" ";
"Rigács";"25";"9";"6";" ";
"Sümeg";"457";"210";"107";" ";
"Sümegprága";"64";"27";"17";" ";
"Szentimrefalva";"19";"6";"2";" ";
"Ukk";"36";"15";"9";" ";
"Veszprémgalsa";"22";"6";"2";" ";
"Zalaerdõd";"37";"7";"3";" ";
"Zalagyömörõ";"30";"13";"7";" ";
"Zalameggyes";"6";"3";"3";" ";
"Zalaszegvár";"19";"7";"6";" ";
"Tapolcai járás";"2061";"871";"532";" ";
"Ábrahámhegy";"18";"2";" ";" ";
"Badacsonytomaj";"117";"28";"16";" ";
"Badacsonytördemic";"49";"17";"9";" ";
"Balatonederics";"92";"28";"16";" ";
"Balatonhenye";"12";"1";" ";" ";
"Balatonrendes";"8";"3";"3";" ";
"Gyulakeszi";"49";"20";"13";" ";
"Hegyesd";"11";"3";"1";" ";
"Hegymagas";"21";"7";"2";" ";
"Kapolcs";"44";"21";"13";" ";
"Káptalantóti";"29";"10";"8";" ";
"Kékkút";"6";"2";"1";" ";
"Kisapáti";"33";"16";"12";" ";
"Kõvágóörs";"58";"13";"7";" ";
"Köveskál";"54";"23";"14";" ";
"Lesencefalu";"30";"23";"20";" ";
"Lesenceistvánd";"72";"36";"26";" ";
"Lesencetomaj";"58";"32";"20";" ";
"Mindszentkálla";"36";"12";"6";" ";
"Monostorapáti";"65";"30";"19";" ";
"Nemesgulács";"59";"15";"9";" ";
"Nemesvita";"38";"12";"8";" ";
"Raposka";"7";"5";"5";" ";
"Révfülöp";"45";"10";"5";" ";
"Salföld";"4";" ";" ";" ";
"Sáska";"21";"12";"7";" ";
"Szentbékkálla";"19";"4";"4";" ";
"Szigliget";"51";"19";"8";" ";
"Taliándörögd";"45";"20";"13";" ";
"Tapolca";"781";"396";"244";" ";
"Uzsa";"21";"9";"6";" ";
"Vigántpetend";"24";"13";"8";" ";
"Zalahaláp";"84";"29";"9";" ";
"Várpalotai járás";"2395";"1212";"684";" ";
"Berhida";"529";"311";"199";" ";
"Jásd";"31";"15";"8";" ";
"Õsi";"156";"78";"45";" ";
"Öskü";"113";"48";"25";" ";
"Pétfürdõ";"240";"80";"37";" ";
"Tés";"60";"25";"11";" ";
"Várpalota";"1220";"636";"349";" ";
"Vilonya";"46";"19";"10";" ";
"Veszprémi járás";"3258";"1525";"744";" ";
"Bánd";"15";"7";"3";" ";
"Barnag";"10";"6";"5";" ";
"Eplény";"15";"10";"5";" ";
"Hajmáskér";"174";"75";"30";" ";
"Hárskút";"30";"15";"4";" ";
"Herend";"130";"50";"16";" ";
"Hidegkút";"17";"9";"4";" ";
"Márkó";"46";"18";"8";" ";
"Mencshely";"24";"9";"4";" ";
"Nagyvázsony";"76";"26";"12";" ";
"Nemesvámos";"97";"38";"16";" ";
"Pula";"10";"6";"3";" ";
"Sóly";"19";"9";"4";" ";
"Szentgál";"147";"65";"39";" ";
"Szentkirályszabadja";"114";"49";"18";" ";
"Tótvázsony";"66";"26";"10";" ";
"Veszprém";"2254";"1099";"558";" ";
"Veszprémfajsz";"9";"6";"4";" ";
"Vöröstó";"5";"2";"1";" ";
"Zirci járás";"1041";"466";"247";" ";
"Bakonybél";"89";"45";"21";" ";
"Bakonynána";"43";"12";"3";" ";
"Bakonyoszlop";"41";"19";"10";" ";
"Bakonyszentkirály";"64";"35";"18";" ";
"Borzavár";"41";"20";"13";" ";
"Csesznek";"26";"14";"4";" ";
"Csetény";"105";"53";"30";" ";
