"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2012. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,16";"2947350,5";" ";"86668";"41866";"21781";" ";
"Budapest (Budapest)";"525,14";"1731603,0";" ";"45619";"22864";"11497";" ";
"Budapest";"525,14";"1731603,0";" ";"45619";"22864";"11497";" ";
"Budapest, illetve fiktív területi egység";"525,14";"1731603,0";" ";"45619";"22864";"11497";" ";
"Budapest";"525,14";"1731603,0";" ";"45619";"22864";"11497";" ";
"Pest (Pest)";"6391,02";"1215747,5";" ";"41049";"19002";"10284";" ";
"Pest megye";"6391,02";"1215747,5";" ";"41049";"19002";"10284";" ";
"Aszódi járás";"298,37";"37125,5";" ";"1437";"734";"393";" ";
"Aszód";"16,20";"6147,5";" ";"121";"42";"17";" ";
"Bag";"23,55";"3730,5";" ";"215";"118";"66";" ";
"Domony";"21,80";"2165,0";" ";"99";"59";"44";" ";
"Galgahévíz";"31,18";"2495,5";" ";"125";"64";"37";" ";
"Galgamácsa";"43,31";"1877,0";" ";"46";"22";"12";" ";
"Hévízgyörk";"22,85";"3013,5";" ";"82";"37";"18";" ";
"Iklad";"11,21";"2038,5";" ";"57";"29";"18";" ";
"Kartal";"29,11";"5645,0";" ";"170";"69";"20";" ";
"Tura";"55,92";"7758,5";" ";"391";"228";"133";" ";
"Vácegres";"13,67";"858,0";" ";"65";"35";"16";" ";
"Verseg";"29,57";"1396,5";" ";"66";"31";"12";" ";
"Budakeszi járás";"288,95";"84050,0";" ";"1754";"812";"443";" ";
"Biatorbágy";"44,12";"12541,5";" ";"233";"88";"45";" ";
"Budajenõ";"12,42";"1805,0";" ";"38";"18";"8";" ";
"Budakeszi";"37,10";"13680,5";" ";"175";"66";"39";" ";
"Budaörs";"23,59";"27181,0";" ";"671";"361";"203";" ";
"Herceghalom";"7,34";"2142,0";" ";"39";"14";"10";" ";
"Nagykovácsi";"30,01";"6807,0";" ";"80";"27";"11";" ";
"Páty";"39,30";"6918,5";" ";"144";"51";"21";" ";
"Perbál";"25,65";"2074,5";" ";"59";"30";"19";" ";
"Remeteszõlõs";"0,56";"748,0";" ";"5";"1";" ";" ";
"Telki";"10,47";"3633,5";" ";"34";"21";"12";" ";
