"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2012. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Tök";"24,73";"1330,0";" ";"65";"35";"20";" ";
"Zsámbék";"33,66";"5188,5";" ";"211";"100";"55";" ";
"Ceglédi járás";"886,30";"89478,0";" ";"4741";"2709";"1539";" ";
"Abony";"127,97";"14834,5";" ";"967";"546";"312";" ";
"Albertirsa";"72,96";"12151,5";" ";"491";"277";"166";" ";
"Cegléd";"244,87";"36513,5";" ";"1877";"1116";"602";" ";
"Ceglédbercel";"28,15";"4381,0";" ";"141";"82";"52";" ";
"Csemõ";"79,44";"4154,0";" ";"348";"200";"122";" ";
"Dánszentmiklós";"38,01";"3104,0";" ";"109";"59";"27";" ";
"Jászkarajenõ";"65,15";"2748,5";" ";"184";"101";"55";" ";
"Kõröstetétlen";"32,65";"901,0";" ";"19";"6";"1";" ";
"Mikebuda";"42,17";"685,0";" ";"46";"26";"15";" ";
"Tápiószõlõs";"31,79";"2939,5";" ";"146";"76";"36";" ";
"Törtel";"84,16";"4381,0";" ";"283";"151";"109";" ";
"Újszilvás";"38,98";"2684,5";" ";"130";"69";"42";" ";
"Dabasi járás";"614,23";"48804,0";" ";"3190";"1072";"539";" ";
"Bugyi";"115,55";"5163,5";" ";"235";"74";"37";" ";
"Dabas";"165,99";"16489,5";" ";"1022";"273";"123";" ";
"Hernád";"27,06";"4116,5";" ";"252";"77";"29";" ";
"Inárcs";"22,53";"4390,5";" ";"325";"140";"65";" ";
"Kakucs";"21,80";"2737,0";" ";"188";"80";"48";" ";
"Örkény";"36,44";"4838,5";" ";"429";"184";"110";" ";
"Pusztavacs";"79,07";"1372,5";" ";"106";"21";"9";" ";
"Táborfalva";"42,05";"3384,5";" ";"271";"109";"53";" ";
"Tatárszentgyörgy";"55,06";"1898,0";" ";"193";"73";"46";" ";
"Újhartyán";"22,43";"2725,5";" ";"107";"23";"13";" ";
"Újlengyel";"26,25";"1688,0";" ";"62";"18";"6";" ";
"Dunakeszi járás";"103,08";"78275,5";" ";"1816";"728";"378";" ";
"Csomád";"12,38";"1531,5";" ";"39";"13";"5";" ";
"Dunakeszi";"31,06";"40128,0";" ";"955";"388";"191";" ";
"Fót";"37,40";"18813,5";" ";"404";"141";"73";" ";
"Göd";"22,24";"17802,5";" ";"418";"186";"109";" ";
"Érdi járás";"184,29";"116994,5";" ";"3122";"1389";"810";" ";
"Diósd";"5,75";"9142,0";" ";"151";"58";"30";" ";
"Érd";"60,54";"63319,5";" ";"1742";"796";"466";" ";
"Pusztazámor";"9,27";"1155,0";" ";"32";"14";"7";" ";
"Sóskút";"27,67";"3079,0";" ";"112";"56";"34";" ";
"Százhalombatta";"28,06";"18517,5";" ";"528";"218";"144";" ";
"Tárnok";"23,60";"8835,0";" ";"248";"125";"72";" ";
"Törökbálint";"29,40";"12946,5";" ";"309";"122";"57";" ";
"Gödöllõi járás";"449,66";"139613,5";" ";"3839";"2002";"1246";" ";
"Csömör";"22,70";"8997,0";" ";"137";"56";"38";" ";
"Dány";"43,01";"4429,0";" ";"220";"109";"86";" ";
"Erdõkertes";"5,75";"7471,5";" ";"287";"170";"104";" ";
"Gödöllõ";"61,92";"32835,5";" ";"908";"488";"292";" ";
"Isaszeg";"54,84";"11158,5";" ";"353";"164";"96";" ";
"Kerepes";"24,08";"9928,5";" ";"328";"213";"159";" ";
"Kistarcsa";"11,02";"11903,0";" ";"215";"101";"54";" ";
"Mogyoród";"34,48";"6339,0";" ";"136";"72";"41";" ";
"Nagytarcsa";"12,14";"3853,0";" ";"66";"28";"18";" ";
"Pécel";"43,63";"15043,0";" ";"331";"167";"97";" ";
"Szada";"16,72";"4632,0";" ";"99";"45";"20";" ";
"Vácszentlászló";"29,87";"2046,5";" ";"76";"33";"14";" ";
"Valkó";"37,59";"2426,5";" ";"181";"122";"91";" ";
"Veresegyház";"28,56";"16183,5";" ";"368";"171";"91";" ";
"Zsámbok";"23,35";"2367,0";" ";"134";"63";"45";" ";
"Gyáli járás";"170,99";"40331,0";" ";"1331";"601";"309";" ";
"Alsónémedi";"49,07";"5167,0";" ";"109";"40";"20";" ";
"Felsõpakony";"15,33";"3327,0";" ";"105";"42";"20";" ";
"Gyál";"24,93";"22789,5";" ";"720";"319";"160";" ";
"Ócsa";"81,66";"9047,5";" ";"397";"200";"109";" ";
"Monori járás";"352,02";"66180,0";" ";"2846";"1382";"748";" ";
"Bénye";"16,52";"1193,0";" ";"45";"16";"5";" ";
"Csévharaszt";"49,24";"1904,5";" ";"100";"30";"11";" ";
"Gomba";"39,71";"2950,5";" ";"122";"43";"24";" ";
"Gyömrõ";"26,51";"16351,0";" ";"618";"313";"174";" ";
"Káva";"11,31";"666,5";" ";"27";"15";"8";" ";
"Monor";"46,79";"17712,5";" ";"706";"327";"193";" ";
"Monorierdõ";"15,07";"4125,5";" ";"204";"100";"52";" ";
"Nyáregyháza";"32,01";"3711,5";" ";"141";"55";"23";" ";
"Pánd";"22,21";"2009,0";" ";"115";"78";"42";" ";
"Péteri";"11,89";"2178,5";" ";"91";"49";"24";" ";
"Pilis";"47,35";"11500,5";" ";"605";"321";"178";" ";
"Vasad";"33,41";"1877,0";" ";"72";"35";"14";" ";
"Nagykátai járás";"687,91";"72466,0";" ";"3348";"1626";"845";" ";
"Farmos";"40,12";"3525,5";" ";"189";"103";"48";" ";
"Kóka";"44,36";"4333,0";" ";"163";"71";"36";" ";
"Mende";"27,15";"4124,5";" ";"140";"71";"34";" ";
"Nagykáta";"81,61";"12609,5";" ";"536";"281";"138";" ";
"Sülysáp";"47,19";"8208,0";" ";"229";"93";"56";" ";
"Szentlõrinckáta";"20,15";"1919,5";" ";"50";"23";"12";" ";
"Szentmártonkáta";"52,18";"4936,5";" ";"308";"129";"68";" ";
"Tápióbicske";"48,48";"3367,5";" ";"195";"103";"61";" ";
"Tápiógyörgye";"53,31";"3496,5";" ";"142";"63";"32";" ";
"Tápióság";"33,54";"2601,0";" ";"111";"48";"18";" ";
"Tápiószecsõ";"38,38";"6190,5";" ";"247";"104";"48";" ";
"Tápiószele";"36,99";"6008,0";" ";"392";"216";"126";" ";
"Tápiószentmárton";"102,91";"5321,0";" ";"266";"120";"59";" ";
"Tóalmás";"39,35";"3247,5";" ";"285";"148";"86";" ";
"Úri";"22,19";"2577,5";" ";"95";"53";"23";" ";
"Nagykõrösi járás";"349,25";"27963,0";" ";"2056";"1194";"788";" ";
"Kocsér";"67,28";"1867,5";" ";"94";"57";"32";" ";
"Nagykõrös";"227,94";"24163,0";" ";"1796";"1033";"681";" ";
"Nyársapát";"54,03";"1932,5";" ";"166";"104";"75";" ";
"Pilisvörösvári járás";"130,81";"52234,5";" ";"959";"439";"240";" ";
"Pilisborosjenõ";"9,27";"3438,0";" ";"66";"33";"13";" ";
"Piliscsaba";"25,57";"7940,0";" ";"190";"94";"51";" ";
"Pilisjászfalu";"6,97";"1568,0";" ";"44";"19";"10";" ";
"Pilisszántó";"15,96";"2856,5";" ";"83";"39";"17";" ";
"Pilisszentiván";"8,12";"4174,0";" ";"89";"46";"28";" ";
"Pilisvörösvár";"24,30";"13798,5";" ";"196";"80";"53";" ";
"Solymár";"17,86";"9813,5";" ";"141";"48";"27";" ";
"Tinnye";"16,10";"1586,5";" ";"62";"33";"13";" ";
"Üröm";"6,66";"7059,5";" ";"88";"47";"28";" ";
"Ráckevei járás";"417,05";"36116,5";" ";"1410";"636";"312";" ";
"Apaj";"71,04";"1226,0";" ";"30";"12";"8";" ";
"Áporka";"17,47";"1122,0";" ";"28";"5";"2";" ";
"Dömsöd";"72,42";"5799,5";" ";"301";"154";"67";" ";
"Kiskunlacháza";"93,50";"8867,0";" ";"386";"188";"95";" ";
"Lórév";"9,88";"285,5";" ";"10";"1";"1";" ";
"Makád";"31,77";"1195,0";" ";"44";"11";"6";" ";
"Ráckeve";"64,09";"9917,5";" ";"383";"172";"87";" ";
"Szigetbecse";"17,12";"1315,5";" ";"37";"14";"9";" ";
"Szigetcsép";"18,20";"2275,0";" ";"77";"32";"17";" ";
"Szigetszentmárton";"10,73";"2135,5";" ";"61";"26";"12";" ";
"Szigetújfalu";"10,83";"1978,0";" ";"53";"21";"8";" ";
"Szentendrei járás";"326,58";"77410,5";" ";"1939";"736";"287";" ";
"Budakalász";"15,17";"10389,5";" ";"206";"100";"43";" ";
"Csobánka";"22,76";"3145,5";" ";"102";"47";"19";" ";
"Dunabogdány";"25,50";"3106,0";" ";"76";"31";"10";" ";
"Kisoroszi";"10,94";"948,5";" ";"34";"10";"6";" ";
"Leányfalu";"15,37";"3484,5";" ";"80";"29";"12";" ";
"Pilisszentkereszt";"17,21";"2219,0";" ";"61";"27";"10";" ";
"Pilisszentlászló";"17,75";"1174,5";" ";"32";"11";"4";" ";
"Pócsmegyer";"13,08";"1891,0";" ";"56";"19";"8";" ";
"Pomáz";"49,03";"16415,0";" ";"422";"149";"52";" ";
"Szentendre";"43,82";"25170,5";" ";"639";"248";"97";" ";
"Szigetmonostor";"23,51";"2222,0";" ";"72";"24";"10";" ";
"Tahitótfalu";"39,17";"5473,5";" ";"124";"31";"13";" ";
"Visegrád";"33,27";"1771,0";" ";"35";"10";"3";" ";
"Szigetszentmiklósi járás";"211,28";"109396,0";" ";"2798";"1067";"483";" ";
"Délegyháza";"25,42";"3486,5";" ";"94";"29";"17";" ";
"Dunaharaszti";"29,17";"20304,0";" ";"425";"173";"68";" ";
"Dunavarsány";"22,52";"7364,5";" ";"193";"76";"32";" ";
"Halásztelek";"8,64";"9113,5";" ";"192";"71";"33";" ";
"Majosháza";"11,42";"1499,0";" ";"56";"22";"9";" ";
"Szigethalom";"9,12";"16960,5";" ";"474";"174";"78";" ";
"Szigetszentmiklós";"45,65";"34487,0";" ";"933";"350";"143";" ";
"Taksony";"20,85";"6102,5";" ";"141";"48";"30";" ";
"Tököl";"38,49";"10078,5";" ";"290";"124";"73";" ";
"Szobi járás";"438,32";"24475,0";" ";"754";"274";"149";" ";
"Bernecebaráti";"37,69";"917,5";" ";"44";"20";"11";" ";
"Ipolydamásd";"11,60";"352,0";" ";"7";"4";"4";" ";
"Ipolytölgyes";"13,66";"418,5";" ";"4";" ";" ";" ";
"Kemence";"42,75";"1002,5";" ";"28";"13";"7";" ";
"Kismaros";"11,96";"2083,0";" ";"53";"22";"15";" ";
"Kóspallag";"12,77";"763,0";" ";"27";"9";"7";" ";
"Letkés";"24,55";"1116,0";" ";"48";"11";"4";" ";
"Márianosztra";"20,26";"887,0";" ";"36";"15";"9";" ";
"Nagybörzsöny";"50,66";"767,0";" ";"15";"5";"5";" ";
"Nagymaros";"34,37";"4733,5";" ";"136";"44";"17";" ";
"Perõcsény";"41,40";"296,0";" ";"10";"2";"1";" ";
"Szob";"17,97";"2816,5";" ";"69";"12";"3";" ";
"Szokolya";"59,04";"1798,5";" ";"64";"25";"16";" ";
"Tésa";"4,38";"79,0";" ";"2";"1";"1";" ";
"Vámosmikola";"25,29";"1632,0";" ";"81";"36";"23";" ";
"Verõce";"20,33";"3598,5";" ";"108";"45";"23";" ";
"Zebegény";"9,64";"1214,5";" ";"22";"10";"3";" ";
"Váci járás";"362,19";"67896,5";" ";"2394";"1013";"522";" ";
"Acsa";"26,94";"1416,0";" ";"69";"34";"17";" ";
"Csörög";"5,05";"1903,0";" ";"145";"58";"38";" ";
"Csõvár";"17,17";"631,5";" ";"17";"8";"2";" ";
"Galgagyörk";"14,71";"1078,5";" ";"61";"25";"13";" ";
"Kisnémedi";"13,83";"655,0";" ";"21";"10";"4";" ";
"Kosd";"34,07";"2483,0";" ";"93";"50";"23";" ";
"Õrbottyán";"27,38";"7097,5";" ";"228";"106";"55";" ";
"Penc";"21,34";"1503,0";" ";"50";"25";"10";" ";
"Püspökhatvan";"24,72";"1467,5";" ";"82";"28";"14";" ";
"Püspökszilágy";"25,31";"754,0";" ";"22";"13";"10";" ";
"Rád";"17,74";"1945,5";" ";"51";"20";"10";" ";
"Szõd";"15,74";"3583,5";" ";"94";"36";"22";" ";
"Szõdliget";"7,31";"4410,0";" ";"114";"37";"18";" ";
"Vác";"61,60";"33574,0";" ";"1154";"493";"262";" ";
"Vácduka";"8,40";"1349,0";" ";"31";"9";"1";" ";
"Váchartyán";"12,11";"1766,0";" ";"66";"26";"8";" ";
"Váckisújfalu";"10,69";"410,5";" ";"23";"13";"6";" ";
"Vácrátót";"18,08";"1869,0";" ";"73";"22";"9";" ";
"Vecsési járás";"119,74";"46937,5";" ";"1315";"588";"253";" ";
"Ecser";"13,10";"3647,5";" ";"66";"20";"5";" ";
"Maglód";"22,37";"11686,5";" ";"314";"131";"55";" ";
"Üllõ";"48,10";"11493,5";" ";"443";"225";"109";" ";
"Vecsés";"36,17";"20110,0";" ";"492";"212";"84";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Dunántúl";"36612,27";"2990182,0";" ";"158409";"73169";"38485";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"11086,51";"1076531,5";" ";"53017";"21826";"11004";" ";
"Fejér megye";"4358,45";"421506,5";" ";"21743";"9934";"5488";" ";
"Bicskei járás";"578,25";"35313,5";" ";"1378";"620";"330";" ";
"Alcsútdoboz";"50,71";"1440,5";" ";"45";"27";"11";" ";
"Bicske";"77,08";"11732,5";" ";"534";"267";"159";" ";
"Bodmér";"7,17";"239,5";" ";"10";"3";"1";" ";
"Csabdi";"17,02";"1171,0";" ";"45";"16";"8";" ";
"Csákvár";"118,76";"5188,0";" ";"182";"57";"22";" ";
"Etyek";"53,27";"4106,0";" ";"127";"60";"28";" ";
"Felcsút";"22,02";"1826,0";" ";"47";"17";"5";" ";
"Gánt";"58,15";"836,5";" ";"22";"11";"2";" ";
"Mány";"44,72";"2371,5";" ";"107";"54";"38";" ";
"Óbarok";"19,26";"782,0";" ";"57";"20";"8";" ";
"Szár";"22,63";"1646,0";" ";"36";"15";"8";" ";
"Tabajd";"26,57";"917,0";" ";"49";"24";"14";" ";
"Újbarok";"1,49";"422,5";" ";"9";"5";"1";" ";
"Vértesacsa";"36,19";"1749,0";" ";"74";"26";"15";" ";
"Vértesboglár";"23,21";"885,5";" ";"34";"18";"10";" ";
"Dunaújvárosi járás";"650,05";"92180,5";" ";"4761";"2214";"1162";" ";
"Adony";"61,05";"3730,0";" ";"152";"69";"39";" ";
"Baracs";"55,18";"3396,0";" ";"145";"59";"31";" ";
"Beloiannisz";"4,54";"1058,0";" ";"46";"20";"12";" ";
"Besnyõ";"44,64";"1742,5";" ";"77";"24";"14";" ";
"Daruszentmiklós";"19,12";"1300,0";" ";"70";"32";"19";" ";
"Dunaújváros";"52,67";"47029,5";" ";"2507";"1209";"654";" ";
"Elõszállás";"39,98";"2386,5";" ";"168";"72";"37";" ";
"Iváncsa";"25,17";"2834,5";" ";"104";"38";"16";" ";
"Kisapostag";"9,58";"1390,0";" ";"52";"31";"10";" ";
"Kulcs";"16,73";"2641,0";" ";"104";"50";"21";" ";
"Mezõfalva";"80,42";"4735,5";" ";"319";"132";"70";" ";
"Nagykarácsony";"30,46";"1338,0";" ";"84";"41";"20";" ";
"Nagyvenyim";"43,68";"4099,0";" ";"155";"85";"48";" ";
"Perkáta";"74,52";"3968,0";" ";"315";"160";"80";" ";
"Pusztaszabolcs";"51,67";"6067,5";" ";"289";"102";"40";" ";
"Rácalmás";"40,64";"4464,5";" ";"174";"90";"51";" ";
"Enyingi járás";"433,11";"20856,0";" ";"1819";"816";"456";" ";
"Dég";"46,86";"2195,5";" ";"140";"50";"24";" ";
"Enying";"82,78";"6902,5";" ";"676";"346";"206";" ";
"Kisláng";"53,06";"2498,0";" ";"207";"98";"56";" ";
"Lajoskomárom";"75,67";"2288,0";" ";"132";"33";"18";" ";
"Lepsény";"39,08";"3024,5";" ";"289";"119";"69";" ";
"Mátyásdomb";"35,39";"790,0";" ";"73";"28";"10";" ";
"Mezõkomárom";"29,05";"965,5";" ";"70";"26";"9";" ";
"Mezõszentgyörgy";"27,12";"1339,0";" ";"150";"92";"52";" ";
"Szabadhídvég";"44,10";"853,0";" ";"82";"24";"12";" ";
"Gárdonyi járás";"306,79";"29623,5";" ";"1405";"632";"374";" ";
"Gárdony";"63,50";"9901,0";" ";"394";"170";"103";" ";
"Kápolnásnyék";"41,50";"3526,5";" ";"175";"79";"50";" ";
"Nadap";"6,93";"528,5";" ";"25";"15";"11";" ";
"Pákozd";"43,30";"3031,5";" ";"152";"61";"30";" ";
"Pázmánd";"27,14";"2044,5";" ";"86";"43";"26";" ";
"Sukoró";"16,27";"1316,0";" ";"34";"14";"8";" ";
"Szabadegyháza";"41,64";"2140,5";" ";"164";"92";"47";" ";
"Velence";"33,37";"5429,0";" ";"252";"105";"61";" ";
"Vereb";"22,32";"786,0";" ";"46";"16";"10";" ";
"Zichyújfalu";"10,82";"920,0";" ";"77";"37";"28";" ";
"Martonvásári járás";"277,13";"26539,0";" ";"1397";"655";"353";" ";
"Baracska";"39,68";"2697,5";" ";"134";"70";"46";" ";
"Ercsi";"65,31";"8149,5";" ";"650";"365";"193";" ";
"Gyúró";"24,37";"1216,0";" ";"60";"28";"14";" ";
"Kajászó";"23,98";"1044,5";" ";"48";"16";"6";" ";
"Martonvásár";"31,25";"5624,0";" ";"168";"72";"40";" ";
"Ráckeresztúr";"35,30";"3304,5";" ";"176";"37";"20";" ";
"Tordas";"16,76";"2051,5";" ";"55";"26";"12";" ";
"Vál";"40,48";"2451,5";" ";"106";"41";"22";" ";
"Móri járás";"417,55";"34547,5";" ";"1332";"509";"251";" ";
"Bakonycsernye";"38,13";"3058,0";" ";"114";"44";"22";" ";
"Balinka";"18,62";"909,5";" ";"52";"15";"6";" ";
"Bodajk";"28,98";"4120,5";" ";"174";"55";"29";" ";
"Csákberény";"41,37";"1181,0";" ";"46";"19";"10";" ";
"Csókakõ";"10,92";"1331,0";" ";"45";"17";"8";" ";
"Fehérvárcsurgó";"29,64";"1952,5";" ";"65";"24";"17";" ";
"Isztimér";"53,88";"1002,0";" ";"27";"12";"2";" ";
"Kincsesbánya";"10,87";"1479,0";" ";"79";"37";"12";" ";
"Magyaralmás";"22,42";"1542,0";" ";"49";"20";"11";" ";
"Mór";"108,61";"14364,0";" ";"577";"233";"118";" ";
"Nagyveleg";"13,17";"646,5";" ";"21";"4";"1";" ";
"Pusztavám";"34,69";"2458,0";" ";"64";"23";"13";" ";
"Söréd";"6,25";"503,5";" ";"19";"6";"2";" ";
"Sárbogárdi járás";"653,52";"28582,5";" ";"2727";"1335";"788";" ";
"Alap";"48,29";"1977,0";" ";"143";"72";"40";" ";
"Alsószentiván";"39,65";"653,5";" ";"36";"17";"7";" ";
"Cece";"58,85";"2604,0";" ";"264";"130";"80";" ";
"Hantos";"36,96";"966,0";" ";"50";"22";"12";" ";
"Igar";"41,19";"961,0";" ";"143";"104";"45";" ";
"Mezõszilas";"64,97";"2149,5";" ";"163";"86";"46";" ";
"Nagylók";"32,44";"1069,0";" ";"84";"36";"19";" ";
"Sárbogárd";"189,33";"12545,5";" ";"1155";"506";"305";" ";
"Sáregres";"26,16";"738,5";" ";"72";"35";"20";" ";
"Sárkeresztúr";"46,75";"2524,0";" ";"400";"228";"149";" ";
"Sárszentágota";"45,50";"1352,5";" ";"104";"50";"38";" ";
"Vajta";"23,43";"1042,0";" ";"113";"49";"27";" ";
"Székesfehérvári járás";"1042,05";"153864,0";" ";"6924";"3153";"1774";" ";
"Aba";"88,05";"4497,5";" ";"241";"96";"40";" ";
"Bakonykúti";"12,45";"131,0";" ";"2";"1";" ";" ";
"Csór";"41,49";"1782,5";" ";"94";"44";"21";" ";
"Csõsz";"17,11";"1040,0";" ";"74";"27";"9";" ";
"Füle";"30,32";"864,5";" ";"67";"30";"16";" ";
"Iszkaszentgyörgy";"26,27";"1943,5";" ";"89";"34";"21";" ";
"Jenõ";"5,56";"1334,0";" ";"77";"30";"15";" ";
"Káloz";"47,79";"2388,0";" ";"160";"65";"44";" ";
"Kõszárhegy";"5,90";"1524,5";" ";"72";"36";"21";" ";
"Lovasberény";"60,62";"2668,5";" ";"110";"43";"22";" ";
"Moha";"9,88";"557,0";" ";"32";"12";"7";" ";
"Nádasdladány";"26,35";"1744,5";" ";"117";"49";"25";" ";
"Pátka";"40,38";"1676,0";" ";"112";"46";"21";" ";
"Polgárdi";"72,16";"6802,5";" ";"381";"182";"78";" ";
"Sárkeresztes";"23,27";"1519,5";" ";"55";"28";"18";" ";
"Sárkeszi";"14,79";"608,5";" ";"40";"14";"5";" ";
"Sárosd";"48,12";"3323,0";" ";"195";"81";"44";" ";
"Sárszentmihály";"37,40";"2994,0";" ";"168";"70";"37";" ";
"Seregélyes";"78,19";"4427,0";" ";"218";"74";"36";" ";
"Soponya";"49,96";"1832,5";" ";"127";"39";"21";" ";
"Szabadbattyán";"33,66";"4522,5";" ";"287";"133";"71";" ";
"Székesfehérvár";"170,89";"99432,0";" ";"3868";"1892";"1134";" ";
"Tác";"45,69";"1670,0";" ";"90";"30";"19";" ";
"Úrhida";"7,25";"2370,5";" ";"111";"45";"26";" ";
"Zámoly";"48,50";"2210,5";" ";"137";"52";"23";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Komárom-Esztergom megye";"2264,34";"303157,5";" ";"14084";"5316";"2337";" ";
"Esztergomi járás";"537,26";"93146,5";" ";"4625";"1937";"930";" ";
"Annavölgy";"4,83";"936,0";" ";"60";"19";"10";" ";
"Bajna";"37,28";"1923,0";" ";"105";"44";"16";" ";
"Bajót";"16,44";"1600,5";" ";"93";"37";"19";" ";
"Csolnok";"18,70";"3194,5";" ";"112";"51";"22";" ";
"Dág";"11,89";"945,5";" ";"46";"12";"6";" ";
"Dorog";"11,54";"11948,0";" ";"711";"331";"162";" ";
"Dömös";"23,99";"1158,0";" ";"49";"15";"7";" ";
"Epöl";"12,52";"647,0";" ";"44";"15";"6";" ";
"Esztergom";"99,95";"28596,0";" ";"1273";"580";"276";" ";
"Kesztölc";"22,00";"2617,5";" ";"140";"69";"39";" ";
"Lábatlan";"26,35";"5005,5";" ";"289";"99";"39";" ";
"Leányvár";"7,26";"1735,5";" ";"58";"28";"14";" ";
"Máriahalom";"10,85";"646,5";" ";"36";"12";"6";" ";
"Mogyorósbánya";"7,32";"858,0";" ";"28";"6";" ";" ";
"Nagysáp";"24,78";"1529,0";" ";"131";"50";"28";" ";
"Nyergesújfalu";"39,50";"7560,5";" ";"341";"107";"44";" ";
"Piliscsév";"24,91";"2325,0";" ";"144";"69";"34";" ";
"Pilismarót";"44,60";"1986,0";" ";"88";"39";"22";" ";
"Sárisáp";"14,25";"2763,0";" ";"144";"56";"31";" ";
"Süttõ";"34,36";"2074,5";" ";"88";"31";"8";" ";
"Tát";"12,18";"5331,5";" ";"192";"75";"39";" ";
"Tokod";"14,91";"4158,5";" ";"221";"91";"48";" ";
"Tokodaltáró";"5,27";"2925,5";" ";"183";"74";"34";" ";
"Úny";"11,58";"681,5";" ";"49";"27";"20";" ";
"Kisbéri járás";"510,55";"20255,5";" ";"1007";"363";"191";" ";
"Ácsteszér";"17,72";"698,0";" ";"39";"9";"4";" ";
"Aka";"18,09";"249,5";" ";"15";"4";"4";" ";
"Ászár";"18,68";"1708,0";" ";"60";"18";"6";" ";
"Bakonybánk";"15,06";"443,0";" ";"35";"11";"1";" ";
"Bakonysárkány";"14,12";"1002,0";" ";"24";"4";" ";" ";
"Bakonyszombathely";"36,53";"1452,5";" ";"75";"40";"20";" ";
"Bársonyos";"16,87";"776,5";" ";"32";"9";"5";" ";
"Császár";"67,80";"1843,5";" ";"116";"64";"45";" ";
"Csatka";"17,76";"235,5";" ";"18";"4";"2";" ";
"Csép";"20,06";"350,5";" ";"33";"16";"11";" ";
"Ete";"20,60";"593,5";" ";"25";"7";"4";" ";
"Kerékteleki";"29,46";"694,0";" ";"36";"7";"1";" ";
"Kisbér";"52,16";"5469,5";" ";"214";"69";"35";" ";
"Réde";"45,88";"1419,5";" ";"85";"40";"19";" ";
"Súr";"37,35";"1238,5";" ";"68";"21";"10";" ";
"Tárkány";"64,95";"1525,5";" ";"116";"35";"21";" ";
"Vérteskethely";"17,46";"556,0";" ";"16";"5";"3";" ";
"Komáromi járás";"378,78";"39716,0";" ";"1755";"518";"215";" ";
"Ács";"103,75";"6840,5";" ";"331";"98";"38";" ";
"Almásfüzitõ";"8,19";"2089,0";" ";"102";"20";"9";" ";
