"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2013. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,16";"2959648,0";" ";"69646";"36062";"21557";" ";
"Budapest (Budapest)";"525,14";"1740188,0";" ";"36423";"19998";"12118";" ";
"Budapest";"525,14";"1740188,0";" ";"36423";"19998";"12118";" ";
"Budapest, illetve fiktív területi egység";"525,14";"1740188,0";" ";"36423";"19998";"12118";" ";
"Budapest";"525,14";"1740188,0";" ";"36423";"19998";"12118";" ";
"Pest (Pest)";"6391,02";"1219460,0";" ";"33223";"16064";"9439";" ";
"Pest megye";"6391,02";"1219460,0";" ";"33223";"16064";"9439";" ";
"Aszódi járás";"298,37";"36906,0";" ";"1200";"547";"348";" ";
"Aszód";"16,20";"6165,5";" ";"123";"38";"20";" ";
"Bag";"23,55";"3676,5";" ";"160";"66";"48";" ";
"Domony";"21,80";"2152,5";" ";"81";"42";"32";" ";
"Galgahévíz";"31,18";"2487,5";" ";"110";"48";"26";" ";
"Galgamácsa";"43,31";"1832,0";" ";"46";"17";"11";" ";
"Hévízgyörk";"22,85";"2985,0";" ";"71";"31";"21";" ";
"Iklad";"11,21";"2027,0";" ";"43";"22";"12";" ";
"Kartal";"29,11";"5619,5";" ";"169";"71";"39";" ";
"Tura";"55,92";"7724,5";" ";"281";"158";"104";" ";
"Vácegres";"13,67";"850,5";" ";"57";"34";"23";" ";
"Verseg";"29,57";"1385,5";" ";"59";"20";"12";" ";
"Budakeszi járás";"288,95";"84989,5";" ";"1518";"698";"422";" ";
"Biatorbágy";"44,12";"12680,5";" ";"202";"78";"43";" ";
"Budajenõ";"12,42";"1845,5";" ";"30";"20";"12";" ";
"Budakeszi";"37,10";"13715,5";" ";"151";"62";"33";" ";
"Budaörs";"23,59";"27480,5";" ";"601";"311";"197";" ";
"Herceghalom";"7,34";"2204,0";" ";"39";"12";"8";" ";
"Nagykovácsi";"30,01";"6966,5";" ";"66";"20";"9";" ";
"Páty";"39,30";"6993,5";" ";"101";"32";"19";" ";
"Perbál";"25,65";"2065,5";" ";"54";"26";"20";" ";
"Remeteszõlõs";"0,56";"759,0";" ";"6";"2";"2";" ";
"Telki";"10,47";"3758,0";" ";"44";"21";"9";" ";
"Tök";"24,73";"1326,0";" ";"57";"34";"23";" ";
"Zsámbék";"33,66";"5195,0";" ";"167";"80";"47";" ";
"Ceglédi járás";"886,30";"88943,5";" ";"3802";"2094";"1321";" ";
"Abony";"127,97";"14729,0";" ";"748";"447";"301";" ";
"Albertirsa";"72,96";"12195,0";" ";"407";"232";"158";" ";
"Cegléd";"244,87";"36256,5";" ";"1510";"859";"548";" ";
"Ceglédbercel";"28,15";"4319,5";" ";"132";"67";"38";" ";
"Csemõ";"79,44";"4174,5";" ";"284";"166";"102";" ";
"Dánszentmiklós";"38,01";"3057,5";" ";"88";"35";"15";" ";
"Jászkarajenõ";"65,15";"2723,5";" ";"134";"53";"32";" ";
"Kõröstetétlen";"32,65";"903,0";" ";"25";"7";"2";" ";
"Mikebuda";"42,17";"671,5";" ";"36";"15";"13";" ";
"Tápiószõlõs";"31,79";"2906,5";" ";"119";"55";"25";" ";
"Törtel";"84,16";"4382,0";" ";"222";"116";"71";" ";
"Újszilvás";"38,98";"2625,0";" ";"97";"42";"16";" ";
"Dabasi járás";"614,23";"48777,0";" ";"1871";"931";"471";" ";
"Bugyi";"115,55";"5162,5";" ";"165";"64";"30";" ";
"Dabas";"165,99";"16547,0";" ";"567";"254";"114";" ";
"Hernád";"27,06";"4073,0";" ";"116";"52";"23";" ";
"Inárcs";"22,53";"4398,5";" ";"200";"123";"75";" ";
"Kakucs";"21,80";"2812,0";" ";"109";"64";"31";" ";
"Örkény";"36,44";"4843,5";" ";"237";"148";"68";" ";
"Pusztavacs";"79,07";"1354,5";" ";"53";"26";"11";" ";
"Táborfalva";"42,05";"3320,5";" ";"157";"79";"50";" ";
"Tatárszentgyörgy";"55,06";"1876,5";" ";"154";"83";"50";" ";
"Újhartyán";"22,43";"2714,0";" ";"60";"18";"7";" ";
"Újlengyel";"26,25";"1675,0";" ";"53";"20";"12";" ";
"Dunakeszi járás";"103,08";"79242,5";" ";"1516";"715";"409";" ";
"Csomád";"12,38";"1562,0";" ";"21";"12";"8";" ";
"Dunakeszi";"31,06";"40812,0";" ";"764";"351";"198";" ";
"Fót";"37,40";"18944,5";" ";"348";"160";"82";" ";
"Göd";"22,24";"17924,0";" ";"383";"192";"121";" ";
"Érdi járás";"184,29";"117434,0";" ";"2374";"1118";"624";" ";
"Diósd";"5,75";"9291,5";" ";"96";"27";"16";" ";
"Érd";"60,54";"63313,5";" ";"1335";"640";"354";" ";
"Pusztazámor";"9,27";"1150,5";" ";"29";"15";"5";" ";
"Sóskút";"27,67";"3128,5";" ";"93";"50";"27";" ";
"Százhalombatta";"28,06";"18609,0";" ";"415";"191";"104";" ";
"Tárnok";"23,60";"8879,5";" ";"184";"90";"49";" ";
"Törökbálint";"29,40";"13061,5";" ";"222";"105";"69";" ";
"Gödöllõi járás";"449,66";"140424,0";" ";"3234";"1702";"1110";" ";
"Csömör";"22,70";"9100,5";" ";"129";"64";"38";" ";
"Dány";"43,01";"4430,5";" ";"217";"144";"106";" ";
"Erdõkertes";"5,75";"7523,0";" ";"214";"131";"89";" ";
"Gödöllõ";"61,92";"32690,0";" ";"772";"409";"274";" ";
"Isaszeg";"54,84";"11251,0";" ";"300";"128";"75";" ";
"Kerepes";"24,08";"9910,0";" ";"257";"152";"115";" ";
"Kistarcsa";"11,02";"12045,5";" ";"172";"72";"49";" ";
"Mogyoród";"34,48";"6379,5";" ";"156";"83";"53";" ";
"Nagytarcsa";"12,14";"3934,0";" ";"39";"20";"9";" ";
"Pécel";"43,63";"15169,5";" ";"302";"133";"75";" ";
"Szada";"16,72";"4710,0";" ";"93";"48";"28";" ";
"Vácszentlászló";"29,87";"2037,0";" ";"57";"23";"18";" ";
"Valkó";"37,59";"2414,5";" ";"151";"97";"66";" ";
"Veresegyház";"28,56";"16501,5";" ";"287";"137";"81";" ";
"Zsámbok";"23,35";"2327,5";" ";"88";"61";"34";" ";
"Gyáli járás";"170,99";"40436,5";" ";"1311";"674";"349";" ";
"Alsónémedi";"49,07";"5197,5";" ";"105";"45";"24";" ";
"Felsõpakony";"15,33";"3322,0";" ";"82";"40";"21";" ";
"Gyál";"24,93";"22797,5";" ";"739";"404";"205";" ";
"Ócsa";"81,66";"9119,5";" ";"385";"185";"99";" ";
"Monori járás";"352,02";"66385,5";" ";"2144";"1010";"595";" ";
"Bénye";"16,52";"1199,5";" ";"26";"17";"3";" ";
"Csévharaszt";"49,24";"1889,0";" ";"56";"17";"10";" ";
"Gomba";"39,71";"2947,5";" ";"97";"36";"23";" ";
"Gyömrõ";"26,51";"16614,5";" ";"422";"198";"130";" ";
"Káva";"11,31";"664,5";" ";"25";"10";"7";" ";
"Monor";"46,79";"17754,0";" ";"584";"282";"170";" ";
"Monorierdõ";"15,07";"4094,5";" ";"149";"80";"47";" ";
"Nyáregyháza";"32,01";"3680,0";" ";"130";"58";"33";" ";
"Pánd";"22,21";"1977,0";" ";"93";"39";"22";" ";
"Péteri";"11,89";"2186,0";" ";"62";"26";"14";" ";
"Pilis";"47,35";"11495,5";" ";"435";"225";"126";" ";
"Vasad";"33,41";"1883,5";" ";"65";"22";"10";" ";
"Nagykátai járás";"687,91";"71988,5";" ";"2772";"1294";"734";" ";
"Farmos";"40,12";"3485,5";" ";"145";"73";"39";" ";
"Kóka";"44,36";"4315,5";" ";"134";"74";"47";" ";
"Mende";"27,15";"4112,5";" ";"104";"45";"27";" ";
"Nagykáta";"81,61";"12515,5";" ";"465";"252";"146";" ";
"Sülysáp";"47,19";"8182,0";" ";"214";"80";"38";" ";
"Szentlõrinckáta";"20,15";"1901,0";" ";"54";"18";"13";" ";
"Szentmártonkáta";"52,18";"4896,5";" ";"254";"140";"86";" ";
"Tápióbicske";"48,48";"3354,5";" ";"172";"67";"28";" ";
"Tápiógyörgye";"53,31";"3448,0";" ";"158";"54";"24";" ";
"Tápióság";"33,54";"2572,5";" ";"90";"39";"17";" ";
"Tápiószecsõ";"38,38";"6168,5";" ";"164";"73";"34";" ";
"Tápiószele";"36,99";"6001,0";" ";"320";"141";"76";" ";
"Tápiószentmárton";"102,91";"5263,5";" ";"214";"85";"58";" ";
"Tóalmás";"39,35";"3221,0";" ";"203";"120";"82";" ";
"Úri";"22,19";"2551,0";" ";"81";"33";"19";" ";
"Nagykõrösi járás";"349,25";"27708,0";" ";"1625";"839";"599";" ";
"Kocsér";"67,28";"1855,5";" ";"84";"43";"18";" ";
"Nagykõrös";"227,94";"23905,5";" ";"1402";"714";"527";" ";
"Nyársapát";"54,03";"1947,0";" ";"139";"82";"54";" ";
"Pilisvörösvári járás";"130,81";"52649,0";" ";"832";"401";"241";" ";
"Pilisborosjenõ";"9,27";"3495,5";" ";"40";"22";"14";" ";
"Piliscsaba";"25,57";"7966,0";" ";"213";"109";"64";" ";
"Pilisjászfalu";"6,97";"1566,5";" ";"41";"20";"13";" ";
"Pilisszántó";"15,96";"2862,5";" ";"60";"35";"21";" ";
"Pilisszentiván";"8,12";"4166,0";" ";"74";"44";"28";" ";
"Pilisvörösvár";"24,30";"13861,5";" ";"172";"64";"42";" ";
"Solymár";"17,86";"9975,0";" ";"109";"45";"28";" ";
"Tinnye";"16,10";"1622,0";" ";"48";"26";"13";" ";
"Üröm";"6,66";"7134,0";" ";"75";"36";"18";" ";
"Ráckevei járás";"417,05";"36045,5";" ";"1395";"551";"295";" ";
"Apaj";"71,04";"1227,5";" ";"38";"13";"5";" ";
"Áporka";"17,47";"1100,0";" ";"22";"8";"4";" ";
"Dömsöd";"72,42";"5779,0";" ";"314";"112";"58";" ";
"Kiskunlacháza";"93,50";"8847,5";" ";"354";"157";"96";" ";
"Lórév";"9,88";"289,5";" ";"8";"2";" ";" ";
"Makád";"31,77";"1181,5";" ";"53";"12";"8";" ";
"Ráckeve";"64,09";"9968,5";" ";"359";"160";"83";" ";
"Szigetbecse";"17,12";"1299,0";" ";"40";"15";"6";" ";
"Szigetcsép";"18,20";"2286,0";" ";"85";"32";"20";" ";
"Szigetszentmárton";"10,73";"2116,0";" ";"61";"22";"6";" ";
"Szigetújfalu";"10,83";"1951,0";" ";"61";"18";"9";" ";
"Szentendrei járás";"326,58";"77819,0";" ";"1654";"725";"383";" ";
"Budakalász";"15,17";"10540,0";" ";"199";"102";"52";" ";
"Csobánka";"22,76";"3169,5";" ";"84";"29";"16";" ";
"Dunabogdány";"25,50";"3099,5";" ";"59";"28";"13";" ";
"Kisoroszi";"10,94";"947,5";" ";"19";"10";"7";" ";
"Leányfalu";"15,37";"3477,5";" ";"65";"36";"20";" ";
"Pilisszentkereszt";"17,21";"2180,0";" ";"45";"16";"14";" ";
"Pilisszentlászló";"17,75";"1188,0";" ";"26";"14";"5";" ";
"Pócsmegyer";"13,08";"1941,5";" ";"56";"21";"13";" ";
"Pomáz";"49,03";"16448,0";" ";"357";"154";"70";" ";
"Szentendre";"43,82";"25299,0";" ";"523";"238";"135";" ";
"Szigetmonostor";"23,51";"2248,5";" ";"73";"21";"9";" ";
"Tahitótfalu";"39,17";"5491,0";" ";"116";"44";"23";" ";
"Visegrád";"33,27";"1789,0";" ";"32";"12";"6";" ";
"Szigetszentmiklósi járás";"211,28";"110392,0";" ";"2269";"961";"493";" ";
"Délegyháza";"25,42";"3601,5";" ";"69";"17";"7";" ";
"Dunaharaszti";"29,17";"20507,5";" ";"405";"181";"92";" ";
"Dunavarsány";"22,52";"7433,5";" ";"135";"49";"30";" ";
"Halásztelek";"8,64";"9244,0";" ";"181";"72";"32";" ";
"Majosháza";"11,42";"1521,5";" ";"45";"21";"11";" ";
"Szigethalom";"9,12";"16994,0";" ";"361";"146";"66";" ";
"Szigetszentmiklós";"45,65";"34902,0";" ";"713";"320";"175";" ";
"Taksony";"20,85";"6102,5";" ";"102";"43";"22";" ";
"Tököl";"38,49";"10085,5";" ";"258";"112";"58";" ";
"Szobi járás";"438,31";"24449,0";" ";"763";"317";"165";" ";
"Bernecebaráti";"37,69";"905,0";" ";"36";"14";"10";" ";
"Ipolydamásd";"11,60";"349,5";" ";"14";"6";"4";" ";
"Ipolytölgyes";"13,66";"417,5";" ";"11";"1";" ";" ";
"Kemence";"42,75";"976,5";" ";"38";"23";"10";" ";
"Kismaros";"11,96";"2105,5";" ";"50";"31";"14";" ";
"Kóspallag";"12,77";"758,0";" ";"25";"10";"8";" ";
"Letkés";"24,55";"1117,5";" ";"64";"12";"4";" ";
"Márianosztra";"20,26";"868,5";" ";"25";"7";"2";" ";
"Nagybörzsöny";"50,66";"733,0";" ";"32";"13";"2";" ";
"Nagymaros";"34,37";"4732,5";" ";"156";"64";"30";" ";
"Perõcsény";"41,40";"285,5";" ";"12";"2";" ";" ";
"Szob";"17,97";"2802,0";" ";"46";"19";"11";" ";
"Szokolya";"59,04";"1804,5";" ";"52";"28";"17";" ";
"Tésa";"4,38";"79,5";" ";"1";"1";"1";" ";
"Vámosmikola";"25,29";"1653,0";" ";"63";"35";"23";" ";
"Verõce";"20,33";"3651,5";" ";"120";"46";"25";" ";
"Zebegény";"9,63";"1209,5";" ";"18";"5";"4";" ";
"Váci járás";"362,20";"67608,5";" ";"1968";"1039";"648";" ";
"Acsa";"26,94";"1404,5";" ";"52";"23";"11";" ";
"Csörög";"5,05";"1891,0";" ";"129";"81";"59";" ";
"Csõvár";"17,17";"632,0";" ";"11";"5";"3";" ";
"Galgagyörk";"14,71";"1075,0";" ";"62";"36";"26";" ";
"Kisnémedi";"13,83";"634,5";" ";"19";"9";"5";" ";
"Kosd";"34,08";"2465,0";" ";"73";"47";"31";" ";
"Õrbottyán";"27,38";"7060,5";" ";"166";"99";"74";" ";
"Penc";"21,34";"1504,5";" ";"34";"14";"7";" ";
"Püspökhatvan";"24,72";"1450,5";" ";"56";"29";"20";" ";
"Püspökszilágy";"25,31";"750,5";" ";"22";"8";"6";" ";
"Rád";"17,74";"1961,0";" ";"52";"23";"18";" ";
"Szõd";"15,74";"3564,5";" ";"90";"41";"27";" ";
"Szõdliget";"7,31";"4415,5";" ";"113";"51";"26";" ";
"Vác";"61,60";"33388,5";" ";"926";"497";"288";" ";
"Vácduka";"8,40";"1380,0";" ";"28";"9";"5";" ";
"Váchartyán";"12,11";"1750,0";" ";"51";"31";"20";" ";
"Váckisújfalu";"10,69";"414,5";" ";"27";"10";"5";" ";
"Vácrátót";"18,08";"1866,5";" ";"57";"26";"17";" ";
"Vecsési járás";"119,74";"47262,0";" ";"975";"448";"232";" ";
"Ecser";"13,10";"3611,0";" ";"66";"30";"14";" ";
"Maglód";"22,37";"11822,5";" ";"232";"84";"46";" ";
"Üllõ";"48,10";"11619,0";" ";"313";"149";"79";" ";
"Vecsés";"36,17";"20209,5";" ";"364";"185";"93";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Dunántúl";"36612,24";"2978182,0";" ";"113055";"51516";"30932";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"11086,44";"1071946,0";" ";"37597";"16088";"9087";" ";
"Fejér megye";"4358,45";"420296,0";" ";"14720";"6871";"4198";" ";
"Bicskei járás";"578,25";"35533,0";" ";"959";"432";"259";" ";
"Alcsútdoboz";"50,71";"1461,0";" ";"47";"26";"13";" ";
"Bicske";"77,08";"11911,0";" ";"325";"147";"92";" ";
"Bodmér";"7,17";"244,5";" ";"7";"3";" ";" ";
"Csabdi";"17,02";"1182,0";" ";"19";"8";"4";" ";
"Csákvár";"118,76";"5204,5";" ";"129";"45";"29";" ";
"Etyek";"53,27";"4105,0";" ";"95";"42";"22";" ";
"Felcsút";"22,02";"1832,5";" ";"45";"16";"7";" ";
"Gánt";"58,15";"846,0";" ";"17";"5";"5";" ";
"Mány";"44,72";"2382,0";" ";"100";"54";"37";" ";
"Óbarok";"19,26";"778,5";" ";"27";"14";"8";" ";
"Szár";"22,63";"1637,0";" ";"26";"11";"5";" ";
"Tabajd";"26,57";"903,5";" ";"32";"19";"13";" ";
"Újbarok";"1,49";"408,0";" ";"5";"2";" ";" ";
"Vértesacsa";"36,19";"1759,0";" ";"65";"29";"16";" ";
"Vértesboglár";"23,21";"878,5";" ";"20";"11";"8";" ";
"Dunaújvárosi járás";"650,05";"91475,5";" ";"3582";"1869";"1095";" ";
"Adony";"61,05";"3707,5";" ";"130";"55";"33";" ";
"Baracs";"55,18";"3372,5";" ";"113";"55";"31";" ";
"Beloiannisz";"4,54";"1041,0";" ";"39";"21";"7";" ";
"Besnyõ";"44,64";"1731,5";" ";"44";"20";"10";" ";
"Daruszentmiklós";"19,12";"1297,0";" ";"70";"35";"16";" ";
"Dunaújváros";"52,67";"46566,5";" ";"1821";"994";"607";" ";
"Elõszállás";"39,98";"2336,0";" ";"105";"65";"42";" ";
"Iváncsa";"25,17";"2800,5";" ";"84";"39";"17";" ";
"Kisapostag";"9,58";"1375,5";" ";"52";"26";"18";" ";
"Kulcs";"16,73";"2673,5";" ";"122";"61";"31";" ";
"Mezõfalva";"80,42";"4715,5";" ";"237";"128";"81";" ";
"Nagykarácsony";"30,46";"1334,0";" ";"83";"48";"26";" ";
"Nagyvenyim";"43,68";"4064,0";" ";"137";"66";"36";" ";
"Perkáta";"74,52";"3950,5";" ";"157";"77";"46";" ";
"Pusztaszabolcs";"51,67";"5991,5";" ";"212";"99";"51";" ";
"Rácalmás";"40,64";"4518,5";" ";"176";"80";"43";" ";
"Enyingi járás";"433,11";"20739,0";" ";"1190";"532";"364";" ";
"Dég";"46,86";"2189,5";" ";"98";"40";"22";" ";
"Enying";"82,78";"6853,5";" ";"547";"269";"190";" ";
"Kisláng";"53,06";"2484,5";" ";"158";"72";"49";" ";
"Lajoskomárom";"75,67";"2262,5";" ";"43";"18";"11";" ";
"Lepsény";"39,08";"3005,0";" ";"188";"73";"49";" ";
"Mátyásdomb";"35,39";"782,0";" ";"55";"17";"9";" ";
"Mezõkomárom";"29,05";"967,5";" ";"23";"8";"7";" ";
"Mezõszentgyörgy";"27,12";"1333,0";" ";"59";"30";"25";" ";
"Szabadhídvég";"44,10";"861,5";" ";"19";"5";"2";" ";
"Gárdonyi járás";"306,79";"29876,5";" ";"794";"362";"249";" ";
"Gárdony";"63,50";"9996,5";" ";"233";"98";"66";" ";
"Kápolnásnyék";"41,50";"3544,5";" ";"109";"45";"31";" ";
"Nadap";"6,93";"533,0";" ";"13";"5";"4";" ";
"Pákozd";"43,30";"3057,0";" ";"85";"39";"23";" ";
"Pázmánd";"27,14";"2100,5";" ";"51";"32";"21";" ";
"Sukoró";"16,27";"1360,0";" ";"17";"5";"1";" ";
"Szabadegyháza";"41,64";"2128,5";" ";"90";"55";"39";" ";
"Velence";"33,37";"5462,0";" ";"118";"50";"41";" ";
"Vereb";"22,32";"779,5";" ";"24";"8";"5";" ";
"Zichyújfalu";"10,82";"915,0";" ";"54";"25";"18";" ";
"Martonvásári járás";"277,13";"26468,0";" ";"969";"433";"222";" ";
"Baracska";"39,68";"2687,5";" ";"83";"38";"25";" ";
"Ercsi";"65,31";"8108,5";" ";"472";"215";"94";" ";
"Gyúró";"24,37";"1230,0";" ";"38";"14";"8";" ";
"Kajászó";"23,98";"1044,0";" ";"38";"14";"7";" ";
"Martonvásár";"31,25";"5609,5";" ";"129";"55";"34";" ";
"Ráckeresztúr";"35,30";"3305,0";" ";"112";"56";"31";" ";
"Tordas";"16,76";"2051,0";" ";"20";"6";"4";" ";
"Vál";"40,48";"2432,5";" ";"77";"35";"19";" ";
"Móri járás";"417,55";"34397,5";" ";"809";"268";"158";" ";
"Bakonycsernye";"38,13";"3019,0";" ";"72";"21";"15";" ";
"Balinka";"18,62";"897,0";" ";"34";"7";"4";" ";
"Bodajk";"28,98";"4102,0";" ";"116";"42";"31";" ";
"Csákberény";"41,37";"1174,0";" ";"34";"11";"7";" ";
"Csókakõ";"10,92";"1328,5";" ";"27";"10";"6";" ";
"Fehérvárcsurgó";"29,64";"1956,5";" ";"58";"12";"7";" ";
"Isztimér";"53,88";"979,5";" ";"14";"4";"1";" ";
"Kincsesbánya";"10,87";"1478,5";" ";"45";"15";"6";" ";
"Magyaralmás";"22,42";"1531,0";" ";"23";"9";"5";" ";
"Mór";"108,61";"14338,0";" ";"333";"121";"65";" ";
"Nagyveleg";"13,17";"652,0";" ";"10";"3";"2";" ";
"Pusztavám";"34,69";"2439,5";" ";"40";"12";"8";" ";
"Söréd";"6,25";"502,0";" ";"3";"1";"1";" ";
"Sárbogárdi járás";"653,52";"28366,0";" ";"2047";"1093";"728";" ";
"Alap";"48,29";"1960,5";" ";"101";"52";"40";" ";
"Alsószentiván";"39,65";"651,5";" ";"25";"9";"6";" ";
"Cece";"58,85";"2593,0";" ";"166";"95";"75";" ";
"Hantos";"36,96";"966,5";" ";"50";"16";"10";" ";
"Igar";"41,19";"962,0";" ";"144";"74";"46";" ";
"Mezõszilas";"64,97";"2124,5";" ";"118";"40";"21";" ";
"Nagylók";"32,44";"1042,5";" ";"55";"22";"14";" ";
"Sárbogárd";"189,33";"12446,5";" ";"904";"488";"310";" ";
"Sáregres";"26,16";"729,5";" ";"29";"14";"11";" ";
"Sárkeresztúr";"46,75";"2522,5";" ";"284";"195";"134";" ";
"Sárszentágota";"45,50";"1351,0";" ";"83";"36";"26";" ";
"Vajta";"23,43";"1016,0";" ";"88";"52";"35";" ";
"Székesfehérvári járás";"1042,05";"153440,5";" ";"4370";"1882";"1123";" ";
"Aba";"88,05";"4477,5";" ";"167";"63";"34";" ";
"Bakonykúti";"12,45";"130,5";" ";"1";" ";" ";" ";
"Csór";"41,49";"1788,0";" ";"59";"26";"15";" ";
"Csõsz";"17,11";"1033,5";" ";"44";"8";"5";" ";
"Füle";"30,32";"857,0";" ";"42";"16";"8";" ";
"Iszkaszentgyörgy";"26,27";"1955,0";" ";"53";"14";"10";" ";
"Jenõ";"5,56";"1326,5";" ";"46";"17";"11";" ";
"Káloz";"47,79";"2385,5";" ";"109";"53";"38";" ";
"Kõszárhegy";"5,90";"1517,5";" ";"68";"31";"16";" ";
"Lovasberény";"60,62";"2624,0";" ";"91";"36";"21";" ";
"Moha";"9,88";"571,5";" ";"14";"7";"5";" ";
"Nádasdladány";"26,35";"1742,5";" ";"112";"46";"27";" ";
"Pátka";"40,38";"1682,0";" ";"77";"37";"24";" ";
