"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2012. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"86668";"41866";"21781";" ";
"Budapest (Budapest)";"45619";"22864";"11497";" ";
"Budapest";"45619";"22864";"11497";" ";
"Budapest, illetve fiktív területi egység";"45619";"22864";"11497";" ";
"Budapest";"45619";"22864";"11497";" ";
"Pest (Pest)";"41049";"19002";"10284";" ";
"Pest megye";"41049";"19002";"10284";" ";
"Aszódi járás";"1437";"734";"393";" ";
"Aszód";"121";"42";"17";" ";
"Bag";"215";"118";"66";" ";
"Domony";"99";"59";"44";" ";
"Galgahévíz";"125";"64";"37";" ";
"Galgamácsa";"46";"22";"12";" ";
"Hévízgyörk";"82";"37";"18";" ";
"Iklad";"57";"29";"18";" ";
"Kartal";"170";"69";"20";" ";
"Tura";"391";"228";"133";" ";
"Vácegres";"65";"35";"16";" ";
"Verseg";"66";"31";"12";" ";
"Budakeszi járás";"1754";"812";"443";" ";
"Biatorbágy";"233";"88";"45";" ";
"Budajenõ";"38";"18";"8";" ";
"Budakeszi";"175";"66";"39";" ";
"Budaörs";"671";"361";"203";" ";
"Herceghalom";"39";"14";"10";" ";
"Nagykovácsi";"80";"27";"11";" ";
"Páty";"144";"51";"21";" ";
"Perbál";"59";"30";"19";" ";
"Remeteszõlõs";"5";"1";" ";" ";
"Telki";"34";"21";"12";" ";
"Tök";"65";"35";"20";" ";
"Zsámbék";"211";"100";"55";" ";
"Ceglédi járás";"4741";"2709";"1539";" ";
"Abony";"967";"546";"312";" ";
"Albertirsa";"491";"277";"166";" ";
"Cegléd";"1877";"1116";"602";" ";
"Ceglédbercel";"141";"82";"52";" ";
"Csemõ";"348";"200";"122";" ";
"Dánszentmiklós";"109";"59";"27";" ";
"Jászkarajenõ";"184";"101";"55";" ";
"Kõröstetétlen";"19";"6";"1";" ";
"Mikebuda";"46";"26";"15";" ";
"Tápiószõlõs";"146";"76";"36";" ";
"Törtel";"283";"151";"109";" ";
"Újszilvás";"130";"69";"42";" ";
"Dabasi járás";"3190";"1072";"539";" ";
"Bugyi";"235";"74";"37";" ";
"Dabas";"1022";"273";"123";" ";
"Hernád";"252";"77";"29";" ";
"Inárcs";"325";"140";"65";" ";
"Kakucs";"188";"80";"48";" ";
"Örkény";"429";"184";"110";" ";
"Pusztavacs";"106";"21";"9";" ";
"Táborfalva";"271";"109";"53";" ";
"Tatárszentgyörgy";"193";"73";"46";" ";
"Újhartyán";"107";"23";"13";" ";
"Újlengyel";"62";"18";"6";" ";
"Dunakeszi járás";"1816";"728";"378";" ";
"Csomád";"39";"13";"5";" ";
"Dunakeszi";"955";"388";"191";" ";
"Fót";"404";"141";"73";" ";
"Göd";"418";"186";"109";" ";
"Érdi járás";"3122";"1389";"810";" ";
"Diósd";"151";"58";"30";" ";
"Érd";"1742";"796";"466";" ";
"Pusztazámor";"32";"14";"7";" ";
"Sóskút";"112";"56";"34";" ";
"Százhalombatta";"528";"218";"144";" ";
"Tárnok";"248";"125";"72";" ";
"Törökbálint";"309";"122";"57";" ";
"Gödöllõi járás";"3839";"2002";"1246";" ";
"Csömör";"137";"56";"38";" ";
"Dány";"220";"109";"86";" ";
"Erdõkertes";"287";"170";"104";" ";
"Gödöllõ";"908";"488";"292";" ";
"Isaszeg";"353";"164";"96";" ";
"Kerepes";"328";"213";"159";" ";
"Kistarcsa";"215";"101";"54";" ";
"Mogyoród";"136";"72";"41";" ";
"Nagytarcsa";"66";"28";"18";" ";
"Pécel";"331";"167";"97";" ";
"Szada";"99";"45";"20";" ";
"Vácszentlászló";"76";"33";"14";" ";
"Valkó";"181";"122";"91";" ";
"Veresegyház";"368";"171";"91";" ";
"Zsámbok";"134";"63";"45";" ";
"Gyáli járás";"1331";"601";"309";" ";
"Alsónémedi";"109";"40";"20";" ";
"Felsõpakony";"105";"42";"20";" ";
"Gyál";"720";"319";"160";" ";
"Ócsa";"397";"200";"109";" ";
"Monori járás";"2846";"1382";"748";" ";
"Bénye";"45";"16";"5";" ";
"Csévharaszt";"100";"30";"11";" ";
"Gomba";"122";"43";"24";" ";
"Gyömrõ";"618";"313";"174";" ";
"Káva";"27";"15";"8";" ";
"Monor";"706";"327";"193";" ";
"Monorierdõ";"204";"100";"52";" ";
"Nyáregyháza";"141";"55";"23";" ";
"Pánd";"115";"78";"42";" ";
"Péteri";"91";"49";"24";" ";
"Pilis";"605";"321";"178";" ";
"Vasad";"72";"35";"14";" ";
"Nagykátai járás";"3348";"1626";"845";" ";
"Farmos";"189";"103";"48";" ";
"Kóka";"163";"71";"36";" ";
"Mende";"140";"71";"34";" ";
"Nagykáta";"536";"281";"138";" ";
"Sülysáp";"229";"93";"56";" ";
"Szentlõrinckáta";"50";"23";"12";" ";
"Szentmártonkáta";"308";"129";"68";" ";
"Tápióbicske";"195";"103";"61";" ";
"Tápiógyörgye";"142";"63";"32";" ";
"Tápióság";"111";"48";"18";" ";
"Tápiószecsõ";"247";"104";"48";" ";
"Tápiószele";"392";"216";"126";" ";
"Tápiószentmárton";"266";"120";"59";" ";
"Tóalmás";"285";"148";"86";" ";
"Úri";"95";"53";"23";" ";
"Nagykõrösi járás";"2056";"1194";"788";" ";
"Kocsér";"94";"57";"32";" ";
"Nagykõrös";"1796";"1033";"681";" ";
"Nyársapát";"166";"104";"75";" ";
"Pilisvörösvári járás";"959";"439";"240";" ";
"Pilisborosjenõ";"66";"33";"13";" ";
"Piliscsaba";"190";"94";"51";" ";
"Pilisjászfalu";"44";"19";"10";" ";
"Pilisszántó";"83";"39";"17";" ";
"Pilisszentiván";"89";"46";"28";" ";
"Pilisvörösvár";"196";"80";"53";" ";
"Solymár";"141";"48";"27";" ";
"Tinnye";"62";"33";"13";" ";
"Üröm";"88";"47";"28";" ";
"Ráckevei járás";"1410";"636";"312";" ";
"Apaj";"30";"12";"8";" ";
"Áporka";"28";"5";"2";" ";
"Dömsöd";"301";"154";"67";" ";
"Kiskunlacháza";"386";"188";"95";" ";
"Lórév";"10";"1";"1";" ";
"Makád";"44";"11";"6";" ";
"Ráckeve";"383";"172";"87";" ";
"Szigetbecse";"37";"14";"9";" ";
"Szigetcsép";"77";"32";"17";" ";
"Szigetszentmárton";"61";"26";"12";" ";
"Szigetújfalu";"53";"21";"8";" ";
"Szentendrei járás";"1939";"736";"287";" ";
"Budakalász";"206";"100";"43";" ";
"Csobánka";"102";"47";"19";" ";
"Dunabogdány";"76";"31";"10";" ";
"Kisoroszi";"34";"10";"6";" ";
"Leányfalu";"80";"29";"12";" ";
"Pilisszentkereszt";"61";"27";"10";" ";
"Pilisszentlászló";"32";"11";"4";" ";
"Pócsmegyer";"56";"19";"8";" ";
"Pomáz";"422";"149";"52";" ";
"Szentendre";"639";"248";"97";" ";
"Szigetmonostor";"72";"24";"10";" ";
"Tahitótfalu";"124";"31";"13";" ";
"Visegrád";"35";"10";"3";" ";
"Szigetszentmiklósi járás";"2798";"1067";"483";" ";
"Délegyháza";"94";"29";"17";" ";
"Dunaharaszti";"425";"173";"68";" ";
"Dunavarsány";"193";"76";"32";" ";
"Halásztelek";"192";"71";"33";" ";
"Majosháza";"56";"22";"9";" ";
"Szigethalom";"474";"174";"78";" ";
"Szigetszentmiklós";"933";"350";"143";" ";
"Taksony";"141";"48";"30";" ";
"Tököl";"290";"124";"73";" ";
"Szobi járás";"754";"274";"149";" ";
"Bernecebaráti";"44";"20";"11";" ";
"Ipolydamásd";"7";"4";"4";" ";
"Ipolytölgyes";"4";" ";" ";" ";
"Kemence";"28";"13";"7";" ";
"Kismaros";"53";"22";"15";" ";
"Kóspallag";"27";"9";"7";" ";
"Letkés";"48";"11";"4";" ";
"Márianosztra";"36";"15";"9";" ";
"Nagybörzsöny";"15";"5";"5";" ";
"Nagymaros";"136";"44";"17";" ";
"Perõcsény";"10";"2";"1";" ";
"Szob";"69";"12";"3";" ";
"Szokolya";"64";"25";"16";" ";
"Tésa";"2";"1";"1";" ";
"Vámosmikola";"81";"36";"23";" ";
"Verõce";"108";"45";"23";" ";
"Zebegény";"22";"10";"3";" ";
"Váci járás";"2394";"1013";"522";" ";
"Acsa";"69";"34";"17";" ";
"Csörög";"145";"58";"38";" ";
"Csõvár";"17";"8";"2";" ";
"Galgagyörk";"61";"25";"13";" ";
"Kisnémedi";"21";"10";"4";" ";
"Kosd";"93";"50";"23";" ";
"Õrbottyán";"228";"106";"55";" ";
"Penc";"50";"25";"10";" ";
"Püspökhatvan";"82";"28";"14";" ";
"Püspökszilágy";"22";"13";"10";" ";
"Rád";"51";"20";"10";" ";
"Szõd";"94";"36";"22";" ";
"Szõdliget";"114";"37";"18";" ";
"Vác";"1154";"493";"262";" ";
"Vácduka";"31";"9";"1";" ";
"Váchartyán";"66";"26";"8";" ";
"Váckisújfalu";"23";"13";"6";" ";
"Vácrátót";"73";"22";"9";" ";
"Vecsési járás";"1315";"588";"253";" ";
"Ecser";"66";"20";"5";" ";
"Maglód";"314";"131";"55";" ";
"Üllõ";"443";"225";"109";" ";
"Vecsés";"492";"212";"84";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";
"Dunántúl";"158409";"73169";"38485";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"53017";"21826";"11004";" ";
"Fejér megye";"21743";"9934";"5488";" ";
"Bicskei járás";"1378";"620";"330";" ";
"Alcsútdoboz";"45";"27";"11";" ";
"Bicske";"534";"267";"159";" ";
"Bodmér";"10";"3";"1";" ";
"Csabdi";"45";"16";"8";" ";
"Csákvár";"182";"57";"22";" ";
"Etyek";"127";"60";"28";" ";
"Felcsút";"47";"17";"5";" ";
"Gánt";"22";"11";"2";" ";
"Mány";"107";"54";"38";" ";
"Óbarok";"57";"20";"8";" ";
"Szár";"36";"15";"8";" ";
"Tabajd";"49";"24";"14";" ";
"Újbarok";"9";"5";"1";" ";
"Vértesacsa";"74";"26";"15";" ";
"Vértesboglár";"34";"18";"10";" ";
"Dunaújvárosi járás";"4761";"2214";"1162";" ";
"Adony";"152";"69";"39";" ";
"Baracs";"145";"59";"31";" ";
"Beloiannisz";"46";"20";"12";" ";
"Besnyõ";"77";"24";"14";" ";
"Daruszentmiklós";"70";"32";"19";" ";
"Dunaújváros";"2507";"1209";"654";" ";
"Elõszállás";"168";"72";"37";" ";
"Iváncsa";"104";"38";"16";" ";
"Kisapostag";"52";"31";"10";" ";
"Kulcs";"104";"50";"21";" ";
"Mezõfalva";"319";"132";"70";" ";
"Nagykarácsony";"84";"41";"20";" ";
"Nagyvenyim";"155";"85";"48";" ";
"Perkáta";"315";"160";"80";" ";
"Pusztaszabolcs";"289";"102";"40";" ";
"Rácalmás";"174";"90";"51";" ";
"Enyingi járás";"1819";"816";"456";" ";
"Dég";"140";"50";"24";" ";
"Enying";"676";"346";"206";" ";
"Kisláng";"207";"98";"56";" ";
"Lajoskomárom";"132";"33";"18";" ";
"Lepsény";"289";"119";"69";" ";
"Mátyásdomb";"73";"28";"10";" ";
"Mezõkomárom";"70";"26";"9";" ";
"Mezõszentgyörgy";"150";"92";"52";" ";
"Szabadhídvég";"82";"24";"12";" ";
"Gárdonyi járás";"1405";"632";"374";" ";
"Gárdony";"394";"170";"103";" ";
"Kápolnásnyék";"175";"79";"50";" ";
"Nadap";"25";"15";"11";" ";
"Pákozd";"152";"61";"30";" ";
"Pázmánd";"86";"43";"26";" ";
"Sukoró";"34";"14";"8";" ";
"Szabadegyháza";"164";"92";"47";" ";
"Velence";"252";"105";"61";" ";
"Vereb";"46";"16";"10";" ";
"Zichyújfalu";"77";"37";"28";" ";
"Martonvásári járás";"1397";"655";"353";" ";
"Baracska";"134";"70";"46";" ";
"Ercsi";"650";"365";"193";" ";
"Gyúró";"60";"28";"14";" ";
"Kajászó";"48";"16";"6";" ";
"Martonvásár";"168";"72";"40";" ";
"Ráckeresztúr";"176";"37";"20";" ";
"Tordas";"55";"26";"12";" ";
"Vál";"106";"41";"22";" ";
"Móri járás";"1332";"509";"251";" ";
"Bakonycsernye";"114";"44";"22";" ";
"Balinka";"52";"15";"6";" ";
"Bodajk";"174";"55";"29";" ";
"Csákberény";"46";"19";"10";" ";
"Csókakõ";"45";"17";"8";" ";
"Fehérvárcsurgó";"65";"24";"17";" ";
"Isztimér";"27";"12";"2";" ";
"Kincsesbánya";"79";"37";"12";" ";
"Magyaralmás";"49";"20";"11";" ";
"Mór";"577";"233";"118";" ";
"Nagyveleg";"21";"4";"1";" ";
"Pusztavám";"64";"23";"13";" ";
"Söréd";"19";"6";"2";" ";
"Sárbogárdi járás";"2727";"1335";"788";" ";
"Alap";"143";"72";"40";" ";
"Alsószentiván";"36";"17";"7";" ";
"Cece";"264";"130";"80";" ";
"Hantos";"50";"22";"12";" ";
"Igar";"143";"104";"45";" ";
"Mezõszilas";"163";"86";"46";" ";
"Nagylók";"84";"36";"19";" ";
"Sárbogárd";"1155";"506";"305";" ";
"Sáregres";"72";"35";"20";" ";
"Sárkeresztúr";"400";"228";"149";" ";
"Sárszentágota";"104";"50";"38";" ";
"Vajta";"113";"49";"27";" ";
"Székesfehérvári járás";"6924";"3153";"1774";" ";
"Aba";"241";"96";"40";" ";
"Bakonykúti";"2";"1";" ";" ";
"Csór";"94";"44";"21";" ";
"Csõsz";"74";"27";"9";" ";
"Füle";"67";"30";"16";" ";
"Iszkaszentgyörgy";"89";"34";"21";" ";
"Jenõ";"77";"30";"15";" ";
"Káloz";"160";"65";"44";" ";
"Kõszárhegy";"72";"36";"21";" ";
"Lovasberény";"110";"43";"22";" ";
"Moha";"32";"12";"7";" ";
"Nádasdladány";"117";"49";"25";" ";
"Pátka";"112";"46";"21";" ";
"Polgárdi";"381";"182";"78";" ";
"Sárkeresztes";"55";"28";"18";" ";
"Sárkeszi";"40";"14";"5";" ";
"Sárosd";"195";"81";"44";" ";
"Sárszentmihály";"168";"70";"37";" ";
"Seregélyes";"218";"74";"36";" ";
"Soponya";"127";"39";"21";" ";
"Szabadbattyán";"287";"133";"71";" ";
"Székesfehérvár";"3868";"1892";"1134";" ";
"Tác";"90";"30";"19";" ";
"Úrhida";"111";"45";"26";" ";
"Zámoly";"137";"52";"23";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";
"Komárom-Esztergom megye";"14084";"5316";"2337";" ";
"Esztergomi járás";"4625";"1937";"930";" ";
"Annavölgy";"60";"19";"10";" ";
"Bajna";"105";"44";"16";" ";
"Bajót";"93";"37";"19";" ";
"Csolnok";"112";"51";"22";" ";
"Dág";"46";"12";"6";" ";
"Dorog";"711";"331";"162";" ";
"Dömös";"49";"15";"7";" ";
"Epöl";"44";"15";"6";" ";
"Esztergom";"1273";"580";"276";" ";
"Kesztölc";"140";"69";"39";" ";
"Lábatlan";"289";"99";"39";" ";
"Leányvár";"58";"28";"14";" ";
"Máriahalom";"36";"12";"6";" ";
"Mogyorósbánya";"28";"6";" ";" ";
"Nagysáp";"131";"50";"28";" ";
"Nyergesújfalu";"341";"107";"44";" ";
"Piliscsév";"144";"69";"34";" ";
"Pilismarót";"88";"39";"22";" ";
"Sárisáp";"144";"56";"31";" ";
"Süttõ";"88";"31";"8";" ";
"Tát";"192";"75";"39";" ";
"Tokod";"221";"91";"48";" ";
"Tokodaltáró";"183";"74";"34";" ";
"Úny";"49";"27";"20";" ";
"Kisbéri járás";"1007";"363";"191";" ";
"Ácsteszér";"39";"9";"4";" ";
"Aka";"15";"4";"4";" ";
"Ászár";"60";"18";"6";" ";
"Bakonybánk";"35";"11";"1";" ";
"Bakonysárkány";"24";"4";" ";" ";
"Bakonyszombathely";"75";"40";"20";" ";
"Bársonyos";"32";"9";"5";" ";
"Császár";"116";"64";"45";" ";
"Csatka";"18";"4";"2";" ";
"Csép";"33";"16";"11";" ";
"Ete";"25";"7";"4";" ";
"Kerékteleki";"36";"7";"1";" ";
"Kisbér";"214";"69";"35";" ";
"Réde";"85";"40";"19";" ";
"Súr";"68";"21";"10";" ";
"Tárkány";"116";"35";"21";" ";
"Vérteskethely";"16";"5";"3";" ";
"Komáromi járás";"1755";"518";"215";" ";
"Ács";"331";"98";"38";" ";
"Almásfüzitõ";"102";"20";"9";" ";
"Bábolna";"120";"39";"19";" ";
"Bana";"72";"23";"13";" ";
"Csém";"33";"12";"4";" ";
"Kisigmánd";"40";"7";"4";" ";
"Komárom";"794";"218";"85";" ";
"Mocsa";"118";"53";"27";" ";
"Nagyigmánd";"145";"48";"16";" ";
"Oroszlányi járás";"1226";"488";"174";" ";
