"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2017. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Kerepes";"24,08";"10007,0";"6826,0";"137";"84";"58";"15";
"Kistarcsa";"11,02";"12737,0";"8500,0";"136";"69";"48";"5";
"Mogyoród";"34,48";"6782,5";"4744,0";"90";"58";"38";"4";
"Nagytarcsa";"12,14";"4503,0";"3123,0";"40";"21";"14";"6";
"Pécel";"43,63";"15814,5";"10565,0";"191";"99";"57";"30";
"Szada";"16,72";"5326,5";"3545,0";"62";"29";"22";"13";
"Vácszentlászló";"29,87";"1992,0";"1414,0";"53";"35";"19";"22";
"Valkó";"37,59";"2440,5";"1711,0";"104";"73";"56";"36";
"Veresegyház";"28,56";"18388,0";"12009,0";"205";"109";"77";"34";
"Zsámbok";"23,35";"2324,0";"1592,0";"89";"50";"35";"29";
"Gyáli járás";"170,99";"41519,0";"28648,0";"759";"383";"239";"90";
"Alsónémedi";"49,07";"5251,0";"3591,0";"85";"45";"23";"8";
"Felsõpakony";"15,33";"3483,0";"2467,0";"53";"26";"14";"12";
"Gyál";"24,93";"23494,0";"16214,0";"343";"171";"101";"37";
"Ócsa";"81,66";"9291,0";"6376,0";"278";"141";"101";"33";
"Monori járás";"352,02";"68757,5";"46948,0";"1301";"685";"458";"369";
"Bénye";"16,52";"1254,5";"858,0";"14";"8";"4";"4";
"Csévharaszt";"49,24";"1904,0";"1401,0";"28";"18";"11";"16";
"Gomba";"39,71";"3002,0";"2096,0";"56";"31";"21";"14";
"Gyömrõ";"26,51";"18026,0";"11922,0";"272";"138";"88";"32";
"Káva";"11,31";"676,5";"470,0";"17";"8";"7";"5";
"Monor";"46,79";"18104,5";"12234,0";"323";"170";"116";"146";
"Monorierdõ";"15,07";"4238,5";"2986,0";"92";"47";"31";"20";
"Nyáregyháza";"32,01";"3709,5";"2654,0";"75";"39";"29";"22";
"Pánd";"22,21";"1915,5";"1292,0";"71";"41";"27";"20";
"Péteri";"11,89";"2346,5";"1661,0";"41";"23";"16";"19";
"Pilis";"47,35";"11629,0";"8000,0";"268";"145";"99";"60";
"Vasad";"33,41";"1951,0";"1374,0";"44";"17";"9";"11";
"Nagykátai járás";"687,96";"71638,0";"48304,0";"1800";"1049";"684";"784";
"Farmos";"40,12";"3428,0";"2308,0";"88";"55";"32";"22";
"Kóka";"44,36";"4345,5";"2947,0";"75";"51";"34";"57";
"Mende";"27,15";"4161,0";"2808,0";"55";"30";"17";"15";
"Nagykáta";"81,61";"12311,0";"8191,0";"427";"249";"169";"111";
"Sülysáp";"47,19";"8469,5";"5748,0";"145";"90";"61";"58";
"Szentlõrinckáta";"20,15";"1873,5";"1267,0";"16";"5";"3";"26";
"Szentmártonkáta";"52,18";"4815,5";"3299,0";"146";"77";"42";"49";
"Tápióbicske";"48,48";"3366,5";"2261,0";"99";"43";"27";"54";
"Tápiógyörgye";"53,31";"3354,0";"2191,0";"64";"28";"19";"76";
"Tápióság";"33,54";"2609,0";"1772,0";"63";"33";"23";"38";
"Tápiószecsõ";"38,38";"6048,0";"4215,0";"79";"46";"31";"63";
"Tápiószele";"36,99";"5826,5";"3968,0";"213";"146";"99";"94";
"Tápiószentmárton";"102,91";"5192,0";"3436,0";"110";"55";"34";"72";
"Tóalmás";"39,40";"3307,0";"2207,0";"185";"118";"77";"32";
"Úri";"22,19";"2531,0";"1686,0";"35";"23";"16";"17";
"Nagykõrösi járás";"349,25";"27327,5";"17987,0";"1080";"706";"477";"154";
"Kocsér";"67,28";"1841,5";"1195,0";"43";"23";"12";"37";
"Nagykõrös";"227,94";"23567,0";"15487,0";"917";"599";"402";"99";
"Nyársapát";"54,03";"1919,0";"1305,0";"120";"84";"63";"18";
"Pilisvörösvári járás";"130,81";"54372,0";"35607,0";"551";"327";"213";"79";
"Pilisborosjenõ";"9,27";"3709,5";"2456,0";"32";"21";"14";"5";
"Piliscsaba";"25,57";"8364,0";"5342,0";"109";"78";"47";"23";
"Pilisjászfalu";"6,97";"1632,0";"1152,0";"23";"9";"4";"3";
"Pilisszántó";"15,96";"2931,0";"1952,0";"34";"18";"10";"7";
"Pilisszentiván";"8,12";"4206,0";"2794,0";"43";"23";"13";"8";
"Pilisvörösvár";"24,30";"14059,5";"9312,0";"134";"73";"52";"15";
"Solymár";"17,86";"10345,5";"6681,0";"96";"51";"37";"7";
"Tinnye";"16,10";"1717,0";"1151,0";"29";"20";"11";"7";
"Üröm";"6,66";"7407,5";"4767,0";"51";"34";"25";"4";
"Ráckevei járás";"417,05";"36339,5";"23868,0";"884";"525";"356";"299";
"Apaj";"71,04";"1166,0";"802,0";"20";"8";"7";"6";
"Áporka";"17,47";"1151,5";"767,0";"10";"5";"4";"8";
"Dömsöd";"72,42";"5657,0";"3757,0";"251";"165";"115";"95";
"Kiskunlacháza";"93,50";"8810,0";"5850,0";"207";"120";"88";"26";
"Lórév";"9,88";"293,0";"201,0";"1";"1";" ";"7";
"Makád";"31,77";"1157,5";"778,0";"19";"4";"1";"31";
"Ráckeve";"64,09";"10359,0";"6727,0";"253";"151";"94";"84";
"Szigetbecse";"17,12";"1265,5";"837,0";"20";"11";"8";"6";
"Szigetcsép";"18,20";"2325,5";"1502,0";"45";"26";"15";"9";
"Szigetszentmárton";"10,73";"2205,5";"1417,0";"35";"22";"17";"8";
"Szigetújfalu";"10,83";"1949,0";"1230,0";"23";"12";"7";"19";
"Szentendrei járás";"326,58";"80778,5";"52912,0";"872";"464";"307";"211";
"Budakalász";"15,17";"10879,0";"6869,0";"85";"46";"32";"12";
"Csobánka";"22,76";"3304,5";"2377,0";"39";"14";"7";"22";
"Dunabogdány";"25,50";"3096,0";"1994,0";"25";"15";"11";"11";
"Kisoroszi";"10,94";"962,5";"622,0";"8";"4";"3";"7";
"Leányfalu";"15,37";"3675,0";"2328,0";"44";"23";"18";"7";
"Pilisszentkereszt";"17,21";"2139,0";"1474,0";"28";"10";"8";"14";
"Pilisszentlászló";"17,75";"1184,0";"784,0";"16";"8";"4";"6";
"Pócsmegyer";"13,08";"2228,5";"1542,0";"33";"17";"8";"20";
"Pomáz";"49,03";"17066,5";"11286,0";"171";"89";"57";"13";
"Szentendre";"43,82";"26229,0";"17030,0";"305";"173";"118";"37";
"Szigetmonostor";"23,51";"2465,0";"1688,0";"46";"29";"19";"25";
"Tahitótfalu";"39,17";"5709,0";"3839,0";"57";"31";"19";"25";
"Visegrád";"33,27";"1840,5";"1079,0";"15";"5";"3";"12";
"Szigetszentmiklósi járás";"211,28";"117725,5";"80013,0";"1372";"668";"399";"177";
"Délegyháza";"25,42";"4150,5";"2946,0";"49";"21";"12";"24";
"Dunaharaszti";"29,17";"21685,0";"14267,0";"236";"120";"71";"28";
"Dunavarsány";"22,52";"7969,5";"5545,0";"109";"58";"33";"19";
"Halásztelek";"8,64";"10356,0";"7063,0";"94";"44";"28";"14";
"Majosháza";"11,42";"1584,0";"1063,0";"22";"15";"13";"4";
"Szigethalom";"9,12";"17545,5";"11958,0";"232";"123";"73";"29";
"Szigetszentmiklós";"45,65";"38077,5";"26035,0";"446";"207";"122";"21";
"Taksony";"20,85";"6187,5";"4218,0";"69";"23";"14";"27";
"Tököl";"38,49";"10170,0";"6918,0";"115";"57";"33";"11";
"Szobi járás";"438,32";"24476,5";"15817,0";"426";"210";"139";"337";
"Bernecebaráti";"37,69";"857,5";"566,0";"10";"5";"1";"27";
"Ipolydamásd";"11,58";"348,0";"231,0";"9";"5";"3";"23";
"Ipolytölgyes";"13,67";"422,0";"328,0";"8";"3";"1";"8";
"Kemence";"42,75";"932,0";"620,0";"26";"13";"8";"26";
"Kismaros";"11,96";"2261,5";"1469,0";"35";"17";"13";"26";
"Kóspallag";"12,77";"738,5";"495,0";"8";"2";" ";"11";
"Letkés";"24,55";"1115,0";"778,0";"18";"10";"4";"28";
"Márianosztra";"20,27";"819,0";"573,0";"9";"4";"4";"21";
"Nagybörzsöny";"50,66";"676,5";"429,0";"28";"17";"13";"11";
"Nagymaros";"34,37";"4785,5";"3004,0";"97";"51";"36";"41";
"Perõcsény";"41,40";"295,0";"178,0";"6";"4";"2";"7";
"Szob";"17,97";"2576,5";"1717,0";"17";"5";"2";"35";
"Szokolya";"59,05";"1865,5";"1247,0";"34";"20";"13";"25";
"Tésa";"4,38";"79,5";"47,0";"3";"3";"3";"2";
"Vámosmikola";"25,29";"1638,5";"1026,0";"38";"12";"9";"11";
"Verõce";"20,33";"3838,5";"2328,0";"63";"33";"22";"30";
"Zebegény";"9,63";"1227,5";"781,0";"17";"6";"5";"5";
"Váci járás";"360,03";"67566,5";"44959,0";"1004";"539";"345";"296";
"Acsa";"26,94";"1381,5";"948,0";"24";"11";"8";"26";
"Csörög";"5,05";"2011,5";"1412,0";"69";"42";"27";"21";
"Csõvár";"17,17";"609,0";"396,0";"8";"2";"2";"8";
"Galgagyörk";"14,72";"1032,0";"695,0";"31";"12";"11";"17";
"Kisnémedi";"13,84";"677,5";"426,0";"12";"5";"5";"6";
"Kosd";"34,09";"2385,5";"1634,0";"49";"27";"14";"19";
"Õrbottyán";"27,38";"7283,0";"4985,0";"90";"50";"30";"11";
"Penc";"21,34";"1540,0";"1062,0";"16";"8";"5";"17";
"Püspökhatvan";"24,72";"1398,5";"910,0";"32";"19";"14";"10";
"Püspökszilágy";"25,30";"722,5";"462,0";"10";"5";"4";"5";
"Rád";"17,74";"1960,5";"1331,0";"20";"12";"10";"9";
"Szõd";"13,53";"3642,0";"2494,0";"17";"10";"5";"8";
"Szõdliget";"7,31";"4528,0";"2966,0";"39";"25";"13";"18";
"Vác";"61,60";"32734,5";"21379,0";"497";"264";"165";"83";
"Vácduka";"8,40";"1552,5";"1040,0";"16";"8";"5";"15";
"Váchartyán";"12,11";"1763,0";"1228,0";"33";"22";"14";"9";
"Váckisújfalu";"10,70";"439,0";"281,0";"13";"1";"1";" ";
