"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2019. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"31897";"13645";"8978";"3402";
"Budapest (Budapest)";"13935";"5036";"3118";"894";
"Budapest";"13935";"5036";"3118";"894";
"Budapest, illetve fiktív területi egység";"13935";"5036";"3118";"894";
"Budapest";"13935";"5036";"3118";"894";
"Pest (Pest)";"17962";"8609";"5860";"2508";
"Pest megye";"17962";"8609";"5860";"2508";
"Aszódi járás";"751";"392";"263";"156";
"Aszód";"84";"25";"14";"11";
"Bag";"73";"36";"32";"23";
"Domony";"46";"20";"15";"13";
"Galgahévíz";"66";"42";"28";"12";
"Galgamácsa";"26";"12";"9";"5";
"Hévízgyörk";"33";"13";"9";"16";
"Iklad";"14";"5";"3";"3";
"Kartal";"96";"48";"30";"18";
"Tura";"247";"152";"100";"36";
"Vácegres";"32";"19";"12";"10";
"Verseg";"34";"20";"11";"9";
"Budakeszi járás";"852";"380";"259";"44";
"Biatorbágy";"117";"41";"24";" ";
"Budajenõ";"14";"5";"4";" ";
"Budakeszi";"121";"51";"38";"2";
"Budaörs";"318";"171";"115";"1";
"Herceghalom";"17";"5";"2";" ";
"Nagykovácsi";"43";"17";"11";"3";
"Páty";"67";"24";"16";"8";
"Perbál";"30";"13";"8";"3";
"Remeteszõlõs";"2";"1";"1";" ";
"Telki";"31";"12";"9";" ";
"Tök";"15";"7";"5";"3";
"Zsámbék";"77";"33";"26";"24";
"Ceglédi járás";"2146";"1245";"878";"459";
"Abony";"402";"238";"180";"97";
"Albertirsa";"250";"146";"105";"31";
"Cegléd";"876";"501";"354";"120";
"Ceglédbercel";"83";"36";"21";"26";
"Csemõ";"145";"100";"71";"35";
"Dánszentmiklós";"49";"26";"20";"6";
"Jászkarajenõ";"84";"49";"27";"27";
"Kõröstetétlen";"10";"5";"3";"8";
"Mikebuda";"21";"9";"6";"6";
"Tápiószõlõs";"62";"38";"24";"21";
"Törtel";"120";"74";"51";"45";
"Újszilvás";"44";"23";"16";"37";
"Dabasi járás";"1240";"521";"327";"212";
"Bugyi";"99";"33";"19";"13";
"Dabas";"375";"148";"93";"81";
"Hernád";"78";"28";"22";"7";
"Inárcs";"103";"47";"33";"20";
"Kakucs";"70";"34";"23";"5";
"Örkény";"218";"103";"61";"51";
"Pusztavacs";"38";"17";"11";"6";
"Táborfalva";"101";"46";"29";"3";
"Tatárszentgyörgy";"93";"44";"25";"26";
"Újhartyán";"44";"14";"8";" ";
"Újlengyel";"21";"7";"3";" ";
"Dunakeszi járás";"695";"300";"210";"46";
"Csomád";"11";"6";"5";" ";
"Dunakeszi";"324";"137";"93";"18";
"Fót";"174";"80";"56";"8";
"Göd";"186";"77";"56";"20";
"Érdi járás";"902";"307";"200";"17";
"Diósd";"56";"16";"11";"1";
"Érd";"507";"177";"110";"11";
"Pusztazámor";"14";"4";"2";"1";
"Sóskút";"34";"14";"8";" ";
"Százhalombatta";"135";"52";"37";" ";
"Tárnok";"94";"31";"22";"3";
"Törökbálint";"62";"13";"10";"1";
"Gödöllõi járás";"1957";"953";"669";"174";
"Csömör";"78";"30";"19";"5";
