"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2016. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,27";"2997012,0";"1999069,0";"44167";"23315";"15892";" ";
"Budapest (Budapest)";"525,14";"1756055,5";"1167177,0";"20511";"10264";"7086";" ";
"Budapest";"525,14";"1756055,5";"1167177,0";"20511";"10264";"7086";" ";
"Budapest, illetve fiktív területi egység";"525,14";"1756055,5";"1167177,0";"20511";"10264";"7086";" ";
"Budapest";"525,14";"1756055,5";"1167177,0";"20511";"10264";"7086";" ";
"Pest (Pest)";"6391,13";"1240956,5";"831892,0";"23656";"13051";"8806";" ";
"Pest megye";"6391,13";"1240956,5";"831892,0";"23656";"13051";"8806";" ";
"Aszódi járás";"298,38";"36615,0";"24877,0";"886";"537";"362";" ";
"Aszód";"16,20";"6144,5";"4171,0";"84";"39";"23";" ";
"Bag";"23,55";"3632,5";"2396,0";"119";"76";"54";" ";
"Domony";"21,80";"2106,0";"1429,0";"54";"36";"26";" ";
"Galgahévíz";"31,18";"2491,0";"1665,0";"83";"56";"32";" ";
"Galgamácsa";"43,31";"1747,5";"1233,0";"29";"20";"14";" ";
"Hévízgyörk";"22,85";"3006,5";"2045,0";"42";"25";"15";" ";
"Iklad";"11,21";"1985,0";"1300,0";"27";"17";"14";" ";
"Kartal";"29,12";"5630,5";"3941,0";"104";"52";"34";" ";
"Tura";"55,92";"7707,0";"5165,0";"260";"170";"118";" ";
"Vácegres";"13,67";"852,0";"623,0";"49";"24";"16";" ";
"Verseg";"29,57";"1312,5";"909,0";"35";"22";"16";" ";
"Budakeszi járás";"288,94";"88489,5";"57936,0";"1189";"622";"418";" ";
"Biatorbágy";"44,12";"13032,0";"8525,0";"145";"69";"43";" ";
"Budajenõ";"12,42";"1885,5";"1236,0";"19";"11";"11";" ";
"Budakeszi";"37,10";"14060,5";"8967,0";"186";"94";"53";" ";
"Budaörs";"23,59";"28535,5";"18734,0";"451";"241";"176";" ";
"Herceghalom";"7,34";"2557,5";"1761,0";"21";"3";"3";" ";
"Nagykovácsi";"27,67";"7552,5";"4914,0";"41";"24";"19";" ";
"Páty";"39,30";"7314,0";"4798,0";"98";"42";"26";" ";
"Perbál";"25,65";"2014,0";"1372,0";"37";"22";"16";" ";
"Remeteszõlõs";"2,89";"849,5";"563,0";"8";"4";"1";" ";
"Telki";"10,47";"3938,0";"2520,0";"34";"18";"9";" ";
"Tök";"24,73";"1327,0";"910,0";"33";"19";"16";" ";
"Zsámbék";"33,66";"5423,5";"3636,0";"116";"75";"45";" ";
"Ceglédi járás";"886,35";"87576,0";"58063,0";"2862";"1700";"1161";" ";
"Abony";"127,97";"14491,5";"9466,0";"522";"331";"241";" ";
"Albertirsa";"73,00";"12290,5";"8305,0";"320";"196";"145";" ";
"Cegléd";"244,87";"35576,5";"23306,0";"1234";"765";"527";" ";
"Ceglédbercel";"28,15";"4251,0";"2818,0";"79";"42";"33";" ";
"Csemõ";"79,44";"4215,5";"2939,0";"201";"96";"55";" ";
"Dánszentmiklós";"38,00";"2894,0";"2056,0";"65";"40";"27";" ";
"Jászkarajenõ";"65,15";"2641,0";"1693,0";"107";"65";"29";" ";
"Kõröstetétlen";"32,65";"832,0";"570,0";"14";"5";"2";" ";
"Mikebuda";"42,17";"673,0";"476,0";"20";"13";"7";" ";
