"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2019. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,61";"3039239,0";"1999855,0";"31897";"13645";"8978";"3402";
"Budapest (Budapest)";"525,14";"1751251,0";"1149072,0";"13935";"5036";"3118";"894";
"Budapest";"525,14";"1751251,0";"1149072,0";"13935";"5036";"3118";"894";
"Budapest, illetve fiktív területi egység";"525,14";"1751251,0";"1149072,0";"13935";"5036";"3118";"894";
"Budapest";"525,14";"1751251,0";"1149072,0";"13935";"5036";"3118";"894";
"Pest (Pest)";"6391,47";"1287988,0";"850783,0";"17962";"8609";"5860";"2508";
"Pest megye";"6391,47";"1287988,0";"850783,0";"17962";"8609";"5860";"2508";
"Aszódi járás";"298,39";"37238,5";"24938,0";"751";"392";"263";"156";
"Aszód";"16,20";"6212,0";"4104,0";"84";"25";"14";"11";
"Bag";"23,55";"3747,5";"2471,0";"73";"36";"32";"23";
"Domony";"21,80";"2172,5";"1500,0";"46";"20";"15";"13";
"Galgahévíz";"31,18";"2535,0";"1700,0";"66";"42";"28";"12";
"Galgamácsa";"43,31";"1804,5";"1241,0";"26";"12";"9";"5";
"Hévízgyörk";"22,85";"3118,0";"2094,0";"33";"13";"9";"16";
"Iklad";"11,21";"2000,0";"1273,0";"14";"5";"3";"3";
"Kartal";"29,13";"5748,0";"3918,0";"96";"48";"30";"18";
"Tura";"55,92";"7720,5";"5098,0";"247";"152";"100";"36";
"Vácegres";"13,67";"890,5";"656,0";"32";"19";"12";"10";
"Verseg";"29,57";"1290,0";"883,0";"34";"20";"11";"9";
"Budakeszi járás";"288,94";"93011,5";"59831,0";"852";"380";"259";"44";
"Biatorbágy";"44,12";"14169,0";"9356,0";"117";"41";"24";" ";
"Budajenõ";"12,42";"2031,0";"1321,0";"14";"5";"4";" ";
"Budakeszi";"37,10";"14749,0";"9220,0";"121";"51";"38";"2";
"Budaörs";"23,59";"29009,0";"18371,0";"318";"171";"115";"1";
"Herceghalom";"7,34";"2778,0";"1866,0";"17";"5";"2";" ";
"Nagykovácsi";"27,67";"8242,5";"5256,0";"43";"17";"11";"3";
"Páty";"39,30";"7792,0";"5073,0";"67";"24";"16";"8";
"Perbál";"25,65";"2073,0";"1387,0";"30";"13";"8";"3";
"Remeteszõlõs";"2,89";"968,5";"649,0";"2";"1";"1";" ";
"Telki";"10,47";"4257,0";"2722,0";"31";"12";"9";" ";
"Tök";"24,73";"1326,5";"899,0";"15";"7";"5";"3";
"Zsámbék";"33,66";"5616,0";"3711,0";"77";"33";"26";"24";
"Ceglédi járás";"886,36";"87634,5";"57142,0";"2146";"1245";"878";"459";
"Abony";"127,97";"14245,5";"9159,0";"402";"238";"180";"97";
"Albertirsa";"73,00";"12926,0";"8602,0";"250";"146";"105";"31";
"Cegléd";"244,88";"35511,0";"22789,0";"876";"501";"354";"120";
"Ceglédbercel";"28,15";"4252,0";"2771,0";"83";"36";"21";"26";
"Csemõ";"79,44";"4293,5";"2947,0";"145";"100";"71";"35";
"Dánszentmiklós";"38,00";"2761,5";"1916,0";"49";"26";"20";"6";
"Jászkarajenõ";"65,15";"2568,0";"1644,0";"84";"49";"27";"27";
"Kõröstetétlen";"32,65";"817,5";"555,0";"10";"5";"3";"8";
"Mikebuda";"42,17";"683,5";"480,0";"21";"9";"6";"6";
"Tápiószõlõs";"31,81";"2773,5";"1868,0";"62";"38";"24";"21";
"Törtel";"84,16";"4259,0";"2798,0";"120";"74";"51";"45";
"Újszilvás";"38,98";"2543,5";"1613,0";"44";"23";"16";"37";
"Dabasi járás";"614,23";"49901,5";"33524,0";"1240";"521";"327";"212";
"Bugyi";"115,55";"5168,0";"3523,0";"99";"33";"19";"13";
"Dabas";"165,99";"17314,5";"11478,0";"375";"148";"93";"81";
"Hernád";"27,06";"4035,0";"2738,0";"78";"28";"22";"7";
"Inárcs";"22,53";"4606,0";"3051,0";"103";"47";"33";"20";
"Kakucs";"21,79";"3055,0";"2052,0";"70";"34";"23";"5";
"Örkény";"36,44";"4894,0";"3315,0";"218";"103";"61";"51";
"Pusztavacs";"79,07";"1313,5";"880,0";"38";"17";"11";"6";
"Táborfalva";"42,05";"3312,0";"2370,0";"101";"46";"29";"3";
"Tatárszentgyörgy";"55,06";"1783,0";"1203,0";"93";"44";"25";"26";
"Újhartyán";"22,44";"2727,5";"1782,0";"44";"14";"8";" ";
"Újlengyel";"26,25";"1693,0";"1132,0";"21";"7";"3";" ";
"Dunakeszi járás";"105,28";"85851,0";"56307,0";"695";"300";"210";"46";
"Csomád";"12,38";"1709,0";"1167,0";"11";"6";"5";" ";
"Dunakeszi";"31,06";"43733,5";"28487,0";"324";"137";"93";"18";
"Fót";"37,40";"20191,5";"13509,0";"174";"80";"56";"8";
"Göd";"24,44";"20217,0";"13144,0";"186";"77";"56";"20";
"Érdi járás";"184,30";"126504,0";"83739,0";"902";"307";"200";"17";
"Diósd";"5,75";"10914,5";"7002,0";"56";"16";"11";"1";
"Érd";"63,31";"68821,0";"45740,0";"507";"177";"110";"11";
"Pusztazámor";"9,27";"1225,0";"861,0";"14";"4";"2";"1";
"Sóskút";"24,89";"3454,5";"2440,0";"34";"14";"8";" ";
"Százhalombatta";"28,06";"17958,0";"11834,0";"135";"52";"37";" ";
"Tárnok";"23,61";"10014,0";"6940,0";"94";"31";"22";"3";
"Törökbálint";"29,41";"14117,0";"8922,0";"62";"13";"10";"1";
"Gödöllõi járás";"449,96";"150917,0";"99652,0";"1957";"953";"669";"174";
"Csömör";"22,70";"9875,0";"6588,0";"78";"30";"19";"5";
"Dány";"43,01";"4535,0";"2926,0";"130";"89";"63";"34";
"Erdõkertes";"5,75";"8371,0";"5664,0";"125";"55";"40";"4";
"Gödöllõ";"61,93";"32100,0";"20368,0";"490";"258";"185";"13";
"Isaszeg";"54,84";"11513,0";"7653,0";"165";"92";"60";"17";
"Kerepes";"24,25";"10241,0";"6983,0";"130";"58";"37";"4";
"Kistarcsa";"11,02";"13149,5";"8671,0";"135";"49";"40";"5";
"Mogyoród";"34,49";"7141,0";"4972,0";"75";"36";"26";"2";
"Nagytarcsa";"12,14";"5289,5";"3683,0";"37";"17";"13";"4";
"Pécel";"43,63";"16423,5";"10863,0";"156";"73";"42";"12";
"Szada";"16,71";"5776,0";"3821,0";"48";"18";"14";"8";
"Vácszentlászló";"29,87";"2075,5";"1433,0";"46";"15";"12";"15";
"Valkó";"37,59";"2475,0";"1729,0";"92";"52";"44";"24";
"Veresegyház";"28,68";"19551,0";"12691,0";"182";"70";"44";"13";
"Zsámbok";"23,35";"2401,0";"1607,0";"68";"41";"30";"14";
"Gyáli járás";"170,99";"42591,0";"29230,0";"606";"261";"182";"40";
"Alsónémedi";"49,07";"5366,5";"3651,0";"60";"25";"18";" ";
"Felsõpakony";"15,33";"3701,0";"2574,0";"55";"15";"7";"9";
"Gyál";"24,93";"24044,0";"16584,0";"275";"117";"83";"19";
"Ócsa";"81,66";"9479,5";"6421,0";"216";"104";"74";"12";
"Monori járás";"352,02";"70815,5";"47915,0";"1073";"449";"296";"182";
"Bénye";"16,52";"1262,5";"865,0";"16";"5";"2";"1";
