"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2011. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"83493";"43547";"19461";" ";
"Budapest (Budapest)";"42855";"23178";"10537";" ";
"Budapest";"42855";"23178";"10537";" ";
"Budapest, illetve fiktív területi egység";"42855";"23178";"10537";" ";
"Budapest";"42855";"23178";"10537";" ";
"Pest (Pest)";"40638";"20369";"8924";" ";
"Pest megye";"40638";"20369";"8924";" ";
"Aszódi járás";"1405";"593";"271";" ";
"Aszód";"167";"56";"16";" ";
"Bag";"156";"85";"37";" ";
"Domony";"116";"55";"35";" ";
"Galgahévíz";"110";"48";"21";" ";
"Galgamácsa";"61";"30";"10";" ";
"Hévízgyörk";"106";"45";"17";" ";
"Iklad";"70";"26";"11";" ";
"Kartal";"171";"58";"29";" ";
"Tura";"331";"144";"69";" ";
"Vácegres";"57";"21";"13";" ";
"Verseg";"60";"25";"13";" ";
"Budakeszi járás";"1959";"1078";"489";" ";
"Biatorbágy";"261";"134";"46";" ";
"Budajenõ";"47";"23";"12";" ";
"Budakeszi";"218";"117";"48";" ";
"Budaörs";"716";"433";"216";" ";
"Herceghalom";"38";"22";"10";" ";
"Nagykovácsi";"95";"37";"22";" ";
"Páty";"148";"86";"32";" ";
"Perbál";"90";"43";"21";" ";
"Remeteszõlõs";"5";"2";"1";" ";
"Telki";"51";"24";"13";" ";
"Tök";"67";"31";"15";" ";
"Zsámbék";"223";"126";"53";" ";
"Ceglédi járás";"4379";"2219";"1042";" ";
"Abony";"916";"453";"209";" ";
"Albertirsa";"437";"226";"111";" ";
"Cegléd";"1601";"856";"378";" ";
"Ceglédbercel";"154";"67";"31";" ";
"Csemõ";"306";"143";"77";" ";
"Dánszentmiklós";"99";"35";"13";" ";
"Jászkarajenõ";"159";"110";"65";" ";
"Kõröstetétlen";"31";"13";"3";" ";
"Mikebuda";"44";"18";"10";" ";
"Tápiószõlõs";"150";"66";"24";" ";
"Törtel";"319";"152";"88";" ";
"Újszilvás";"163";"80";"33";" ";
"Dabasi járás";"2465";"1227";"489";" ";
"Bugyi";"189";"81";"37";" ";
"Dabas";"747";"327";"110";" ";
"Hernád";"140";"67";"20";" ";
"Inárcs";"211";"105";"44";" ";
"Kakucs";"151";"86";"41";" ";
"Örkény";"437";"246";"90";" ";
