"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Kerepes";"24,25";"10347,5";"7014,0";"194";"105";"49";"2";
"Kistarcsa";"11,02";"13374,0";"8793,0";"205";"115";"60";"5";
"Mogyoród";"34,49";"7408,0";"5188,0";"118";"63";"24";"2";
"Nagytarcsa";"12,14";"5748,0";"3935,0";"76";"34";"14";"3";
"Pécel";"43,63";"16744,5";"11092,0";"220";"99";"49";"7";
"Szada";"16,71";"6021,0";"3993,0";"95";"40";"11";"4";
"Vácszentlászló";"29,87";"2117,0";"1461,0";"54";"24";"10";"15";
"Valkó";"37,59";"2496,0";"1746,0";"111";"63";"37";"24";
"Veresegyház";"28,68";"20031,5";"12969,0";"310";"143";"53";"12";
"Zsámbok";"23,35";"2397,5";"1603,0";"86";"41";"27";"14";
"Gyáli járás";"170,99";"43019,0";"29272,0";"1049";"533";"206";"32";
"Alsónémedi";"49,07";"5457,5";"3686,0";"106";"52";"21";"1";
"Felsõpakony";"15,33";"3775,0";"2585,0";"93";"48";"13";"7";
"Gyál";"24,93";"24194,0";"16543,0";"503";"244";"87";"13";
"Ócsa";"81,66";"9592,5";"6458,0";"347";"189";"85";"11";
"Monori járás";"352,01";"71834,5";"48266,0";"1395";"587";"322";"110";
"Bénye";"16,52";"1249,5";"837,0";"20";"9";"4";"1";
"Csévharaszt";"49,23";"2017,5";"1443,0";"38";"10";"4";"3";
"Gomba";"39,71";"3156,5";"2177,0";"59";"31";"19";"4";
"Gyömrõ";"26,51";"19728,0";"12760,0";"290";"123";"61";"10";
"Káva";"11,31";"682,0";"477,0";"14";"7";"3";"2";
"Monor";"46,79";"18447,0";"12366,0";"345";"126";"70";"37";
"Monorierdõ";"15,07";"4549,0";"3152,0";"101";"36";"16";"8";
"Nyáregyháza";"32,01";"3757,5";"2581,0";"89";"33";"16";"6";
"Pánd";"22,21";"1918,0";"1303,0";"53";"20";"9";"6";
"Péteri";"11,89";"2535,5";"1760,0";"49";"23";"11";"10";
"Pilis";"47,35";"11868,5";"8061,0";"309";"157";"102";"16";
"Vasad";"33,41";"1925,5";"1349,0";"28";"12";"7";"7";
"Nagykátai járás";"687,96";"73028,0";"48442,0";"2153";"1229";"754";"423";
"Farmos";"40,12";"3479,0";"2302,0";"105";"63";"44";"16";
"Kóka";"44,36";"4413,5";"2936,0";"102";"48";"25";"33";
"Mende";"27,15";"4197,5";"2789,0";"81";"43";"27";"7";
"Nagykáta";"81,61";"12266,0";"8040,0";"424";"262";"160";"56";
"Sülysáp";"47,19";"8683,5";"5759,0";"203";"115";"67";"26";
"Szentlõrinckáta";"20,15";"1947,5";"1276,0";"40";"16";"6";"17";
"Szentmártonkáta";"52,18";"4781,5";"3270,0";"151";"91";"63";"25";
"Tápióbicske";"48,48";"3462,5";"2292,0";"118";"69";"43";"31";
"Tápiógyörgye";"53,31";"3379,5";"2176,0";"77";"43";"25";"37";
"Tápióság";"33,54";"2632,5";"1766,0";"67";"29";"18";"23";
"Tápiószecsõ";"38,38";"6165,0";"4186,0";"132";"70";"40";"19";
"Tápiószele";"36,99";"5880,0";"3932,0";"260";"148";"88";"60";
"Tápiószentmárton";"102,91";"5461,5";"3601,0";"152";"80";"44";"46";
"Tóalmás";"39,40";"3628,5";"2397,0";"210";"136";"95";"19";
"Úri";"22,19";"2650,0";"1720,0";"31";"16";"9";"8";
"Nagykõrösi járás";"349,25";"27215,0";"17455,0";"956";"651";"464";"43";
"Kocsér";"67,28";"1835,0";"1195,0";"35";"17";"12";"12";
"Nagykõrös";"227,94";"23481,0";"14999,0";"815";"556";"395";"23";
"Nyársapát";"54,03";"1899,0";"1261,0";"106";"78";"57";"8";
"Pilisvörösvári járás";"130,85";"56794,0";"36587,0";"574";"242";"138";"19";
"Pilisborosjenõ";"9,27";"3988,5";"2579,0";"41";"13";"8";" ";
"Piliscsaba";"25,57";"8747,5";"5488,0";"108";"49";"30";"3";
"Pilisjászfalu";"6,97";"1737,5";"1222,0";"18";"6";"2";"1";
"Pilisszántó";"15,96";"3013,5";"1984,0";"36";"21";"13";"1";
"Pilisszentiván";"8,12";"4200,5";"2720,0";"36";"16";"10";"3";
"Pilisvörösvár";"24,30";"14472,0";"9381,0";"145";"60";"30";"4";
"Solymár";"17,86";"10798,5";"6780,0";"99";"37";"20";" ";
"Tinnye";"16,14";"1800,0";"1196,0";"28";"13";"8";"4";
"Üröm";"6,66";"8036,0";"5237,0";"63";"27";"17";"3";
"Ráckevei járás";"417,52";"37998,0";"24571,0";"952";"525";"335";"123";
"Apaj";"71,04";"1121,0";"717,0";"15";"3";"3";"1";
"Áporka";"17,47";"1182,0";"740,0";"13";"7";"5";"2";
"Dömsöd";"72,42";"5904,5";"3879,0";"249";"154";"124";"38";
"Kiskunlacháza";"93,97";"9144,5";"6016,0";"190";"107";"58";"6";
"Lórév";"9,88";"292,0";"202,0";"2";"2";"1";"6";
"Makád";"31,77";"1220,0";"802,0";"28";"16";"8";"13";
"Ráckeve";"64,09";"10878,0";"6906,0";"286";"155";"89";"39";
"Szigetbecse";"17,12";"1326,5";"863,0";"30";"14";"8";"4";
"Szigetcsép";"18,20";"2483,5";"1618,0";"46";"17";"12";"4";
"Szigetszentmárton";"10,73";"2400,5";"1563,0";"47";"24";"13";"4";
"Szigetújfalu";"10,83";"2045,5";"1265,0";"46";"26";"14";"6";
"Szentendrei járás";"326,58";"84500,5";"54453,0";"1070";"460";"270";"36";
"Budakalász";"15,17";"11500,5";"7158,0";"109";"47";"31";"1";
"Csobánka";"22,76";"3513,5";"2442,0";"38";"12";"6";" ";
"Dunabogdány";"25,50";"3146,5";"1985,0";"39";"11";"4";"1";
"Kisoroszi";"10,94";"984,0";"637,0";"23";"15";"10";"1";
"Leányfalu";"15,37";"3908,0";"2443,0";"48";"14";"9";"2";
"Pilisszentkereszt";"17,21";"2183,5";"1499,0";"31";"16";"10";"2";
"Pilisszentlászló";"17,75";"1246,5";"836,0";"23";"8";"2";"2";
"Pócsmegyer";"13,08";"2575,0";"1782,0";"55";"26";"14";"3";
"Pomáz";"49,03";"17582,0";"11481,0";"217";"98";"57";"2";
"Szentendre";"43,82";"27402,5";"17404,0";"350";"155";"95";"8";
