"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2017. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"37406";"19621";"13143";"7492";
"Budapest (Budapest)";"16955";"8300";"5631";"2532";
"Budapest";"16955";"8300";"5631";"2532";
"Budapest, illetve fiktív területi egység";"16955";"8300";"5631";"2532";
"Budapest";"16955";"8300";"5631";"2532";
"Pest (Pest)";"20451";"11321";"7512";"4960";
"Pest megye";"20451";"11321";"7512";"4960";
"Aszódi járás";"827";"491";"310";"231";
"Aszód";"71";"36";"24";"27";
"Bag";"97";"57";"37";"30";
"Domony";"45";"19";"16";"18";
"Galgahévíz";"81";"50";"30";"20";
"Galgamácsa";"30";"18";"9";"12";
"Hévízgyörk";"45";"23";"10";"17";
"Iklad";"29";"19";"11";"4";
"Kartal";"92";"47";"28";"28";
"Tura";"259";"169";"114";"55";
"Vácegres";"51";"39";"22";"10";
"Verseg";"27";"14";"9";"10";
"Budakeszi járás";"1044";"563";"387";"120";
"Biatorbágy";"143";"72";"44";"13";
"Budajenõ";"23";"15";"9";"1";
"Budakeszi";"148";"71";"48";"20";
"Budaörs";"395";"228";"167";"11";
"Herceghalom";"21";"8";"3";" ";
"Nagykovácsi";"58";"32";"16";"6";
"Páty";"64";"34";"27";"12";
"Perbál";"34";"21";"13";"9";
"Remeteszõlõs";"6";"3";"3";"1";
"Telki";"32";"16";"11";"2";
"Tök";"27";"13";"9";"5";
"Zsámbék";"93";"50";"37";"40";
"Ceglédi járás";"2509";"1566";"1079";"704";
"Abony";"477";"308";"219";"121";
"Albertirsa";"286";"179";"134";"45";
"Cegléd";"1053";"672";"471";"196";
"Ceglédbercel";"74";"44";"28";"41";
"Csemõ";"170";"96";"68";"54";
"Dánszentmiklós";"58";"38";"28";"16";
"Jászkarajenõ";"98";"63";"38";"53";
"Kõröstetétlen";"8";"2";"1";"9";
"Mikebuda";"21";"10";"7";"7";
"Tápiószõlõs";"58";"30";"17";"48";
"Törtel";"137";"90";"51";"56";
"Újszilvás";"69";"34";"17";"58";
"Dabasi járás";"1219";"563";"340";"390";
"Bugyi";"76";"43";"25";"26";
"Dabas";"366";"151";"83";"148";
"Hernád";"93";"32";"19";"14";
"Inárcs";"96";"56";"33";"28";
"Kakucs";"84";"47";"31";"13";
"Örkény";"195";"96";"66";"77";
"Pusztavacs";"28";"14";"12";"19";
"Táborfalva";"111";"50";"31";"24";
"Tatárszentgyörgy";"103";"51";"29";"32";
"Újhartyán";"41";"15";"8";"7";
"Újlengyel";"26";"8";"3";"2";
"Dunakeszi járás";"779";"422";"297";"103";
"Csomád";"12";"7";"7";"2";
"Dunakeszi";"364";"193";"130";"36";
"Fót";"193";"106";"74";"18";
"Göd";"210";"116";"86";"47";
"Érdi járás";"1159";"556";"389";"144";
"Diósd";"53";"26";"19";"6";
"Érd";"701";"348";"237";"79";
"Pusztazámor";"17";"6";"6";"2";
"Sóskút";"44";"27";"18";"7";
"Százhalombatta";"157";"65";"42";"27";
"Tárnok";"106";"49";"40";"12";
"Törökbálint";"81";"35";"27";"11";
"Gödöllõi járás";"2249";"1309";"895";"349";
"Csömör";"79";"43";"28";"9";
"Dány";"155";"114";"84";"40";
"Erdõkertes";"126";"75";"52";"19";
"Gödöllõ";"587";"345";"228";"45";
"Isaszeg";"195";"105";"79";"42";
"Kerepes";"137";"84";"58";"15";
"Kistarcsa";"136";"69";"48";"5";
"Mogyoród";"90";"58";"38";"4";
"Nagytarcsa";"40";"21";"14";"6";
"Pécel";"191";"99";"57";"30";
"Szada";"62";"29";"22";"13";
"Vácszentlászló";"53";"35";"19";"22";
"Valkó";"104";"73";"56";"36";
"Veresegyház";"205";"109";"77";"34";
"Zsámbok";"89";"50";"35";"29";
"Gyáli járás";"759";"383";"239";"90";
"Alsónémedi";"85";"45";"23";"8";
"Felsõpakony";"53";"26";"14";"12";
"Gyál";"343";"171";"101";"37";
"Ócsa";"278";"141";"101";"33";
"Monori járás";"1301";"685";"458";"369";
"Bénye";"14";"8";"4";"4";
"Csévharaszt";"28";"18";"11";"16";
"Gomba";"56";"31";"21";"14";
"Gyömrõ";"272";"138";"88";"32";
"Káva";"17";"8";"7";"5";
"Monor";"323";"170";"116";"146";
"Monorierdõ";"92";"47";"31";"20";
"Nyáregyháza";"75";"39";"29";"22";
"Pánd";"71";"41";"27";"20";
"Péteri";"41";"23";"16";"19";
"Pilis";"268";"145";"99";"60";
"Vasad";"44";"17";"9";"11";
"Nagykátai járás";"1800";"1049";"684";"784";
"Farmos";"88";"55";"32";"22";
"Kóka";"75";"51";"34";"57";
"Mende";"55";"30";"17";"15";
"Nagykáta";"427";"249";"169";"111";
"Sülysáp";"145";"90";"61";"58";
"Szentlõrinckáta";"16";"5";"3";"26";
"Szentmártonkáta";"146";"77";"42";"49";
"Tápióbicske";"99";"43";"27";"54";
"Tápiógyörgye";"64";"28";"19";"76";
"Tápióság";"63";"33";"23";"38";
"Tápiószecsõ";"79";"46";"31";"63";
"Tápiószele";"213";"146";"99";"94";
"Tápiószentmárton";"110";"55";"34";"72";
"Tóalmás";"185";"118";"77";"32";
"Úri";"35";"23";"16";"17";
"Nagykõrösi járás";"1080";"706";"477";"154";
"Kocsér";"43";"23";"12";"37";
"Nagykõrös";"917";"599";"402";"99";
"Nyársapát";"120";"84";"63";"18";
"Pilisvörösvári járás";"551";"327";"213";"79";
"Pilisborosjenõ";"32";"21";"14";"5";
"Piliscsaba";"109";"78";"47";"23";
"Pilisjászfalu";"23";"9";"4";"3";
"Pilisszántó";"34";"18";"10";"7";
"Pilisszentiván";"43";"23";"13";"8";
"Pilisvörösvár";"134";"73";"52";"15";
