"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2014. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6915,44";"2974573,0";" ";"67400";"33277";"18042";" ";
"Budapest (Budapest)";"525,13";"1751141,5";" ";"32534";"17361";"9611";" ";
"Budapest";"525,13";"1751141,5";" ";"32534";"17361";"9611";" ";
"Budapest, illetve fiktív területi egység";"525,13";"1751141,5";" ";"32534";"17361";"9611";" ";
"Budapest";"525,13";"1751141,5";" ";"32534";"17361";"9611";" ";
"Pest (Pest)";"6390,31";"1223431,5";" ";"34866";"15916";"8431";" ";
"Pest megye";"6390,31";"1223431,5";" ";"34866";"15916";"8431";" ";
"Aszódi járás";"298,32";"36716,0";" ";"1128";"570";"308";" ";
"Aszód";"16,20";"6165,0";" ";"113";"50";"24";" ";
"Bag";"23,55";"3613,5";" ";"168";"74";"35";" ";
"Domony";"21,81";"2152,5";" ";"64";"42";"24";" ";
"Galgahévíz";"31,18";"2471,0";" ";"97";"62";"28";" ";
"Galgamácsa";"43,30";"1769,5";" ";"36";"19";"11";" ";
"Hévízgyörk";"22,84";"2983,5";" ";"64";"27";"18";" ";
"Iklad";"11,21";"2013,5";" ";"38";"21";"13";" ";
"Kartal";"29,11";"5619,0";" ";"139";"69";"40";" ";
"Tura";"55,88";"7711,0";" ";"296";"152";"81";" ";
"Vácegres";"13,68";"861,0";" ";"58";"37";"24";" ";
"Verseg";"29,56";"1356,5";" ";"55";"17";"10";" ";
"Budakeszi járás";"288,94";"85898,5";" ";"1354";"650";"390";" ";
"Biatorbágy";"44,11";"12745,0";" ";"163";"82";"46";" ";
"Budajenõ";"12,42";"1848,5";" ";"33";"17";"14";" ";
"Budakeszi";"37,10";"13793,5";" ";"129";"66";"40";" ";
"Budaörs";"23,59";"27850,0";" ";"543";"292";"184";" ";
"Herceghalom";"7,34";"2283,5";" ";"18";"8";"4";" ";
"Nagykovácsi";"27,67";"7138,0";" ";"51";"20";"8";" ";
"Páty";"39,30";"7044,0";" ";"101";"35";"21";" ";
"Perbál";"25,66";"2041,5";" ";"69";"26";"16";" ";
"Remeteszõlõs";"2,89";"784,5";" ";"7";"2";"2";" ";
"Telki";"10,47";"3835,0";" ";"36";"13";"9";" ";
"Tök";"24,73";"1301,5";" ";"47";"29";"17";" ";
"Zsámbék";"33,66";"5233,5";" ";"157";"60";"29";" ";
"Ceglédi járás";"886,11";"88336,0";" ";"3786";"1840";"1048";" ";
"Abony";"127,97";"14626,0";" ";"649";"349";"224";" ";
"Albertirsa";"72,94";"12210,5";" ";"408";"205";"131";" ";
"Cegléd";"244,87";"36007,0";" ";"1502";"785";"457";" ";
"Ceglédbercel";"28,14";"4270,0";" ";"150";"78";"42";" ";
"Csemõ";"79,44";"4177,0";" ";"258";"123";"61";" ";
"Dánszentmiklós";"38,00";"2977,5";" ";"88";"46";"15";" ";
"Jászkarajenõ";"65,13";"2715,0";" ";"131";"41";"19";" ";
"Kõröstetétlen";"32,65";"888,5";" ";"39";"6";"2";" ";
"Mikebuda";"42,16";"664,5";" ";"22";"11";"5";" ";
"Tápiószõlõs";"31,83";"2869,5";" ";"141";"51";"24";" ";
"Törtel";"84,16";"4361,5";" ";"252";"120";"63";" ";
"Újszilvás";"38,82";"2569,0";" ";"146";"25";"5";" ";
"Dabasi járás";"614,14";"48754,5";" ";"2669";"857";"320";" ";
"Bugyi";"115,53";"5146,0";" ";"212";"56";"31";" ";
"Dabas";"166,02";"16605,5";" ";"761";"222";"88";" ";
"Hernád";"27,05";"4008,0";" ";"189";"68";"17";" ";
"Inárcs";"22,52";"4393,5";" ";"209";"82";"39";" ";
"Kakucs";"21,81";"2906,5";" ";"164";"34";"15";" ";
"Örkény";"36,44";"4830,5";" ";"462";"144";"28";" ";
"Pusztavacs";"79,05";"1336,0";" ";"70";"27";"10";" ";
"Táborfalva";"42,07";"3263,5";" ";"227";"93";"42";" ";
"Tatárszentgyörgy";"55,01";"1858,5";" ";"222";"88";"33";" ";
"Újhartyán";"22,42";"2737,0";" ";"89";"21";"6";" ";
"Újlengyel";"26,22";"1669,5";" ";"64";"22";"11";" ";
"Dunakeszi járás";"103,09";"80240,5";" ";"1908";"737";"401";" ";
"Csomád";"12,39";"1585,0";" ";"30";"9";"6";" ";
"Dunakeszi";"31,06";"41514,5";" ";"963";"364";"195";" ";
"Fót";"37,41";"19041,5";" ";"478";"175";"84";" ";
"Göd";"22,23";"18099,5";" ";"437";"189";"116";" ";
"Érdi járás";"184,30";"118149,5";" ";"2009";"947";"448";" ";
"Diósd";"5,75";"9488,0";" ";"84";"37";"19";" ";
"Érd";"60,53";"63643,5";" ";"1146";"565";"261";" ";
"Pusztazámor";"9,28";"1149,0";" ";"23";"4";"2";" ";
"Sóskút";"27,68";"3147,5";" ";"83";"34";"21";" ";
"Százhalombatta";"28,06";"18629,0";" ";"313";"139";"68";" ";
"Tárnok";"23,61";"8935,0";" ";"187";"86";"38";" ";
