"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2018. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Szigetbecse";"21";"14";"9";"6";
"Szigetcsép";"39";"22";"14";"4";
"Szigetszentmárton";"41";"22";"12";"5";
"Szigetújfalu";"39";"20";"10";"11";
"Szentendrei járás";"840";"408";"288";"79";
"Budakalász";"78";"34";"23";"2";
"Csobánka";"46";"16";"8";"6";
"Dunabogdány";"21";"7";"6";"3";
"Kisoroszi";"14";"7";"3";"2";
"Leányfalu";"32";"17";"12";"6";
"Pilisszentkereszt";"20";"12";"4";"3";
"Pilisszentlászló";"17";"4";"4";"3";
"Pócsmegyer";"43";"23";"15";"9";
"Pomáz";"158";"73";"55";"4";
"Szentendre";"291";"156";"115";"9";
"Szigetmonostor";"40";"22";"18";"16";
"Tahitótfalu";"65";"31";"20";"12";
"Visegrád";"15";"6";"5";"4";
"Szigetszentmiklósi járás";"1412";"637";"397";"64";
"Délegyháza";"53";"24";"13";"7";
"Dunaharaszti";"221";"109";"74";"8";
"Dunavarsány";"116";"44";"24";"6";
"Halásztelek";"86";"44";"26";"7";
"Majosháza";"22";"11";"5";"2";
"Szigethalom";"257";"112";"75";"17";
"Szigetszentmiklós";"476";"215";"136";"1";
"Taksony";"62";"27";"19";"9";
"Tököl";"119";"51";"25";"7";
"Szobi járás";"382";"203";"123";"238";
"Bernecebaráti";"14";"7";"3";"17";
"Ipolydamásd";"8";"4";"2";"18";
"Ipolytölgyes";"6";"3";"2";"5";
"Kemence";"24";"14";"6";"19";
"Kismaros";"26";"15";"7";"17";
"Kóspallag";"14";"4";"4";"8";
"Letkés";"19";"8";"6";"22";
"Márianosztra";"12";"9";"4";"13";
"Nagybörzsöny";"21";"17";"11";"9";
"Nagymaros";"84";"47";"28";"26";
"Perõcsény";"5";"2";"2";"6";
"Szob";"26";"6";"4";"20";
"Szokolya";"21";"16";"9";"17";
"Tésa";"3";"3";"3";"2";
"Vámosmikola";"29";"15";"9";"9";
"Verõce";"56";"29";"21";"22";
