"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2010. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,27";"2961341,0";" ";"86417";"44747";"18907";" ";
"Budapest (Budapest)";"525,13";"1727620,5";" ";"45603";"23621";"9945";" ";
"Budapest";"525,13";"1727620,5";" ";"45603";"23621";"9945";" ";
"Budapest, illetve fiktív területi egység";"525,13";"1727620,5";" ";"45603";"23621";"9945";" ";
"Budapest";"525,13";"1727620,5";" ";"45603";"23621";"9945";" ";
"Pest (Pest)";"6391,14";"1233720,5";" ";"40814";"21126";"8962";" ";
"Pest megye";"6391,14";"1233720,5";" ";"40814";"21126";"8962";" ";
"Aszódi járás";"298,37";"38282,0";" ";"1429";"767";"313";" ";
"Aszód";"16,20";"6394,0";" ";"163";"67";"24";" ";
"Bag";"23,55";"3970,5";" ";"160";"90";"32";" ";
"Domony";"21,80";"2159,0";" ";"103";"62";"28";" ";
"Galgahévíz";"31,18";"2527,5";" ";"115";"55";"19";" ";
"Galgamácsa";"43,31";"1973,0";" ";"56";"32";"12";" ";
"Hévízgyörk";"22,85";"3125,0";" ";"114";"70";"19";" ";
"Iklad";"11,21";"2118,5";" ";"58";"29";"8";" ";
"Kartal";"29,11";"5901,5";" ";"194";"79";"17";" ";
"Tura";"55,92";"7888,0";" ";"337";"204";"106";" ";
"Vácegres";"13,67";"890,5";" ";"44";"32";"18";" ";
"Verseg";"29,57";"1334,5";" ";"85";"47";"30";" ";
"Budakeszi járás";"288,95";"86657,0";" ";"1961";"991";"366";" ";
"Biatorbágy";"44,12";"12430,5";" ";"261";"138";"49";" ";
"Budajenõ";"12,42";"1805,0";" ";"40";"19";"7";" ";
"Budakeszi";"37,10";"14245,0";" ";"216";"110";"40";" ";
"Budaörs";"23,59";"29161,0";" ";"689";"356";"128";" ";
"Herceghalom";"7,34";"2010,0";" ";"33";"16";"10";" ";
"Nagykovácsi";"30,01";"6516,0";" ";"91";"46";"14";" ";
"Páty";"39,30";"7028,5";" ";"158";"78";"29";" ";
"Perbál";"25,65";"2231,5";" ";"84";"46";"20";" ";
"Remeteszõlõs";"0,56";"702,0";" ";"10";"6";"1";" ";
"Telki";"10,47";"3662,5";" ";"64";"30";"13";" ";
"Tök";"24,73";"1396,5";" ";"64";"33";"8";" ";
"Zsámbék";"33,66";"5468,5";" ";"251";"113";"47";" ";
"Ceglédi járás";"886,30";"91756,5";" ";"4302";"2286";"1123";" ";
"Abony";"127,97";"15223,5";" ";"792";"374";"202";" ";
"Albertirsa";"72,96";"12405,0";" ";"463";"241";"114";" ";
"Cegléd";"244,87";"38195,5";" ";"1693";"939";"465";" ";
"Ceglédbercel";"28,15";"4435,0";" ";"167";"79";"25";" ";
"Csemõ";"79,44";"4276,5";" ";"288";"171";"70";" ";
"Dánszentmiklós";"38,01";"2943,5";" ";"93";"34";"9";" ";
"Jászkarajenõ";"65,15";"2726,5";" ";"176";"127";"80";" ";
"Kõröstetétlen";"32,65";"851,0";" ";"22";"8";"3";" ";
"Mikebuda";"42,17";"705,0";" ";"44";"22";"17";" ";
"Tápiószõlõs";"31,79";"2989,5";" ";"120";"59";"14";" ";
"Törtel";"84,16";"4302,0";" ";"291";"156";"88";" ";
"Újszilvás";"38,98";"2703,5";" ";"153";"76";"36";" ";
