"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2014. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Dunaújvárosi járás";"3268";"1471";"819";" ";
"Adony";"80";"36";"23";" ";
"Baracs";"112";"39";"19";" ";
"Beloiannisz";"40";"15";"5";" ";
"Besnyõ";"42";"16";"7";" ";
"Daruszentmiklós";"68";"22";"10";" ";
"Dunaújváros";"1650";"789";"451";" ";
"Elõszállás";"91";"36";"23";" ";
"Iváncsa";"73";"32";"20";" ";
"Kisapostag";"38";"24";"14";" ";
"Kulcs";"109";"54";"31";" ";
"Mezõfalva";"202";"88";"41";" ";
"Nagykarácsony";"72";"29";"14";" ";
"Nagyvenyim";"122";"53";"35";" ";
"Perkáta";"194";"69";"33";" ";
"Pusztaszabolcs";"251";"102";"50";" ";
"Rácalmás";"124";"67";"43";" ";
"Enyingi járás";"991";"384";"231";" ";
"Dég";"81";"43";"17";" ";
"Enying";"429";"188";"124";" ";
"Kisláng";"99";"44";"25";" ";
"Lajoskomárom";"61";"9";"5";" ";
"Lepsény";"147";"48";"28";" ";
"Mátyásdomb";"23";"5";"4";" ";
"Mezõkomárom";"29";"8";"4";" ";
"Mezõszentgyörgy";"102";"34";"22";" ";
"Szabadhídvég";"20";"5";"2";" ";
"Gárdonyi járás";"735";"240";"157";" ";
"Gárdony";"193";"65";"41";" ";
"Kápolnásnyék";"100";"31";"20";" ";
"Nadap";"14";"4";"2";" ";
"Pákozd";"67";"23";"17";" ";
"Pázmánd";"41";"13";"10";" ";
"Sukoró";"18";"5";"3";" ";
"Szabadegyháza";"94";"34";"23";" ";
"Velence";"124";"42";"27";" ";
"Vereb";"29";"5";"4";" ";
"Zichyújfalu";"55";"18";"10";" ";
"Martonvásári járás";"1062";"430";"177";" ";
"Baracska";"84";"35";"19";" ";
"Ercsi";"535";"259";"87";" ";
"Gyúró";"30";"11";"6";" ";
"Kajászó";"35";"7";"4";" ";
"Martonvásár";"125";"43";"25";" ";
"Ráckeresztúr";"152";"38";"17";" ";
"Tordas";"27";"12";"4";" ";
"Vál";"74";"25";"15";" ";
"Móri járás";"680";"206";"102";" ";
"Bakonycsernye";"57";"16";"7";" ";
"Balinka";"27";"6";"2";" ";
"Bodajk";"87";"37";"21";" ";
"Csákberény";"36";"15";"8";" ";
"Csókakõ";"30";"8";"3";" ";
"Fehérvárcsurgó";"43";"15";"8";" ";
"Isztimér";"22";"6";"2";" ";
"Kincsesbánya";"27";"7";"5";" ";
"Magyaralmás";"20";"9";"4";" ";
"Mór";"281";"76";"37";" ";
"Nagyveleg";"11";"3";"1";" ";
"Pusztavám";"27";"6";"3";" ";
"Söréd";"12";"2";"1";" ";
"Sárbogárdi járás";"1777";"958";"639";" ";
"Alap";"95";"40";"26";" ";
"Alsószentiván";"26";"13";"9";" ";
"Cece";"177";"113";"67";" ";
"Hantos";"29";"14";"8";" ";
"Igar";"133";"56";"38";" ";
"Mezõszilas";"74";"28";"22";" ";
"Nagylók";"23";"10";"7";" ";
"Sárbogárd";"790";"454";"307";" ";
"Sáregres";"57";"15";"6";" ";
"Sárkeresztúr";"222";"136";"91";" ";
"Sárszentágota";"68";"27";"21";" ";
"Vajta";"83";"52";"37";" ";
"Székesfehérvári járás";"3672";"1417";"772";" ";
"Aba";"143";"50";"32";" ";
"Bakonykúti";"2";" ";" ";" ";
"Csór";"46";"13";"8";" ";
"Csõsz";"38";"14";"6";" ";
"Füle";"26";"6";"3";" ";
"Iszkaszentgyörgy";"55";"18";"6";" ";
"Jenõ";"43";"18";"11";" ";
"Káloz";"96";"43";"26";" ";
"Kõszárhegy";"29";"14";"11";" ";
"Lovasberény";"64";"26";"14";" ";
"Moha";"17";"7";"3";" ";
"Nádasdladány";"94";"33";"20";" ";
"Pátka";"42";"12";"8";" ";
"Polgárdi";"234";"89";"48";" ";
"Sárkeresztes";"34";"11";"7";" ";
"Sárkeszi";"21";"10";"5";" ";
"Sárosd";"94";"32";"19";" ";
"Sárszentmihály";"82";"34";"23";" ";
"Seregélyes";"96";"31";"17";" ";
"Soponya";"48";"20";"14";" ";
"Szabadbattyán";"163";"68";"35";" ";
"Székesfehérvár";"2045";"815";"425";" ";
"Tác";"27";"11";"7";" ";
"Úrhida";"67";"28";"15";" ";
"Zámoly";"66";"14";"9";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";
"Komárom-Esztergom megye";"8353";"3118";"1524";" ";
"Esztergomi járás";"2636";"1004";"498";" ";
"Annavölgy";"26";"9";"2";" ";
"Bajna";"71";"28";"15";" ";
"Bajót";"73";"31";"14";" ";
"Csolnok";"62";"21";"7";" ";
"Dág";"23";"6";"2";" ";
"Dorog";"404";"182";"89";" ";
"Dömös";"37";"9";"5";" ";
"Epöl";"30";"7";"2";" ";
"Esztergom";"716";"230";"112";" ";
"Kesztölc";"74";"28";"13";" ";
"Lábatlan";"147";"63";"31";" ";
"Leányvár";"39";"13";"7";" ";
"Máriahalom";"25";"6";"3";" ";
"Mogyorósbánya";"13";"5";"2";" ";
"Nagysáp";"58";"27";"22";" ";
"Nyergesújfalu";"187";"94";"36";" ";
"Piliscsév";"63";"21";"11";" ";
"Pilismarót";"62";"17";"6";" ";
"Sárisáp";"95";"39";"24";" ";
"Süttõ";"63";"25";"10";" ";
"Tát";"101";"30";"14";" ";
"Tokod";"130";"58";"38";" ";
"Tokodaltáró";"103";"39";"22";" ";
"Úny";"34";"16";"11";" ";
"Kisbéri járás";"553";"194";"100";" ";
"Ácsteszér";"11";"5";"1";" ";
"Aka";"6";"2";"1";" ";
"Ászár";"25";"7";"3";" ";
"Bakonybánk";"16";"10";"6";" ";
"Bakonysárkány";"32";"5";"1";" ";
"Bakonyszombathely";"38";"12";"6";" ";
"Bársonyos";"14";"4";"2";" ";
"Császár";"68";"37";"26";" ";
"Csatka";"5";"3";"2";" ";
"Csép";"8";"1";"1";" ";
"Ete";"16";"6";"4";" ";
"Kerékteleki";"9";"1";"1";" ";
"Kisbér";"134";"51";"25";" ";
"Réde";"46";"18";"8";" ";
"Súr";"32";"5";"1";" ";
"Tárkány";"71";"20";"9";" ";
"Vérteskethely";"22";"7";"3";" ";
"Komáromi járás";"1014";"340";"176";" ";
"Ács";"180";"74";"40";" ";
"Almásfüzitõ";"57";"14";"8";" ";
"Bábolna";"59";"22";"12";" ";
"Bana";"35";"10";"4";" ";
"Csém";"20";"5";"3";" ";
"Kisigmánd";"21";"4";"1";" ";
"Komárom";"494";"165";"84";" ";
"Mocsa";"84";"19";"9";" ";
"Nagyigmánd";"64";"27";"15";" ";
"Oroszlányi járás";"702";"259";"114";" ";
"Bokod";"24";"6";"4";" ";
"Dad";"20";"6";"4";" ";
"Kecskéd";"36";"13";"5";" ";
"Kömlõd";"44";"11";"3";" ";
"Oroszlány";"539";"211";"95";" ";
"Szákszend";"39";"12";"3";" ";
"Tatai járás";"1017";"346";"174";" ";
"Baj";"70";"21";"10";" ";
"Dunaalmás";"37";"13";"7";" ";
"Dunaszentmiklós";"17";"6";"3";" ";
"Kocs";"53";"12";"6";" ";
"Naszály";"58";"13";"8";" ";
"Neszmély";"42";"22";"13";" ";
"Szomód";"38";"10";"5";" ";
"Tardos";"38";"20";"7";" ";
"Tata";"654";"223";"112";" ";
"Vértestolna";"10";"6";"3";" ";
"Tatabányai járás";"2431";"975";"462";" ";
"Gyermely";"23";"6";"2";" ";
"Héreg";"34";"17";"7";" ";
"Környe";"109";"36";"19";" ";
"Szárliget";"49";"18";"6";" ";
"Szomor";"29";"9";"4";" ";
"Tarján";"48";"23";"13";" ";
"Tatabánya";"2042";"822";"388";" ";
"Várgesztes";"8";"4";"2";" ";
"Vértessomló";"20";"5";"3";" ";
"Vértesszõlõs";"69";"35";"18";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Komárom-E megye területre nem bontható adatai";" ";" ";" ";" ";
"Veszprém megye";"10244";"3601";"1938";" ";
"Ajkai járás";"912";"328";"174";" ";
"Ajka";"635";"224";"116";" ";
"Csehbánya";"4";" ";" ";" ";
"Farkasgyepû";"7";"3";"2";" ";
"Halimba";"39";"15";"13";" ";
"Kislõd";"37";"12";"4";" ";
"Magyarpolány";"27";"9";"6";" ";
"Nyirád";"41";"15";"7";" ";
"Öcs";"15";"10";"6";" ";
"Szõc";"15";"10";"5";" ";
"Úrkút";"47";"20";"12";" ";
"Városlõd";"45";"10";"3";" ";
"Balatonalmádi járás";"769";"301";"163";" ";
"Balatonakarattya";" ";" ";" ";" ";
"Balatonalmádi";"237";"105";"68";" ";
"Balatonfõkajár";"57";"18";"9";" ";
"Balatonfûzfõ";"100";"51";"27";" ";
"Balatonkenese";"143";"45";"21";" ";
"Csajág";"22";"10";"5";" ";
"Felsõörs";"48";"18";"8";" ";
"Királyszentistván";"14";"5";"3";" ";
"Küngös";"9";"3";"2";" ";
"Litér";"69";"24";"11";" ";
"Papkeszi";"70";"22";"9";" ";
"Balatonfüredi járás";"694";"165";"107";" ";
"Alsóörs";"26";"2";" ";" ";
"Aszófõ";"17";"5";"3";" ";
"Balatonakali";"19";"1";"1";" ";
"Balatoncsicsó";"7";"1";" ";" ";
"Balatonfüred";"357";"91";"60";" ";
"Balatonszepezd";"11";"4";"3";" ";
"Balatonszõlõs";"17";"4";"4";" ";
"Balatonudvari";"11";"1";"1";" ";
"Csopak";"46";"13";"6";" ";
"Dörgicse";"14";"3";"2";" ";
"Lovas";"15";"1";" ";" ";
"Monoszló";"10";"4";"3";" ";
"Óbudavár";"3";"2";"1";" ";
"Örvényes";"4";"1";" ";" ";
"Paloznak";"9";"2";"1";" ";
"Pécsely";"16";"2";"1";" ";
"Szentantalfa";"15";"2";"1";" ";
"Szentjakabfa";"11";"3";"3";" ";
"Tagyon";"5";"1";"1";" ";
"Tihany";"37";"11";"9";" ";
"Vászoly";"11";"4";"3";" ";
"Zánka";"33";"7";"4";" ";
"Devecseri járás";"714";"252";"114";" ";
"Adorjánháza";"32";"12";"6";" ";
"Apácatorna";"8";"1";" ";" ";
"Borszörcsök";"32";"12";"2";" ";
"Csögle";"26";"6";"4";" ";
"Dabrony";"20";"7";"3";" ";
"Devecser";"197";"44";"19";" ";
"Doba";"14";"5";"1";" ";
"Egeralja";"13";"10";"4";" ";
"Iszkáz";"17";"8";"3";" ";
"Kamond";"11";"5";"4";" ";
"Karakószörcsök";"10";"4";"2";" ";
"Kerta";"29";"11";"6";" ";
"Kisberzseny";"2";"1";" ";" ";
"Kiscsõsz";"5";"3";"2";" ";
"Kispirit";"3";"1";"1";" ";
"Kisszõlõs";"12";"7";"3";" ";
"Kolontár";"24";"11";"6";" ";
"Nagyalásony";"12";"3";"1";" ";
"Nagypirit";"4";"2";" ";" ";
"Noszlop";"37";"17";"7";" ";
"Oroszi";"9";"5";"2";" ";
"Pusztamiske";"32";"16";"7";" ";
"Somlójenõ";"27";"11";"5";" ";
"Somlószõlõs";"24";"9";"6";" ";
"Somlóvásárhely";"72";"25";"13";" ";
"Somlóvecse";"3";" ";" ";" ";
"Tüskevár";"29";"8";"5";" ";
"Vid";"10";"8";"2";" ";
"Pápai járás";"1642";"609";"380";" ";
"Adásztevel";"27";"9";"6";" ";
"Bakonyjákó";"20";"6";"1";" ";
"Bakonykoppány";"9";"1";"1";" ";
"Bakonypölöske";"9";"3";" ";" ";
"Bakonyság";"2";" ";" ";" ";
"Bakonyszentiván";"18";"3";"3";" ";
"Bakonyszücs";"10";"3";"3";" ";
"Bakonytamási";"18";"4";"3";" ";
"Béb";"7";"3";"2";" ";
"Békás";"8";"2";"1";" ";
"Csót";"44";"11";"6";" ";
"Dáka";"15";"2";"1";" ";
"Döbrönte";"2";"1";" ";" ";
"Egyházaskeszõ";"13";"5";"4";" ";
"Ganna";"6";"2";"2";" ";
"Gecse";"4";"3";"1";" ";
"Gic";"8";"2";" ";" ";
"Homokbödöge";"16";"4";"2";" ";
"Kemeneshõgyész";"6";"1";" ";" ";
"Kemenesszentpéter";"18";"10";"7";" ";
"Kup";"16";"4";"3";" ";
"Külsõvat";"18";"5";"3";" ";
"Lovászpatona";"49";"20";"10";" ";
"Magyargencs";"17";"7";"3";" ";
"Malomsok";"7";"3";"2";" ";
"Marcalgergelyi";"10";"2";"1";" ";
"Marcaltõ";"12";"2";" ";" ";
"Mezõlak";"18";"6";"3";" ";
"Mihályháza";"17";"3";"3";" ";
"Nagyacsád";"23";"3";"2";" ";
"Nagydém";"47";"20";"13";" ";
"Nagygyimót";"16";"6";"1";" ";
"Nagytevel";"10";"2";"2";" ";
"Nemesgörzsöny";"17";"5";"5";" ";
"Nemesszalók";"29";"6";"3";" ";
"Németbánya";"3";"1";" ";" ";
"Nóráp";"5";"2";"2";" ";
"Nyárád";"18";"4";"3";" ";
"Pápa";"807";"347";"231";" ";
"Pápadereske";"7";"1";"1";" ";
"Pápakovácsi";"11";"4";"2";" ";
"Pápasalamon";"25";"2";" ";" ";
"Pápateszér";"47";"24";"11";" ";
"Takácsi";"17";"6";"4";" ";
"Ugod";"34";"8";"6";" ";
"Vanyola";"38";"19";"12";" ";
"Várkeszõ";"10";"3";" ";" ";
"Vaszar";"48";"18";"11";" ";
"Vinár";"6";"1";" ";" ";
"Sümegi járás";"606";"238";"126";" ";
"Bazsi";"26";"14";"8";" ";
"Bodorfa";"3";"2";" ";" ";
"Csabrendek";"112";"46";"28";" ";
"Dabronc";"27";"9";"5";" ";
"Gógánfa";"52";"18";"9";" ";
"Gyepükaján";"16";"5";"2";" ";
"Hetyefõ";"7";"2";"2";" ";
"Hosztót";"1";"1";" ";" ";
"Káptalanfa";"31";"8";"1";" ";
"Megyer";"4";"2";"1";" ";
"Nemeshany";"21";"10";"3";" ";
"Rigács";"10";"5";"3";" ";
"Sümeg";"214";"80";"42";" ";
"Sümegprága";"30";"15";"7";" ";
"Szentimrefalva";"7";"2";"1";" ";
"Ukk";"8";"5";"4";" ";
"Veszprémgalsa";"8";"5";"4";" ";
"Zalaerdõd";"12";"4";"2";" ";
"Zalagyömörõ";"14";"3";"2";" ";
"Zalameggyes";" ";" ";" ";" ";
"Zalaszegvár";"3";"2";"2";" ";
"Tapolcai járás";"1128";"342";"198";" ";
"Ábrahámhegy";"10";"3";" ";" ";
"Badacsonytomaj";"51";"10";"4";" ";
"Badacsonytördemic";"51";"7";"4";" ";
"Balatonederics";"50";"10";"9";" ";
"Balatonhenye";"9";"2";"2";" ";
"Balatonrendes";"7";"2";"1";" ";
"Gyulakeszi";"21";"8";"5";" ";
"Hegyesd";"8";"3";"2";" ";
"Hegymagas";"8";"3";"1";" ";
"Kapolcs";"18";"4";"2";" ";
"Káptalantóti";"17";"10";"3";" ";
"Kékkút";"4";" ";" ";" ";
"Kisapáti";"15";"5";"2";" ";
"Kõvágóörs";"45";"10";"5";" ";
"Köveskál";"30";"9";"4";" ";
"Lesencefalu";"13";"6";"4";" ";
"Lesenceistvánd";"42";"14";"8";" ";
"Lesencetomaj";"26";"12";"6";" ";
"Mindszentkálla";"28";"8";"2";" ";
"Monostorapáti";"39";"8";"4";" ";
"Nemesgulács";"32";"12";"6";" ";
"Nemesvita";"27";"12";"8";" ";
"Raposka";"9";"2";"1";" ";
"Révfülöp";"23";"7";"5";" ";
"Salföld";"1";" ";" ";" ";
"Sáska";"9";"3";"2";" ";
"Szentbékkálla";"14";"3";"2";" ";
"Szigliget";"34";"9";"5";" ";
"Taliándörögd";"21";"7";"3";" ";
"Tapolca";"414";"144";"94";" ";
"Uzsa";"9";"3";"1";" ";
"Vigántpetend";"15";"2";"2";" ";
"Zalahaláp";"28";"4";"1";" ";
"Várpalotai járás";"1307";"489";"214";" ";
"Berhida";"339";"160";"69";" ";
"Jásd";"11";"3";"2";" ";
"Õsi";"72";"19";"10";" ";
"Öskü";"50";"9";"5";" ";
"Pétfürdõ";"116";"38";"24";" ";
"Tés";"32";"13";"3";" ";
"Várpalota";"662";"234";"97";" ";
"Vilonya";"25";"13";"4";" ";
"Veszprémi járás";"1960";"721";"365";" ";
"Bánd";"10";" ";" ";" ";
"Barnag";"6";"5";"2";" ";
"Eplény";"10";"2";"2";" ";
"Hajmáskér";"141";"39";"13";" ";
"Hárskút";"6";" ";" ";" ";
"Herend";"68";"19";"5";" ";
"Hidegkút";"7";"3";"1";" ";
"Márkó";"16";"7";"3";" ";
"Mencshely";"20";"8";"1";" ";
"Nagyvázsony";"54";"21";"9";" ";
"Nemesvámos";"46";"20";"8";" ";
"Pula";"5";"1";" ";" ";
"Sóly";"16";"5";"2";" ";
"Szentgál";"83";"15";"4";" ";
"Szentkirályszabadja";"74";"19";"8";" ";
"Tótvázsony";"16";"2";" ";" ";
"Veszprém";"1373";"553";"307";" ";
"Veszprémfajsz";"5";"1";" ";" ";
"Vöröstó";"4";"1";" ";" ";
"Zirci járás";"512";"156";"97";" ";
"Bakonybél";"46";"14";"8";" ";
"Bakonynána";"29";"11";"6";" ";
"Bakonyoszlop";"24";"5";"1";" ";
"Bakonyszentkirály";"24";"8";"6";" ";
"Borzavár";"21";"5";"5";" ";
"Csesznek";"19";"5";"3";" ";
"Csetény";"44";"16";"12";" ";
"Dudar";"46";"10";"6";" ";
"Lókút";"12";"4";"3";" ";
