"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2014. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"67400";"33277";"18042";" ";
"Budapest (Budapest)";"32534";"17361";"9611";" ";
"Budapest";"32534";"17361";"9611";" ";
"Budapest, illetve fiktív területi egység";"32534";"17361";"9611";" ";
"Budapest";"32534";"17361";"9611";" ";
"Pest (Pest)";"34866";"15916";"8431";" ";
"Pest megye";"34866";"15916";"8431";" ";
"Aszódi járás";"1128";"570";"308";" ";
"Aszód";"113";"50";"24";" ";
"Bag";"168";"74";"35";" ";
"Domony";"64";"42";"24";" ";
"Galgahévíz";"97";"62";"28";" ";
"Galgamácsa";"36";"19";"11";" ";
"Hévízgyörk";"64";"27";"18";" ";
"Iklad";"38";"21";"13";" ";
"Kartal";"139";"69";"40";" ";
"Tura";"296";"152";"81";" ";
"Vácegres";"58";"37";"24";" ";
"Verseg";"55";"17";"10";" ";
"Budakeszi járás";"1354";"650";"390";" ";
"Biatorbágy";"163";"82";"46";" ";
"Budajenõ";"33";"17";"14";" ";
"Budakeszi";"129";"66";"40";" ";
"Budaörs";"543";"292";"184";" ";
"Herceghalom";"18";"8";"4";" ";
"Nagykovácsi";"51";"20";"8";" ";
"Páty";"101";"35";"21";" ";
"Perbál";"69";"26";"16";" ";
"Remeteszõlõs";"7";"2";"2";" ";
"Telki";"36";"13";"9";" ";
"Tök";"47";"29";"17";" ";
"Zsámbék";"157";"60";"29";" ";
"Ceglédi járás";"3786";"1840";"1048";" ";
"Abony";"649";"349";"224";" ";
"Albertirsa";"408";"205";"131";" ";
"Cegléd";"1502";"785";"457";" ";
"Ceglédbercel";"150";"78";"42";" ";
"Csemõ";"258";"123";"61";" ";
"Dánszentmiklós";"88";"46";"15";" ";
"Jászkarajenõ";"131";"41";"19";" ";
"Kõröstetétlen";"39";"6";"2";" ";
"Mikebuda";"22";"11";"5";" ";
"Tápiószõlõs";"141";"51";"24";" ";
"Törtel";"252";"120";"63";" ";
"Újszilvás";"146";"25";"5";" ";
"Dabasi járás";"2669";"857";"320";" ";
"Bugyi";"212";"56";"31";" ";
"Dabas";"761";"222";"88";" ";
"Hernád";"189";"68";"17";" ";
"Inárcs";"209";"82";"39";" ";
"Kakucs";"164";"34";"15";" ";
"Örkény";"462";"144";"28";" ";
"Pusztavacs";"70";"27";"10";" ";
"Táborfalva";"227";"93";"42";" ";
"Tatárszentgyörgy";"222";"88";"33";" ";
"Újhartyán";"89";"21";"6";" ";
"Újlengyel";"64";"22";"11";" ";
"Dunakeszi járás";"1908";"737";"401";" ";
"Csomád";"30";"9";"6";" ";
"Dunakeszi";"963";"364";"195";" ";
"Fót";"478";"175";"84";" ";
"Göd";"437";"189";"116";" ";
"Érdi járás";"2009";"947";"448";" ";
"Diósd";"84";"37";"19";" ";
"Érd";"1146";"565";"261";" ";
"Pusztazámor";"23";"4";"2";" ";
"Sóskút";"83";"34";"21";" ";
"Százhalombatta";"313";"139";"68";" ";
"Tárnok";"187";"86";"38";" ";
"Törökbálint";"173";"82";"39";" ";
"Gödöllõi járás";"3210";"1820";"1037";" ";
"Csömör";"111";"63";"42";" ";
"Dány";"207";"139";"82";" ";
"Erdõkertes";"182";"98";"55";" ";
"Gödöllõ";"771";"476";"273";" ";
"Isaszeg";"315";"163";"90";" ";
"Kerepes";"237";"160";"105";" ";
"Kistarcsa";"190";"79";"50";" ";
"Mogyoród";"141";"91";"61";" ";
"Nagytarcsa";"35";"13";"8";" ";
"Pécel";"309";"170";"93";" ";
"Szada";"81";"46";"26";" ";
"Vácszentlászló";"62";"29";"14";" ";
"Valkó";"138";"87";"30";" ";
"Veresegyház";"298";"154";"77";" ";
"Zsámbok";"133";"52";"31";" ";
"Gyáli járás";"1670";"667";"319";" ";
"Alsónémedi";"158";"55";"21";" ";
"Felsõpakony";"129";"46";"19";" ";
"Gyál";"869";"343";"181";" ";
"Ócsa";"514";"223";"98";" ";
"Monori járás";"2192";"1028";"559";" ";
"Bénye";"23";"7";"4";" ";
"Csévharaszt";"62";"22";"8";" ";
"Gomba";"96";"37";"15";" ";
"Gyömrõ";"430";"206";"122";" ";
"Káva";"30";"12";"5";" ";
"Monor";"609";"335";"186";" ";
"Monorierdõ";"137";"55";"30";" ";
"Nyáregyháza";"131";"66";"40";" ";
"Pánd";"86";"31";"16";" ";
"Péteri";"80";"32";"16";" ";
"Pilis";"457";"209";"105";" ";
"Vasad";"51";"16";"12";" ";
"Nagykátai járás";"2813";"1212";"524";" ";
"Farmos";"135";"67";"29";" ";
"Kóka";"136";"77";"45";" ";
"Mende";"92";"28";"13";" ";
"Nagykáta";"476";"241";"104";" ";
"Sülysáp";"219";"84";"36";" ";
"Szentlõrinckáta";"62";"20";"6";" ";
"Szentmártonkáta";"242";"113";"49";" ";
"Tápióbicske";"181";"60";"23";" ";
"Tápiógyörgye";"155";"54";"26";" ";
"Tápióság";"80";"34";"15";" ";
"Tápiószecsõ";"176";"60";"22";" ";
"Tápiószele";"331";"123";"51";" ";
"Tápiószentmárton";"218";"96";"40";" ";
"Tóalmás";"243";"131";"53";" ";
"Úri";"67";"24";"12";" ";
"Nagykõrösi járás";"1600";"835";"532";" ";
"Kocsér";"80";"35";"22";" ";
"Nagykõrös";"1383";"733";"476";" ";
"Nyársapát";"137";"67";"34";" ";
"Pilisvörösvári járás";"787";"397";"213";" ";
"Pilisborosjenõ";"50";"24";"12";" ";
"Piliscsaba";"186";"96";"47";" ";
"Pilisjászfalu";"34";"14";"8";" ";
"Pilisszántó";"44";"27";"18";" ";
"Pilisszentiván";"53";"34";"21";" ";
"Pilisvörösvár";"169";"77";"39";" ";
"Solymár";"110";"54";"36";" ";
"Tinnye";"52";"25";"9";" ";
"Üröm";"89";"46";"23";" ";
"Ráckevei járás";"1484";"661";"346";" ";
"Apaj";"52";"24";"10";" ";
"Áporka";"31";"10";"6";" ";
"Dömsöd";"365";"163";"76";" ";
"Kiskunlacháza";"334";"189";"109";" ";
"Lórév";"8";"1";" ";" ";
"Makád";"37";"10";"6";" ";
"Ráckeve";"418";"172";"94";" ";
"Szigetbecse";"46";"14";"10";" ";
"Szigetcsép";"74";"33";"16";" ";
"Szigetszentmárton";"66";"32";"12";" ";
"Szigetújfalu";"53";"13";"7";" ";
"Szentendrei járás";"1478";"710";"408";" ";
"Budakalász";"159";"98";"54";" ";
"Csobánka";"79";"29";"14";" ";
"Dunabogdány";"63";"30";"19";" ";
"Kisoroszi";"27";"13";"7";" ";
"Leányfalu";"52";"24";"18";" ";
"Pilisszentkereszt";"33";"12";"9";" ";
"Pilisszentlászló";"21";"13";"5";" ";
"Pócsmegyer";"56";"22";"11";" ";
"Pomáz";"314";"161";"79";" ";
"Szentendre";"485";"237";"152";" ";
"Szigetmonostor";"68";"29";"16";" ";
"Tahitótfalu";"89";"35";"21";" ";
"Visegrád";"32";"7";"3";" ";
"Szigetszentmiklósi járás";"2449";"1210";"596";" ";
"Délegyháza";"86";"32";"10";" ";
"Dunaharaszti";"446";"211";"112";" ";
"Dunavarsány";"187";"107";"46";" ";
"Halásztelek";"177";"80";"44";" ";
"Majosháza";"61";"28";"13";" ";
"Szigethalom";"391";"195";"88";" ";
"Szigetszentmiklós";"722";"364";"179";" ";
"Taksony";"118";"55";"23";" ";
"Tököl";"261";"138";"81";" ";
"Szobi járás";"852";"311";"187";" ";
"Bernecebaráti";"36";"7";"5";" ";
"Ipolydamásd";"15";"7";"2";" ";
"Ipolytölgyes";"7";" ";" ";" ";
"Kemence";"43";"21";"11";" ";
"Kismaros";"50";"20";"18";" ";
"Kóspallag";"25";"7";"3";" ";
"Letkés";"55";"7";"6";" ";
"Márianosztra";"14";"6";"4";" ";
"Nagybörzsöny";"47";"11";"6";" ";
"Nagymaros";"174";"65";"43";" ";
"Perõcsény";"8";"5";"4";" ";
"Szob";"86";"29";"13";" ";
"Szokolya";"49";"19";"11";" ";
"Tésa";"5";"3";"1";" ";
"Vámosmikola";"90";"49";"31";" ";
"Verõce";"115";"45";"27";" ";
"Zebegény";"33";"10";"2";" ";
"Váci járás";"2395";"987";"553";" ";
"Acsa";"57";"22";"9";" ";
"Csörög";"142";"73";"41";" ";
"Csõvár";"23";"7";"3";" ";
"Galgagyörk";"63";"30";"20";" ";
"Kisnémedi";"22";"7";"3";" ";
"Kosd";"100";"40";"23";" ";
"Õrbottyán";"201";"88";"52";" ";
"Penc";"48";"13";"8";" ";
"Püspökhatvan";"69";"28";"16";" ";
"Püspökszilágy";"24";"6";"6";" ";
"Rád";"61";"23";"14";" ";
"Szõd";"102";"31";"16";" ";
"Szõdliget";"115";"44";"22";" ";
"Vác";"1182";"488";"271";" ";
"Vácduka";"31";"9";"5";" ";
"Váchartyán";"63";"35";"19";" ";
"Váckisújfalu";"31";"13";"7";" ";
"Vácrátót";"61";"30";"18";" ";
"Vecsési járás";"1082";"477";"242";" ";
"Ecser";"62";"19";"12";" ";
"Maglód";"280";"123";"57";" ";
"Üllõ";"345";"169";"81";" ";
"Vecsés";"395";"166";"92";" ";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";
"Dunántúl";"101263";"43015";"23455";" ";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"31638";"12117";"6541";" ";
"Fejér megye";"13041";"5398";"3079";" ";
"Bicskei járás";"856";"292";"182";" ";
"Alcsútdoboz";"39";"18";"13";" ";
"Bicske";"290";"53";"30";" ";
"Bodmér";"5";"2";"1";" ";
"Csabdi";"41";"18";"8";" ";
"Csákvár";"100";"40";"26";" ";
"Etyek";"90";"37";"21";" ";
"Felcsút";"31";"11";"8";" ";
"Gánt";"9";"3";"3";" ";
"Mány";"83";"49";"36";" ";
"Óbarok";"25";"10";"5";" ";
"Szár";"24";"9";"5";" ";
"Tabajd";"29";"18";"10";" ";
"Újbarok";"7";"1";" ";" ";
"Vértesacsa";"60";"19";"14";" ";
"Vértesboglár";"23";"4";"2";" ";
